model,class,mean_accuracy,std,se,ci95,n_seeds,total_trials
cvcl-resnext,abacus,0.8773333333333334,0.015011106998930284,0.008666666666666675,0.01698666666666668,3,1500
cvcl-resnext,apple,0.8966666666666666,0.016165807537309534,0.009333333333333341,0.01829333333333335,3,1500
cvcl-resnext,axe,0.8766666666666666,0.027153882472555093,0.015677301355073146,0.03072751065594336,3,1500
cvcl-resnext,babushkadolls,0.87,0.031176914536239816,0.018000000000000016,0.03528000000000003,3,1500
cvcl-resnext,bagel,0.8113333333333334,0.0336055550963428,0.019402176281140316,0.03802826551103501,3,1500
cvcl-resnext,basket,0.4653333333333333,0.047427137098219774,0.027382070370550474,0.05366885792627893,3,1500
cvcl-resnext,bell,0.8946666666666666,0.03925981830489452,0.02266666666666665,0.044426666666666635,3,1500
cvcl-resnext,bonzai,0.934,0.0,0.0,0.0,3,1500
cvcl-resnext,bread,0.4606666666666666,0.0357957166897568,0.02066666666666667,0.04050666666666667,3,1500
cvcl-resnext,butterfly,0.7313333333333333,0.0368962509387246,0.02130206041156063,0.04175203840665884,3,1500
cvcl-resnext,calculator,0.87,0.02357965224510321,0.013613718571108104,0.026682888399371885,3,1500
cvcl-resnext,camera,0.9913333333333334,0.004618802153517011,0.0026666666666666696,0.005226666666666672,3,1500
cvcl-resnext,candle,0.9353333333333333,0.023094010767584987,0.013333333333333308,0.026133333333333286,3,1500
cvcl-resnext,ornament,0.5653333333333334,0.019425069712444575,0.011215069227507122,0.021981535685913958,3,1500
cvcl-resnext,cookie,0.6839999999999998,0.018330302779823317,0.010583005244258339,0.020742690278746343,3,1500
cvcl-resnext,doll,0.65,0.011135528725660053,0.006429100507328643,0.012601036994364139,3,1500
cvcl-resnext,doorknob,0.9086666666666666,0.0160416125540213,0.009261629326299878,0.01815279347954776,3,1500
cvcl-resnext,dresser,0.5266666666666667,0.016289055630494167,0.009404490653110597,0.01843280168009677,3,1500
cvcl-resnext,dumbell,0.8626666666666667,0.021385353243127275,0.01234683945163477,0.024199805325204146,3,1500
cvcl-resnext,earrings,0.5953333333333334,0.014189197769195187,0.00819213715162968,0.016056588817194174,3,1500
cvcl-resnext,fan,0.4586666666666666,0.017009801096230754,0.009820613241770818,0.019248401953870804,3,1500
cvcl-resnext,goggle,0.8873333333333333,0.01677299416721218,0.009683892697555976,0.018980429687209713,3,1500
cvcl-resnext,grill,0.972,0.008717797887081356,0.005033222956847171,0.009865116995420456,3,1500
cvcl-resnext,handbag,0.9666666666666667,0.006429100507328643,0.003711842908553352,0.007275212100764569,3,1500
cvcl-resnext,handgun,0.968,0.018000000000000016,0.010392304845413274,0.020368917497010017,3,1500
cvcl-resnext,handheldgame,0.4673333333333333,0.009865765724632472,0.005696002496878342,0.01116416489388155,3,1500
cvcl-resnext,headband,0.894,0.021166010488516743,0.012220201853215585,0.023951595632302546,3,1500
cvcl-resnext,helmet,0.908,0.005291502622129186,0.0030550504633038962,0.0059878989080756366,3,1500
cvcl-resnext,horse,0.774,0.0020000000000000018,0.0011547005383792527,0.002263213055223335,3,1500
cvcl-resnext,keyboard,0.8593333333333333,0.022479620400116505,0.012978614889287867,0.02543808518300422,3,1500
cvcl-resnext,lantern,0.6626666666666666,0.041681330752908204,0.024064727530373378,0.04716686595953182,3,1500
cvcl-resnext,lei,0.7026666666666666,0.024110855093366804,0.013920408678547385,0.027284001009952874,3,1500
cvcl-resnext,lipstick,0.914,0.01442220510185597,0.008326663997864539,0.016320261435814498,3,1500
cvcl-resnext,lock,0.88,0.01587450786638756,0.00916515138991169,0.01796369672422691,3,1500
cvcl-resnext,meat,0.826,0.023579652245103166,0.013613718571108078,0.026682888399371833,3,1500
cvcl-resnext,microwave,0.9306666666666666,0.02247962040011646,0.01297861488928784,0.02543808518300417,3,1500
cvcl-resnext,muffin,0.77,0.01442220510185597,0.008326663997864539,0.016320261435814498,3,1500
cvcl-resnext,nailpolish,0.678,0.06296030495478877,0.03635014901390823,0.07124629206726012,3,1500
cvcl-resnext,pen,0.7233333333333333,0.03925981830489452,0.02266666666666665,0.044426666666666635,3,1500
cvcl-resnext,phone,0.8083333333333332,0.020370196454164772,0.011760738406257592,0.023051047276264877,3,1500
cvcl-resnext,pillow,0.6233333333333334,0.007571877794400371,0.004371625682868005,0.008568386338421288,3,1500
cvcl-resnext,pipe,0.8380000000000001,0.0341760149812701,0.019731531449264976,0.03867380164055935,3,1500
cvcl-resnext,pitcher,0.8233333333333334,0.017925772879664983,0.010349449797506672,0.020284921603113074,3,1500
cvcl-resnext,powerstrip,0.6693333333333333,0.07245228314783002,0.04183034517880265,0.08198747655045319,3,1500
cvcl-resnext,rabbit,0.902,0.01200000000000001,0.006928203230275516,0.013579278331340011,3,1500
cvcl-resnext,ring,0.9093333333333332,0.034078341117685464,0.019675139417831597,0.03856327325894993,3,1500
cvcl-resnext,rug,0.8466666666666667,0.01700980109623078,0.009820613241770831,0.01924840195387083,3,1500
cvcl-resnext,saddle,0.7913333333333333,0.013012814197295434,0.007512951779723103,0.014725385488257282,3,1500
cvcl-resnext,saltandpeppershake,0.6466666666666666,0.01890326250501045,0.010913803695829944,0.02139105524382669,3,1500
cvcl-resnext,seashell,0.8153333333333332,0.026025628394590813,0.015025903559446175,0.029450770976514502,3,1500
cvcl-resnext,sippycup,0.2806666666666667,0.034078341117685484,0.019675139417831607,0.038563273258949954,3,1500
cvcl-resnext,sodacan,0.7773333333333333,0.021571586249817934,0.012454361128179615,0.024410547811232045,3,1500
cvcl-resnext,stapler,0.7479999999999999,0.021633307652783953,0.012489995996796807,0.02448039215372174,3,1500
