model,class,seed,accuracy,n_trials,test_type
cvcl-resnext,abacus,0,0.30333333333333334,500,SCDC
cvcl-resnext,abacus,1,0.29,500,SCDC
cvcl-resnext,abacus,2,0.2633333333333333,500,SCDC
cvcl-resnext,apple,0,0.30333333333333334,500,SCDC
cvcl-resnext,apple,1,0.2733333333333333,500,SCDC
cvcl-resnext,apple,2,0.3,500,SCDC
cvcl-resnext,axe,0,0.28,500,SCDC
cvcl-resnext,axe,1,0.28,500,SCDC
cvcl-resnext,axe,2,0.2733333333333333,500,SCDC
cvcl-resnext,babushkadolls,0,0.38,500,SCDC
cvcl-resnext,babushkadolls,1,0.38333333333333336,500,SCDC
cvcl-resnext,babushkadolls,2,0.31,500,SCDC
cvcl-resnext,bagel,0,0.21666666666666667,500,SCDC
cvcl-resnext,bagel,1,0.23,500,SCDC
cvcl-resnext,bagel,2,0.2633333333333333,500,SCDC
cvcl-resnext,basket,0,0.1,500,SCDC
cvcl-resnext,basket,1,0.09,500,SCDC
cvcl-resnext,basket,2,0.1,500,SCDC
cvcl-resnext,bell,0,0.20666666666666667,500,SCDC
cvcl-resnext,bell,1,0.23666666666666666,500,SCDC
cvcl-resnext,bell,2,0.22333333333333333,500,SCDC
cvcl-resnext,bonzai,0,0.27,500,SCDC
cvcl-resnext,bonzai,1,0.25666666666666665,500,SCDC
cvcl-resnext,bonzai,2,0.25,500,SCDC
cvcl-resnext,bread,0,0.16666666666666666,500,SCDC
cvcl-resnext,bread,1,0.14333333333333334,500,SCDC
cvcl-resnext,bread,2,0.12,500,SCDC
cvcl-resnext,butterfly,0,0.2542857142857143,500,SCDC
cvcl-resnext,butterfly,1,0.25142857142857145,500,SCDC
cvcl-resnext,butterfly,2,0.26571428571428574,500,SCDC
cvcl-resnext,calculator,0,0.24666666666666667,500,SCDC
cvcl-resnext,calculator,1,0.32666666666666666,500,SCDC
cvcl-resnext,calculator,2,0.31333333333333335,500,SCDC
cvcl-resnext,camera,0,0.4,500,SCDC
cvcl-resnext,camera,1,0.42333333333333334,500,SCDC
cvcl-resnext,camera,2,0.42,500,SCDC
cvcl-resnext,candle,0,0.4166666666666667,500,SCDC
cvcl-resnext,candle,1,0.4633333333333333,500,SCDC
cvcl-resnext,candle,2,0.43333333333333335,500,SCDC
cvcl-resnext,ornament,0,0.19,500,SCDC
cvcl-resnext,ornament,1,0.17666666666666667,500,SCDC
