model,class,mean_accuracy,std,se,ci95,n_seeds,total_trials,test_type
cvcl-resnext,abacus,0.2855555555555555,0.020367003088692638,0.011758894715842634,0.023047433643051566,3,1500,SCDC
cvcl-resnext,apple,0.2922222222222222,0.016442942874387502,0.009493337494797263,0.018606941489802638,3,1500,SCDC
cvcl-resnext,axe,0.2777777777777778,0.00384900179459753,0.0022222222222222365,0.004355555555555584,3,1500,SCDC
cvcl-resnext,babushkadolls,0.3577777777777778,0.04141032256352051,0.0239082608792778,0.04686019132338449,3,1500,SCDC
cvcl-resnext,bagel,0.23666666666666666,0.024037008503093243,0.013877773329774207,0.02720043572635745,3,1500,SCDC
cvcl-resnext,basket,0.09666666666666668,0.005773502691896263,0.0033333333333333366,0.00653333333333334,3,1500,SCDC
cvcl-resnext,bell,0.22222222222222224,0.015030832509409647,0.00867805519545184,0.0170089881830856,3,1500,SCDC
cvcl-resnext,bonzai,0.2588888888888889,0.010183501544346323,0.00587944735792132,0.011523716821525786,3,1500,SCDC
cvcl-resnext,bread,0.14333333333333334,0.02333333333333333,0.013471506281091268,0.026404152310938882,3,1500,SCDC
cvcl-resnext,butterfly,0.2571428571428572,0.007559289460184551,0.004364357804719852,0.008554141297250909,3,1500,SCDC
cvcl-resnext,calculator,0.29555555555555557,0.042860670048857574,0.024745619390355654,0.04850141400509708,3,1500,SCDC
cvcl-resnext,camera,0.41444444444444445,0.012619796324000593,0.007286042804779992,0.014280643897368786,3,1500,SCDC
cvcl-resnext,candle,0.4377777777777778,0.023648662948658607,0.013653561919382776,0.02676098136199024,3,1500,SCDC
cvcl-resnext,ornament,0.18888888888888888,0.01170628194761416,0.0067586250336646924,0.013246905065982795,3,1500,SCDC
cvcl-resnext,cookie,0.20333333333333334,0.026034165586355514,0.015030832509409649,0.02946043171844291,3,1500,SCDC
cvcl-resnext,doll,0.17,0.021858128414340004,0.01261979632400061,0.024734800795041194,3,1500,SCDC
cvcl-resnext,doorknob,0.32,0.037118429085533464,0.02143033502442878,0.042003456647880404,3,1500,SCDC
cvcl-resnext,dresser,0.25333333333333335,0.009999999999999981,0.005773502691896247,0.011316065276116644,3,1500,SCDC
cvcl-resnext,dumbell,0.25,0.015275252316519465,0.008819171036881969,0.017285575232288655,3,1500,SCDC
cvcl-resnext,earrings,0.17,0.01855921454276675,0.0107151675122144,0.021001728323940223,3,1500,SCDC
cvcl-resnext,fan,0.08,0.016666666666666663,0.00962250448649376,0.01886010879352777,3,1500,SCDC
cvcl-resnext,goggle,0.2644444444444444,0.011706281947614148,0.006758625033664685,0.013246905065982782,3,1500,SCDC
cvcl-resnext,grill,0.3377777777777778,0.015396007178390023,0.00888888888888889,0.017422222222222224,3,1500,SCDC
cvcl-resnext,handbag,0.44999999999999996,0.021858128414340004,0.01261979632400061,0.024734800795041194,3,1500,SCDC
cvcl-resnext,handgun,0.23666666666666666,0.023094010767585032,0.013333333333333334,0.02613333333333334,3,1500,SCDC
cvcl-resnext,handheldgame,0.24555555555555553,0.013877773329774207,0.008012336167697748,0.015704178888687585,3,1500,SCDC
cvcl-resnext,headband,0.20555555555555557,0.015396007178390023,0.00888888888888889,0.017422222222222224,3,1500,SCDC
cvcl-resnext,helmet,0.20111111111111113,0.03150543750835072,0.018189672826383223,0.03565175873971111,3,1500,SCDC
cvcl-resnext,horse,0.25666666666666665,0.02603416558635552,0.015030832509409653,0.02946043171844292,3,1500,SCDC
cvcl-resnext,keyboard,0.16333333333333333,0.017638342073763937,0.010183501544346312,0.019959663026918772,3,1500,SCDC
cvcl-resnext,lantern,0.21444444444444444,0.04018475848894471,0.02320068113091233,0.04547333501658817,3,1500,SCDC
cvcl-resnext,lei,0.13111111111111112,0.024570382652773313,0.014185717038670784,0.027804005395794737,3,1500,SCDC
cvcl-resnext,lipstick,0.2911111111111111,0.010183501544346293,0.005879447357921302,0.011523716821525752,3,1500,SCDC
cvcl-resnext,lock,0.4066666666666667,0.03527668414752789,0.02036700308869263,0.03991932605383756,3,1500,SCDC
cvcl-resnext,meat,0.17888888888888888,0.015396007178390007,0.008888888888888882,0.01742222222222221,3,1500,SCDC
cvcl-resnext,microwave,0.14555555555555555,0.018954135676924413,0.010943175335329,0.02144862365724484,3,1500,SCDC
cvcl-resnext,muffin,0.09666666666666668,0.003333333333333334,0.001924500897298753,0.003772021758705556,3,1500,SCDC
cvcl-resnext,nailpolish,0.13888888888888887,0.03863408589047491,0.02230539988876081,0.043718583781971194,3,1500,SCDC
cvcl-resnext,pen,0.15888888888888889,0.020092379244472353,0.011600340565456163,0.02273666750829408,3,1500,SCDC
cvcl-resnext,phone,0.4493333333333333,0.019731531449264976,0.011392004993756701,0.022328329787763133,3,1500,SCDC
cvcl-resnext,pillow,0.28555555555555556,0.03237511618740771,0.018691782045845252,0.0366358928098567,3,1500,SCDC
cvcl-resnext,pipe,0.27444444444444444,0.016777409856157218,0.00968644209675705,0.01898542650964382,3,1500,SCDC
cvcl-resnext,pitcher,0.1811111111111111,0.003849001794597498,0.0022222222222222183,0.004355555555555547,3,1500,SCDC
cvcl-resnext,powerstrip,0.07666666666666667,0.02081665999466133,0.012018504251546634,0.0235562683330314,3,1500,SCDC
cvcl-resnext,rabbit,0.2822222222222222,0.012619796324000626,0.007286042804780011,0.01428064389736882,3,1500,SCDC
cvcl-resnext,ring,0.24222222222222223,0.0368681333845268,0.021285826734075575,0.04172022039878813,3,1500,SCDC
cvcl-resnext,rug,0.40111111111111114,0.011706281947614146,0.006758625033664684,0.01324690506598278,3,1500,SCDC
cvcl-resnext,saddle,0.18000000000000002,0.017638342073763944,0.010183501544346316,0.01995966302691878,3,1500,SCDC
cvcl-resnext,saltandpeppershake,0.13444444444444445,0.010183501544346312,0.0058794473579213136,0.011523716821525774,3,1500,SCDC
cvcl-resnext,seashell,0.1922222222222222,0.02219442706159798,0.012813958438523109,0.025115358539505295,3,1500,SCDC
cvcl-resnext,sippycup,0.08555555555555557,0.013471506281091266,0.0077777777777777776,0.015244444444444444,3,1500,SCDC
cvcl-resnext,sodacan,0.18888888888888888,0.03564225540521209,0.020578065752724594,0.04033300887534021,3,1500,SCDC
cvcl-resnext,stapler,0.20111111111111113,0.015030832509409647,0.00867805519545184,0.0170089881830856,3,1500,SCDC
cvcl-resnext,stool,0.5277777777777777,0.037168285963728266,0.021459119906475504,0.042059875016691985,3,1500,SCDC
cvcl-resnext,suitcase,0.15222222222222223,0.028349668493717946,0.01636768873628471,0.03208066992311803,3,1500,SCDC
cvcl-resnext,telescope,0.31555555555555553,0.030061665018819295,0.01735611039090368,0.0340179763661712,3,1500,SCDC
cvcl-resnext,tennisracquet,0.3666666666666667,0.055075705472861,0.031797973380564844,0.062324027825907104,3,1500,SCDC
cvcl-resnext,toothpaste,0.3666666666666667,0.012018504251546623,0.006938886664887105,0.013600217863178726,3,1500,SCDC
cvcl-resnext,train,0.21777777777777776,0.01575271875417536,0.009094836413191611,0.017825879369855555,3,1500,SCDC
cvcl-resnext,tree,0.22,0.029627314724385297,0.017105338131489616,0.03352646273771964,3,1500,SCDC
cvcl-resnext,tricycle,0.4344444444444444,0.04857220665420975,0.028043176586942133,0.054964626110406575,3,1500,SCDC
cvcl-resnext,trophy,0.19777777777777775,0.015752718754175363,0.009094836413191613,0.01782587936985556,3,1500,SCDC
cvcl-resnext,trumpet,0.4088888888888889,0.030792014356780046,0.01777777777777778,0.03484444444444445,3,1500,SCDC
cvcl-resnext,vase,0.30444444444444446,0.01071516751221438,0.006186404847588905,0.012125353501274255,3,1500,SCDC
cvcl-resnext,wineglass,0.18777777777777774,0.030971910810591894,0.01788164104381231,0.035048016445872125,3,1500,SCDC
clip-res,abacus,0.7344444444444443,0.013471506281091299,0.007777777777777796,0.01524444444444448,3,1500,SCDC
clip-res,apple,0.8755555555555555,0.013471506281091259,0.007777777777777773,0.015244444444444435,3,1500,SCDC
clip-res,axe,0.758888888888889,0.0069388866648871445,0.0040061680838488975,0.007852089444343839,3,1500,SCDC
clip-res,babushkadolls,0.4255555555555555,0.02545875386086577,0.014698618394803279,0.028809292053814425,3,1500,SCDC
clip-res,bagel,0.7666666666666667,0.014529663145135556,0.008388704928078599,0.01644186165903405,3,1500,SCDC
clip-res,basket,0.22111111111111112,0.0050917507721731465,0.002939723678960651,0.005761858410762876,3,1500,SCDC
clip-res,bell,0.9111111111111111,0.01835856849095368,0.010599324460188289,0.020774675941969047,3,1500,SCDC
clip-res,bonzai,0.7611111111111111,0.018954135676924413,0.010943175335329,0.02144862365724484,3,1500,SCDC
clip-res,bread,0.4333333333333333,0.04163331998932264,0.024037008503093253,0.04711253666606278,3,1500,SCDC
clip-res,butterfly,0.5057142857142857,0.03142857142857142,0.01814529417453109,0.03556477658208093,3,1500,SCDC
clip-res,calculator,0.5755555555555555,0.04220759980716125,0.024368569110512547,0.047762395456604594,3,1500,SCDC
clip-res,camera,0.9444444444444445,0.01347150628109124,0.007777777777777762,0.015244444444444415,3,1500,SCDC
clip-res,candle,0.9433333333333334,0.014529663145135558,0.008388704928078599,0.016441861659034055,3,1500,SCDC
clip-res,ornament,0.62,0.011547005383792525,0.006666666666666672,0.013066666666666676,3,1500,SCDC
clip-res,cookie,0.7422222222222222,0.016777409856157218,0.00968644209675705,0.01898542650964382,3,1500,SCDC
clip-res,doll,0.43777777777777777,0.01170628194761415,0.006758625033664686,0.013246905065982785,3,1500,SCDC
clip-res,doorknob,0.7688888888888888,0.030245905752924858,0.01746248182833522,0.03422646438353703,3,1500,SCDC
clip-res,dresser,0.7033333333333333,0.011547005383792525,0.006666666666666672,0.013066666666666676,3,1500,SCDC
clip-res,dumbell,0.758888888888889,0.040322771803609,0.02328036315528551,0.045629511784359596,3,1500,SCDC
clip-res,earrings,0.5333333333333333,0.04041451884327379,0.023333333333333324,0.04573333333333331,3,1500,SCDC
clip-res,fan,0.38222222222222224,0.010183501544346293,0.005879447357921302,0.011523716821525752,3,1500,SCDC
clip-res,goggle,0.89,0.010000000000000009,0.005773502691896263,0.011316065276116675,3,1500,SCDC
clip-res,grill,0.6355555555555555,0.023412563895228347,0.0135172500673294,0.026493810131965626,3,1500,SCDC
clip-res,handbag,0.9466666666666667,0.008819171036881984,0.005091750772173165,0.009979831513459403,3,1500,SCDC
clip-res,handgun,0.8933333333333332,0.02603416558635554,0.015030832509409663,0.02946043171844294,3,1500,SCDC
clip-res,handheldgame,0.5466666666666666,0.01855921454276678,0.010715167512214418,0.02100172832394026,3,1500,SCDC
clip-res,headband,0.6122222222222222,0.010715167512214413,0.006186404847588924,0.01212535350127429,3,1500,SCDC
clip-res,helmet,0.831111111111111,0.009622504486493794,0.005555555555555574,0.010888888888888924,3,1500,SCDC
clip-res,horse,0.52,0.012018504251546616,0.006938886664887101,0.013600217863178719,3,1500,SCDC
clip-res,keyboard,0.6311111111111112,0.011706281947614146,0.006758625033664684,0.01324690506598278,3,1500,SCDC
clip-res,lantern,0.6344444444444445,0.006938886664887101,0.004006168083848872,0.00785208944434379,3,1500,SCDC
clip-res,lei,0.6733333333333333,0.0033333333333332993,0.001924500897298733,0.0037720217587055168,3,1500,SCDC
clip-res,lipstick,0.9511111111111111,0.005091750772173165,0.0029397236789606616,0.005761858410762897,3,1500,SCDC
clip-res,lock,0.91,0.008819171036881943,0.0050917507721731405,0.009979831513459355,3,1500,SCDC
clip-res,meat,0.6666666666666666,0.029059326290271154,0.01677740985615722,0.03288372331806815,3,1500,SCDC
clip-res,microwave,0.7222222222222222,0.00962250448649373,0.005555555555555537,0.01088888888888885,3,1500,SCDC
clip-res,muffin,0.6244444444444444,0.01710533813148961,0.009875771574795097,0.01935651228659839,3,1500,SCDC
clip-res,nailpolish,0.5366666666666666,0.03711842908553349,0.021430335024428798,0.04200345664788044,3,1500,SCDC
clip-res,pen,0.5888888888888889,0.033554819712314436,0.0193728841935141,0.03797085301928764,3,1500,SCDC
clip-res,phone,0.6466666666666666,0.030022213997860567,0.01733333333333335,0.03397333333333336,3,1500,SCDC
clip-res,pillow,0.9155555555555556,0.00962250448649373,0.005555555555555537,0.01088888888888885,3,1500,SCDC
clip-res,pipe,0.9122222222222223,0.013471506281091323,0.0077777777777778105,0.015244444444444508,3,1500,SCDC
clip-res,pitcher,0.6833333333333335,0.027284509239574848,0.01575271875417537,0.030875328758183728,3,1500,SCDC
clip-res,powerstrip,0.45222222222222225,0.02694301256218254,0.015555555555555559,0.030488888888888895,3,1500,SCDC
