model,class,seed,accuracy,n_trials,test_type
cvcl-resnext,abacus,0,0.6354378818737271,500,SCDS
cvcl-resnext,abacus,1,0.631004366812227,500,SCDS
cvcl-resnext,abacus,2,0.6741344195519349,500,SCDS
cvcl-resnext,apple,0,0.9132231404958677,500,SCDS
cvcl-resnext,apple,1,0.8941908713692946,500,SCDS
cvcl-resnext,apple,2,0.9291497975708503,500,SCDS
cvcl-resnext,axe,0,0.7938144329896907,500,SCDS
cvcl-resnext,axe,1,0.7793814432989691,500,SCDS
cvcl-resnext,axe,2,0.8057259713701431,500,SCDS
cvcl-resnext,babushkadolls,0,0.9288617886178862,500,SCDS
cvcl-resnext,babushkadolls,1,0.8729508196721312,500,SCDS
cvcl-resnext,babushkadolls,2,0.9329140461215933,500,SCDS
cvcl-resnext,bagel,0,0.5289256198347108,500,SCDS
cvcl-resnext,bagel,1,0.5297741273100616,500,SCDS
cvcl-resnext,bagel,2,0.5420944558521561,500,SCDS
cvcl-resnext,ball,0,0.8597194388777555,500,SCDS
cvcl-resnext,ball,1,0.8502024291497976,500,SCDS
cvcl-resnext,ball,2,0.8945233265720081,500,SCDS
cvcl-resnext,basket,0,0.1127348643006263,500,SCDS
cvcl-resnext,basket,1,0.1384297520661157,500,SCDS
cvcl-resnext,basket,2,0.13168724279835392,500,SCDS
cvcl-resnext,bell,0,0.5848670756646217,500,SCDS
cvcl-resnext,bell,1,0.6086065573770492,500,SCDS
cvcl-resnext,bell,2,0.5456389452332657,500,SCDS
cvcl-resnext,bird,0,0.5714285714285714,500,SCDS
cvcl-resnext,bird,1,0.5810055865921788,500,SCDS
cvcl-resnext,bird,2,0.5492957746478874,500,SCDS
cvcl-resnext,bonzai,0,0.7814432989690722,500,SCDS
cvcl-resnext,bonzai,1,0.787321063394683,500,SCDS
cvcl-resnext,bonzai,2,0.83991683991684,500,SCDS
cvcl-resnext,bread,0,0.38445807770961143,500,SCDS
cvcl-resnext,bread,1,0.31376518218623484,500,SCDS
cvcl-resnext,bread,2,0.33263598326359833,500,SCDS
cvcl-resnext,butterfly,0,0.5731462925851704,500,SCDS
cvcl-resnext,butterfly,1,0.574,500,SCDS
cvcl-resnext,butterfly,2,0.5323886639676113,500,SCDS
cvcl-resnext,calculator,0,0.9118852459016393,500,SCDS
cvcl-resnext,calculator,1,0.8813905930470347,500,SCDS
cvcl-resnext,calculator,2,0.8209876543209876,500,SCDS
cvcl-resnext,camera,0,0.8768267223382046,500,SCDS
cvcl-resnext,camera,1,0.8785425101214575,500,SCDS
cvcl-resnext,camera,2,0.8172484599589322,500,SCDS
cvcl-resnext,candle,0,0.8877551020408163,500,SCDS
cvcl-resnext,candle,1,0.8350515463917526,500,SCDS
cvcl-resnext,candle,2,0.8445807770961146,500,SCDS
cvcl-resnext,ornament,0,0.45841784989858014,500,SCDS
cvcl-resnext,ornament,1,0.4610526315789474,500,SCDS
cvcl-resnext,ornament,2,0.46830265848670755,500,SCDS
cvcl-resnext,cookie,0,0.49588477366255146,500,SCDS
cvcl-resnext,cookie,1,0.4394250513347023,500,SCDS
cvcl-resnext,cookie,2,0.4654471544715447,500,SCDS
cvcl-resnext,doll,0,0.44676409185803756,500,SCDS
cvcl-resnext,doll,1,0.41735537190082644,500,SCDS
cvcl-resnext,doll,2,0.38204592901878914,500,SCDS
cvcl-resnext,doorknob,0,0.6177685950413223,500,SCDS
cvcl-resnext,doorknob,1,0.6816326530612244,500,SCDS
cvcl-resnext,doorknob,2,0.6822810590631364,500,SCDS
cvcl-resnext,dresser,0,0.5797101449275363,500,SCDS
cvcl-resnext,dresser,1,0.5702479338842975,500,SCDS
cvcl-resnext,dresser,2,0.6401673640167364,500,SCDS
cvcl-resnext,dumbell,0,0.6611909650924025,500,SCDS
cvcl-resnext,dumbell,1,0.6652631578947369,500,SCDS
cvcl-resnext,dumbell,2,0.6836734693877551,500,SCDS
cvcl-resnext,earrings,0,0.4460285132382892,500,SCDS
cvcl-resnext,earrings,1,0.4024640657084189,500,SCDS
cvcl-resnext,earrings,2,0.48333333333333334,500,SCDS
cvcl-resnext,fan,0,0.2965235173824131,500,SCDS
cvcl-resnext,fan,1,0.29327902240325865,500,SCDS
cvcl-resnext,fan,2,0.3277661795407098,500,SCDS
cvcl-resnext,goggle,0,0.7351129363449692,500,SCDS
cvcl-resnext,goggle,1,0.7326530612244898,500,SCDS
cvcl-resnext,goggle,2,0.7406639004149378,500,SCDS
cvcl-resnext,grill,0,0.6107226107226107,500,SCDS
cvcl-resnext,grill,1,0.6093366093366094,500,SCDS
cvcl-resnext,grill,2,0.5939086294416244,500,SCDS
cvcl-resnext,handbag,0,0.8357289527720739,500,SCDS
cvcl-resnext,handbag,1,0.8126272912423625,500,SCDS
cvcl-resnext,handbag,2,0.7846790890269151,500,SCDS
cvcl-resnext,handgun,0,0.4575569358178054,500,SCDS
cvcl-resnext,handgun,1,0.43983402489626555,500,SCDS
cvcl-resnext,handgun,2,0.4717741935483871,500,SCDS
cvcl-resnext,handheldgame,0,0.5338809034907598,500,SCDS
cvcl-resnext,handheldgame,1,0.5334685598377282,500,SCDS
cvcl-resnext,handheldgame,2,0.5705521472392638,500,SCDS
cvcl-resnext,headband,0,0.5040650406504065,500,SCDS
cvcl-resnext,headband,1,0.43415637860082307,500,SCDS
cvcl-resnext,headband,2,0.46790890269151136,500,SCDS
cvcl-resnext,helmet,0,0.8238866396761133,500,SCDS
cvcl-resnext,helmet,1,0.7282157676348547,500,SCDS
cvcl-resnext,helmet,2,0.7586206896551724,500,SCDS
cvcl-resnext,horse,0,0.6854166666666667,500,SCDS
cvcl-resnext,horse,1,0.6408163265306123,500,SCDS
cvcl-resnext,horse,2,0.5892116182572614,500,SCDS
cvcl-resnext,keyboard,0,0.8,500,SCDS
cvcl-resnext,keyboard,1,0.7278481012658228,500,SCDS
cvcl-resnext,keyboard,2,0.7315573770491803,500,SCDS
cvcl-resnext,lantern,0,0.4616977225672878,500,SCDS
cvcl-resnext,lantern,1,0.4769874476987448,500,SCDS
cvcl-resnext,lantern,2,0.4451345755693582,500,SCDS
cvcl-resnext,lei,0,0.49072164948453606,500,SCDS
cvcl-resnext,lei,1,0.4190871369294606,500,SCDS
cvcl-resnext,lei,2,0.4694736842105263,500,SCDS
cvcl-resnext,lipstick,0,0.6509635974304069,500,SCDS
cvcl-resnext,lipstick,1,0.6666666666666666,500,SCDS
cvcl-resnext,lipstick,2,0.6183673469387755,500,SCDS
cvcl-resnext,lock,0,0.8883495145631068,500,SCDS
cvcl-resnext,lock,1,0.8650602409638555,500,SCDS
cvcl-resnext,lock,2,0.8337468982630273,500,SCDS
cvcl-resnext,meat,0,0.5122950819672131,500,SCDS
cvcl-resnext,meat,1,0.4817813765182186,500,SCDS
cvcl-resnext,meat,2,0.4528301886792453,500,SCDS
cvcl-resnext,microwave,0,0.5467479674796748,500,SCDS
cvcl-resnext,microwave,1,0.459958932238193,500,SCDS
cvcl-resnext,microwave,2,0.4968553459119497,500,SCDS
cvcl-resnext,muffin,0,0.5093945720250522,500,SCDS
cvcl-resnext,muffin,1,0.5254582484725051,500,SCDS
