model,class,mean_accuracy,std,se,ci95,n_seeds,total_trials,test_type
cvcl-resnext,abacus,0.6468588894126297,0.02372509056326755,0.013697687423250771,0.02684746734957151,3,1500,SCDS
cvcl-resnext,apple,0.9121879364786709,0.01750243885318181,0.010105037783359482,0.019805874055384583,3,1500,SCDS
cvcl-resnext,axe,0.792973949219601,0.013192359514092143,0.00761661231670742,0.014928560140746542,3,1500,SCDS
cvcl-resnext,babushkadolls,0.9115755514705369,0.03351130596669082,0.01934776152076486,0.03792161258069913,3,1500,SCDS
cvcl-resnext,bagel,0.5335980676656428,0.007370308704245263,0.004255249714406644,0.008340289440237023,3,1500,SCDS
cvcl-resnext,ball,0.8681483981998537,0.023331759546114723,0.013470597654616957,0.026402371403049234,3,1500,SCDS
cvcl-resnext,basket,0.1276172863883653,0.01332217036389641,0.007691558645785647,0.01507545494573987,3,1500,SCDS
cvcl-resnext,bell,0.5797041927583122,0.0317997101354821,0.018359571206872663,0.03598475956547042,3,1500,SCDS
cvcl-resnext,bird,0.5672433108895459,0.016263927807274155,0.009389983097610374,0.018404366871316333,3,1500,SCDS
cvcl-resnext,bonzai,0.8028937340935318,0.032197357069543076,0.018589152771295196,0.03643473943173858,3,1500,SCDS
cvcl-resnext,bread,0.34361974771981485,0.03660401181007342,0.02113333607196613,0.04142133870105361,3,1500,SCDS
cvcl-resnext,butterfly,0.5598449855175939,0.023781703027318322,0.013730372644609972,0.026911530383435547,3,1500,SCDS
cvcl-resnext,calculator,0.8714211644232206,0.046261594969312654,0.0267091443086741,0.052349922845001236,3,1500,SCDS
cvcl-resnext,camera,0.8575392308061982,0.03490337581852872,0.020151473424454232,0.03949688791193029,3,1500,SCDS
cvcl-resnext,candle,0.8557958085095612,0.028084673608873116,0.01621469386818567,0.03178079998164392,3,1500,SCDS
cvcl-resnext,ornament,0.462591046654745,0.005118828080240672,0.0029553567700623677,0.00579249926932224,3,1500,SCDS
cvcl-resnext,cookie,0.4669189931562661,0.02825862334173128,0.016315123793276796,0.03197764263482252,3,1500,SCDS
cvcl-resnext,doll,0.41538846425921777,0.03240388394274416,0.018708391117132735,0.036668446589580156,3,1500,SCDS
cvcl-resnext,doorknob,0.6605607690552278,0.03706052785934248,0.021396905735901008,0.04193793524236598,3,1500,SCDS
cvcl-resnext,dresser,0.5967084809428567,0.037932693655718074,0.02190045089321644,0.04292488375070422,3,1500,SCDS
cvcl-resnext,dumbell,0.6700425307916316,0.01197904644841629,0.006916105691628176,0.013555567155591225,3,1500,SCDS
cvcl-resnext,earrings,0.44394197076001385,0.04047499050256521,0.02336824666210357,0.045801763457723,3,1500,SCDS
cvcl-resnext,fan,0.3058562397754605,0.019043785923630794,0.010994934929397845,0.021550072461619774,3,1500,SCDS
cvcl-resnext,goggle,0.7361432993281323,0.004103610854066067,0.0023692208312445138,0.004643672829239247,3,1500,SCDS
cvcl-resnext,grill,0.6046559498336149,0.009333216040924458,0.0053885347936326695,0.010561528195520031,3,1500,SCDS
cvcl-resnext,handbag,0.8110117776804504,0.02556324627568577,0.014758947118627878,0.028927536352510642,3,1500,SCDS
cvcl-resnext,handgun,0.4563883847541527,0.016002116331059628,0.009238826171340983,0.01810809929582833,3,1500,SCDS
cvcl-resnext,handheldgame,0.545967203522584,0.021292184011657594,0.012293048170765559,0.02409437441470049,3,1500,SCDS
cvcl-resnext,headband,0.46871010731424695,0.03496121714166049,0.020184868127934644,0.0395623415307519,3,1500,SCDS
cvcl-resnext,helmet,0.7702410323220468,0.04888254506524189,0.028222350552091418,0.055315807082099176,3,1500,SCDS
cvcl-resnext,horse,0.6384815371515135,0.04814500250231135,0.027796530154844665,0.054481199103495546,3,1500,SCDS
