model,class,seed,accuracy,n_trials,test_type
cvcl-resnext,abacus,0,1.0,500,SCDT
cvcl-resnext,abacus,1,1.0,500,SCDT
cvcl-resnext,abacus,2,1.0,500,SCDT
cvcl-resnext,apple,0,1.0,500,SCDT
cvcl-resnext,apple,1,1.0,500,SCDT
cvcl-resnext,apple,2,0.97,500,SCDT
cvcl-resnext,axe,0,0.944,500,SCDT
cvcl-resnext,axe,1,0.96,500,SCDT
cvcl-resnext,axe,2,0.954,500,SCDT
cvcl-resnext,babushkadolls,0,1.0,500,SCDT
cvcl-resnext,babushkadolls,1,0.974,500,SCDT
cvcl-resnext,babushkadolls,2,0.974,500,SCDT
cvcl-resnext,bagel,0,0.534,500,SCDT
cvcl-resnext,bagel,1,0.578,500,SCDT
cvcl-resnext,bagel,2,0.548,500,SCDT
cvcl-resnext,ball,0,1.0,500,SCDT
cvcl-resnext,ball,1,1.0,500,SCDT
cvcl-resnext,ball,2,1.0,500,SCDT
cvcl-resnext,basket,0,0.964,500,SCDT
cvcl-resnext,basket,1,1.0,500,SCDT
cvcl-resnext,basket,2,1.0,500,SCDT
cvcl-resnext,bell,0,0.946,500,SCDT
cvcl-resnext,bell,1,0.906,500,SCDT
cvcl-resnext,bell,2,0.87,500,SCDT
cvcl-resnext,bird,0,1.0,500,SCDT
cvcl-resnext,bird,1,1.0,500,SCDT
cvcl-resnext,bird,2,1.0,500,SCDT
cvcl-resnext,bonzai,0,0.786,500,SCDT
cvcl-resnext,bonzai,1,0.844,500,SCDT
cvcl-resnext,bonzai,2,0.8,500,SCDT
cvcl-resnext,bread,0,0.338,500,SCDT
cvcl-resnext,bread,1,0.334,500,SCDT
cvcl-resnext,bread,2,0.398,500,SCDT
cvcl-resnext,butterfly,0,0.332,500,SCDT
cvcl-resnext,butterfly,1,0.332,500,SCDT
cvcl-resnext,butterfly,2,0.418,500,SCDT
cvcl-resnext,calculator,0,0.872,500,SCDT
cvcl-resnext,calculator,1,0.884,500,SCDT
cvcl-resnext,calculator,2,0.866,500,SCDT
cvcl-resnext,camera,0,1.0,500,SCDT
cvcl-resnext,camera,1,1.0,500,SCDT
cvcl-resnext,camera,2,1.0,500,SCDT
cvcl-resnext,candle,0,1.0,500,SCDT
cvcl-resnext,candle,1,1.0,500,SCDT
cvcl-resnext,candle,2,1.0,500,SCDT
cvcl-resnext,cookie,0,0.758,500,SCDT
cvcl-resnext,cookie,1,0.806,500,SCDT
cvcl-resnext,cookie,2,0.786,500,SCDT
cvcl-resnext,doll,0,0.896,500,SCDT
cvcl-resnext,doll,1,0.818,500,SCDT
cvcl-resnext,doll,2,0.838,500,SCDT
cvcl-resnext,doorknob,0,0.874,500,SCDT
cvcl-resnext,doorknob,1,0.902,500,SCDT
cvcl-resnext,doorknob,2,0.894,500,SCDT
cvcl-resnext,dresser,0,1.0,500,SCDT
cvcl-resnext,dresser,1,1.0,500,SCDT
cvcl-resnext,dresser,2,1.0,500,SCDT
cvcl-resnext,dumbell,0,1.0,500,SCDT
cvcl-resnext,dumbell,1,1.0,500,SCDT
cvcl-resnext,dumbell,2,1.0,500,SCDT
cvcl-resnext,earrings,0,0.902,500,SCDT
cvcl-resnext,earrings,1,0.944,500,SCDT
cvcl-resnext,earrings,2,0.942,500,SCDT
cvcl-resnext,fan,0,0.636,500,SCDT
cvcl-resnext,fan,1,0.618,500,SCDT
cvcl-resnext,fan,2,0.764,500,SCDT
cvcl-resnext,goggle,0,1.0,500,SCDT
cvcl-resnext,goggle,1,1.0,500,SCDT
cvcl-resnext,goggle,2,0.956,500,SCDT
cvcl-resnext,grill,0,0.758,500,SCDT
cvcl-resnext,grill,1,0.754,500,SCDT
cvcl-resnext,grill,2,0.71,500,SCDT
cvcl-resnext,handbag,0,0.976,500,SCDT
cvcl-resnext,handbag,1,0.962,500,SCDT
cvcl-resnext,handbag,2,0.954,500,SCDT
cvcl-resnext,handgun,0,1.0,500,SCDT
cvcl-resnext,handgun,1,1.0,500,SCDT
cvcl-resnext,handgun,2,1.0,500,SCDT
cvcl-resnext,handheldgame,0,0.734,500,SCDT
cvcl-resnext,handheldgame,1,0.758,500,SCDT
cvcl-resnext,handheldgame,2,0.734,500,SCDT
cvcl-resnext,headband,0,0.604,500,SCDT
cvcl-resnext,headband,1,0.592,500,SCDT
cvcl-resnext,headband,2,0.652,500,SCDT
cvcl-resnext,helmet,0,1.0,500,SCDT
cvcl-resnext,helmet,1,1.0,500,SCDT
cvcl-resnext,helmet,2,1.0,500,SCDT
cvcl-resnext,horse,0,0.894,500,SCDT
cvcl-resnext,horse,1,0.914,500,SCDT
cvcl-resnext,horse,2,0.828,500,SCDT
cvcl-resnext,keyboard,0,1.0,500,SCDT
cvcl-resnext,keyboard,1,1.0,500,SCDT
cvcl-resnext,keyboard,2,1.0,500,SCDT
cvcl-resnext,lantern,0,0.89,500,SCDT
cvcl-resnext,lantern,1,0.912,500,SCDT
cvcl-resnext,lantern,2,0.894,500,SCDT
cvcl-resnext,lei,0,0.858,500,SCDT
cvcl-resnext,lei,1,0.84,500,SCDT
cvcl-resnext,lei,2,0.824,500,SCDT
cvcl-resnext,lipstick,0,1.0,500,SCDT
cvcl-resnext,lipstick,1,1.0,500,SCDT
cvcl-resnext,lipstick,2,1.0,500,SCDT
cvcl-resnext,lock,0,1.0,500,SCDT
cvcl-resnext,lock,1,0.94,500,SCDT
cvcl-resnext,lock,2,0.98,500,SCDT
cvcl-resnext,meat,0,0.342,500,SCDT
cvcl-resnext,meat,1,0.358,500,SCDT
cvcl-resnext,meat,2,0.366,500,SCDT
cvcl-resnext,microwave,0,1.0,500,SCDT
cvcl-resnext,microwave,1,1.0,500,SCDT
cvcl-resnext,microwave,2,1.0,500,SCDT
cvcl-resnext,muffin,0,0.596,500,SCDT
cvcl-resnext,muffin,1,0.514,500,SCDT
cvcl-resnext,muffin,2,0.47,500,SCDT
cvcl-resnext,nailpolish,0,1.0,500,SCDT
cvcl-resnext,nailpolish,1,0.986,500,SCDT
cvcl-resnext,nailpolish,2,1.0,500,SCDT
cvcl-resnext,ornament,0,0.974,500,SCDT
cvcl-resnext,ornament,1,0.976,500,SCDT
cvcl-resnext,ornament,2,0.9,500,SCDT
cvcl-resnext,pen,0,0.468,500,SCDT
cvcl-resnext,pen,1,0.454,500,SCDT
cvcl-resnext,pen,2,0.438,500,SCDT
cvcl-resnext,phone,0,0.976,500,SCDT
cvcl-resnext,phone,1,0.958,500,SCDT
cvcl-resnext,phone,2,0.95,500,SCDT
cvcl-resnext,pillow,0,0.89,500,SCDT
cvcl-resnext,pillow,1,0.88,500,SCDT
cvcl-resnext,pillow,2,0.94,500,SCDT
cvcl-resnext,pipe,0,1.0,500,SCDT
cvcl-resnext,pipe,1,1.0,500,SCDT
cvcl-resnext,pipe,2,1.0,500,SCDT
cvcl-resnext,pitcher,0,1.0,500,SCDT
cvcl-resnext,pitcher,1,1.0,500,SCDT
cvcl-resnext,pitcher,2,1.0,500,SCDT
cvcl-resnext,powerstrip,0,1.0,500,SCDT
cvcl-resnext,powerstrip,1,0.976,500,SCDT
cvcl-resnext,powerstrip,2,1.0,500,SCDT
cvcl-resnext,pumpkin,0,1.0,500,SCDT
cvcl-resnext,pumpkin,1,0.978,500,SCDT
cvcl-resnext,pumpkin,2,1.0,500,SCDT
cvcl-resnext,rabbit,0,0.974,500,SCDT
cvcl-resnext,rabbit,1,0.952,500,SCDT
cvcl-resnext,rabbit,2,0.95,500,SCDT
cvcl-resnext,ring,0,1.0,500,SCDT
cvcl-resnext,ring,1,1.0,500,SCDT
cvcl-resnext,ring,2,1.0,500,SCDT
cvcl-resnext,rug,0,0.58,500,SCDT
cvcl-resnext,rug,1,0.508,500,SCDT
cvcl-resnext,rug,2,0.524,500,SCDT
cvcl-resnext,saddle,0,1.0,500,SCDT
cvcl-resnext,saddle,1,0.98,500,SCDT
cvcl-resnext,saddle,2,0.946,500,SCDT
cvcl-resnext,saltandpeppershake,0,1.0,500,SCDT
cvcl-resnext,saltandpeppershake,1,0.966,500,SCDT
cvcl-resnext,saltandpeppershake,2,0.934,500,SCDT
cvcl-resnext,seashell,0,0.92,500,SCDT
cvcl-resnext,seashell,1,0.928,500,SCDT
cvcl-resnext,seashell,2,0.924,500,SCDT
