model,class,mean_accuracy,std,se,ci95,n_seeds,total_trials,test_type
cvcl-resnext,abacus,1.0,0.0,0.0,0.0,3,1500,SCDT
cvcl-resnext,apple,0.9899999999999999,0.01732050807568879,0.01000000000000001,0.01960000000000002,3,1500,SCDT
cvcl-resnext,axe,0.9526666666666666,0.008082903768654767,0.0046666666666666705,0.009146666666666674,3,1500,SCDT
cvcl-resnext,babushkadolls,0.9826666666666667,0.015011106998930284,0.008666666666666675,0.01698666666666668,3,1500,SCDT
cvcl-resnext,bagel,0.5533333333333333,0.022479620400116446,0.012978614889287834,0.025438085183004153,3,1500,SCDT
cvcl-resnext,ball,1.0,0.0,0.0,0.0,3,1500,SCDT
cvcl-resnext,basket,0.988,0.020784609690826544,0.01200000000000001,0.02352000000000002,3,1500,SCDT
cvcl-resnext,bell,0.9073333333333333,0.03801753981168865,0.021949436844205757,0.043020896214643285,3,1500,SCDT
cvcl-resnext,bird,1.0,0.0,0.0,0.0,3,1500,SCDT
cvcl-resnext,bonzai,0.8099999999999999,0.030265491900843076,0.017473789896108188,0.03424862819637205,3,1500,SCDT
cvcl-resnext,bread,0.3566666666666667,0.03585154575933001,0.020698899595013368,0.0405698432062262,3,1500,SCDT
cvcl-resnext,butterfly,0.3606666666666667,0.0496521231503078,0.02866666666666666,0.056186666666666656,3,1500,SCDT
cvcl-resnext,calculator,0.874,0.009165151389911688,0.005291502622129186,0.010371345139373205,3,1500,SCDT
cvcl-resnext,camera,1.0,0.0,0.0,0.0,3,1500,SCDT
cvcl-resnext,candle,1.0,0.0,0.0,0.0,3,1500,SCDT
cvcl-resnext,cookie,0.7833333333333333,0.024110855093366853,0.013920408678547413,0.02728400100995293,3,1500,SCDT
cvcl-resnext,doll,0.8506666666666667,0.04051337227796936,0.023390406390465135,0.04584519652531166,3,1500,SCDT
cvcl-resnext,doorknob,0.89,0.01442220510185597,0.008326663997864539,0.016320261435814498,3,1500,SCDT
cvcl-resnext,dresser,1.0,0.0,0.0,0.0,3,1500,SCDT
cvcl-resnext,dumbell,1.0,0.0,0.0,0.0,3,1500,SCDT
cvcl-resnext,earrings,0.9293333333333335,0.023692474191889103,0.013678856352455436,0.026810558450812653,3,1500,SCDT
cvcl-resnext,fan,0.6726666666666666,0.07960736984308259,0.045961336408381834,0.09008421936042839,3,1500,SCDT
cvcl-resnext,goggle,0.9853333333333333,0.025403411844343558,0.014666666666666682,0.028746666666666695,3,1500,SCDT
cvcl-resnext,grill,0.7406666666666667,0.026633312473917595,0.015376750126227742,0.030138430247406374,3,1500,SCDT
cvcl-resnext,handbag,0.964,0.011135528725660053,0.006429100507328643,0.012601036994364139,3,1500,SCDT
cvcl-resnext,handgun,1.0,0.0,0.0,0.0,3,1500,SCDT
cvcl-resnext,handheldgame,0.742,0.013856406460551033,0.008000000000000009,0.015680000000000017,3,1500,SCDT
cvcl-resnext,headband,0.616,0.03174901573277512,0.01833030277982338,0.03592739344845382,3,1500,SCDT
cvcl-resnext,helmet,1.0,0.0,0.0,0.0,3,1500,SCDT
cvcl-resnext,horse,0.8786666666666667,0.0450037035513005,0.02598290035987346,0.05092648470535198,3,1500,SCDT
cvcl-resnext,keyboard,1.0,0.0,0.0,0.0,3,1500,SCDT
cvcl-resnext,lantern,0.8986666666666667,0.01171893055416464,0.006765927710061486,0.01326121831172051,3,1500,SCDT
