model,class,seed,accuracy,n_trials,test_type
cvcl-resnext,pillow,0,0.298,500,text_vision_controlled_noBlackWhite
cvcl-resnext,pillow,1,0.224,500,text_vision_controlled_noBlackWhite
cvcl-resnext,pillow,2,0.232,500,text_vision_controlled_noBlackWhite
cvcl-resnext,goggle,0,0.416,500,text_vision_controlled_noBlackWhite
cvcl-resnext,goggle,1,0.396,500,text_vision_controlled_noBlackWhite
cvcl-resnext,goggle,2,0.386,500,text_vision_controlled_noBlackWhite
cvcl-resnext,tennisracquet,0,0.345,500,text_vision_controlled_noBlackWhite
cvcl-resnext,tennisracquet,1,0.43,500,text_vision_controlled_noBlackWhite
cvcl-resnext,tennisracquet,2,0.375,500,text_vision_controlled_noBlackWhite
cvcl-resnext,stapler,0,0.524,500,text_vision_controlled_noBlackWhite
cvcl-resnext,stapler,1,0.446,500,text_vision_controlled_noBlackWhite
cvcl-resnext,stapler,2,0.48,500,text_vision_controlled_noBlackWhite
cvcl-resnext,stool,0,0.088,500,text_vision_controlled_noBlackWhite
cvcl-resnext,stool,1,0.042,500,text_vision_controlled_noBlackWhite
cvcl-resnext,stool,2,0.056,500,text_vision_controlled_noBlackWhite
cvcl-resnext,apple,0,0.35,500,text_vision_controlled_noBlackWhite
cvcl-resnext,apple,1,0.396,500,text_vision_controlled_noBlackWhite
cvcl-resnext,apple,2,0.384,500,text_vision_controlled_noBlackWhite
cvcl-resnext,pitcher,0,0.122,500,text_vision_controlled_noBlackWhite
cvcl-resnext,pitcher,1,0.176,500,text_vision_controlled_noBlackWhite
cvcl-resnext,pitcher,2,0.246,500,text_vision_controlled_noBlackWhite
cvcl-resnext,headband,0,0.046,500,text_vision_controlled_noBlackWhite
cvcl-resnext,headband,1,0.046,500,text_vision_controlled_noBlackWhite
cvcl-resnext,headband,2,0.072,500,text_vision_controlled_noBlackWhite
cvcl-resnext,pipe,0,0.168,500,text_vision_controlled_noBlackWhite
cvcl-resnext,pipe,1,0.114,500,text_vision_controlled_noBlackWhite
cvcl-resnext,pipe,2,0.152,500,text_vision_controlled_noBlackWhite
cvcl-resnext,sodacan,0,0.188,500,text_vision_controlled_noBlackWhite
cvcl-resnext,sodacan,1,0.204,500,text_vision_controlled_noBlackWhite
cvcl-resnext,sodacan,2,0.154,500,text_vision_controlled_noBlackWhite
cvcl-resnext,lock,0,0.086,500,text_vision_controlled_noBlackWhite
cvcl-resnext,lock,1,0.106,500,text_vision_controlled_noBlackWhite
cvcl-resnext,lock,2,0.092,500,text_vision_controlled_noBlackWhite
cvcl-resnext,bell,0,0.288,500,text_vision_controlled_noBlackWhite
cvcl-resnext,bell,1,0.286,500,text_vision_controlled_noBlackWhite
cvcl-resnext,bell,2,0.226,500,text_vision_controlled_noBlackWhite
cvcl-resnext,grill,0,0.64,500,text_vision_controlled_noBlackWhite
cvcl-resnext,grill,1,0.61,500,text_vision_controlled_noBlackWhite
cvcl-resnext,grill,2,0.662,500,text_vision_controlled_noBlackWhite
cvcl-resnext,lantern,0,0.318,500,text_vision_controlled_noBlackWhite
cvcl-resnext,lantern,1,0.186,500,text_vision_controlled_noBlackWhite
cvcl-resnext,lantern,2,0.428,500,text_vision_controlled_noBlackWhite
cvcl-resnext,butterfly,0,0.64,500,text_vision_controlled_noBlackWhite
cvcl-resnext,butterfly,1,0.43,500,text_vision_controlled_noBlackWhite
cvcl-resnext,butterfly,2,0.478,500,text_vision_controlled_noBlackWhite
cvcl-resnext,telescope,0,0.3,500,text_vision_controlled_noBlackWhite
cvcl-resnext,telescope,1,0.326,500,text_vision_controlled_noBlackWhite
cvcl-resnext,telescope,2,0.296,500,text_vision_controlled_noBlackWhite
cvcl-resnext,bird,0,0.282,500,text_vision_controlled_noBlackWhite
cvcl-resnext,bird,1,0.352,500,text_vision_controlled_noBlackWhite
cvcl-resnext,bird,2,0.408,500,text_vision_controlled_noBlackWhite
cvcl-resnext,doorknob,0,0.082,500,text_vision_controlled_noBlackWhite
cvcl-resnext,doorknob,1,0.128,500,text_vision_controlled_noBlackWhite
cvcl-resnext,doorknob,2,0.104,500,text_vision_controlled_noBlackWhite
cvcl-resnext,pen,0,0.108,500,text_vision_controlled_noBlackWhite
cvcl-resnext,pen,1,0.06,500,text_vision_controlled_noBlackWhite
cvcl-resnext,pen,2,0.038,500,text_vision_controlled_noBlackWhite
cvcl-resnext,suitcase,0,0.268,500,text_vision_controlled_noBlackWhite
cvcl-resnext,suitcase,1,0.284,500,text_vision_controlled_noBlackWhite
cvcl-resnext,suitcase,2,0.272,500,text_vision_controlled_noBlackWhite
cvcl-resnext,trumpet,0,0.098,500,text_vision_controlled_noBlackWhite
cvcl-resnext,trumpet,1,0.138,500,text_vision_controlled_noBlackWhite
cvcl-resnext,trumpet,2,0.13,500,text_vision_controlled_noBlackWhite
cvcl-resnext,vase,0,0.138,500,text_vision_controlled_noBlackWhite
cvcl-resnext,vase,1,0.094,500,text_vision_controlled_noBlackWhite
cvcl-resnext,vase,2,0.092,500,text_vision_controlled_noBlackWhite
cvcl-resnext,abacus,0,0.244,500,text_vision_controlled_noBlackWhite
cvcl-resnext,abacus,1,0.3,500,text_vision_controlled_noBlackWhite
cvcl-resnext,abacus,2,0.226,500,text_vision_controlled_noBlackWhite
cvcl-resnext,babushkadolls,0,0.178,500,text_vision_controlled_noBlackWhite
cvcl-resnext,babushkadolls,1,0.1,500,text_vision_controlled_noBlackWhite
cvcl-resnext,babushkadolls,2,0.122,500,text_vision_controlled_noBlackWhite
cvcl-resnext,nailpolish,0,0.428,500,text_vision_controlled_noBlackWhite
cvcl-resnext,nailpolish,1,0.592,500,text_vision_controlled_noBlackWhite
cvcl-resnext,nailpolish,2,0.432,500,text_vision_controlled_noBlackWhite
cvcl-resnext,axe,0,0.336,500,text_vision_controlled_noBlackWhite
cvcl-resnext,axe,1,0.218,500,text_vision_controlled_noBlackWhite
cvcl-resnext,axe,2,0.2,500,text_vision_controlled_noBlackWhite
cvcl-resnext,lei,0,0.272,500,text_vision_controlled_noBlackWhite
cvcl-resnext,lei,1,0.316,500,text_vision_controlled_noBlackWhite
cvcl-resnext,lei,2,0.33,500,text_vision_controlled_noBlackWhite
cvcl-resnext,bread,0,0.294,500,text_vision_controlled_noBlackWhite
cvcl-resnext,bread,1,0.22,500,text_vision_controlled_noBlackWhite
cvcl-resnext,bread,2,0.256,500,text_vision_controlled_noBlackWhite
cvcl-resnext,fan,0,0.102,500,text_vision_controlled_noBlackWhite
cvcl-resnext,fan,1,0.144,500,text_vision_controlled_noBlackWhite
cvcl-resnext,fan,2,0.16,500,text_vision_controlled_noBlackWhite
cvcl-resnext,handheldgame,0,0.186,500,text_vision_controlled_noBlackWhite
cvcl-resnext,handheldgame,1,0.3,500,text_vision_controlled_noBlackWhite
cvcl-resnext,handheldgame,2,0.27,500,text_vision_controlled_noBlackWhite
cvcl-resnext,pumpkin,0,0.4564102564102564,500,text_vision_controlled_noBlackWhite
cvcl-resnext,pumpkin,1,0.3564102564102564,500,text_vision_controlled_noBlackWhite
cvcl-resnext,pumpkin,2,0.39487179487179486,500,text_vision_controlled_noBlackWhite
cvcl-resnext,trophy,0,0.282,500,text_vision_controlled_noBlackWhite
cvcl-resnext,trophy,1,0.186,500,text_vision_controlled_noBlackWhite
cvcl-resnext,trophy,2,0.206,500,text_vision_controlled_noBlackWhite
cvcl-resnext,candle,0,0.268,500,text_vision_controlled_noBlackWhite
cvcl-resnext,candle,1,0.286,500,text_vision_controlled_noBlackWhite
cvcl-resnext,candle,2,0.206,500,text_vision_controlled_noBlackWhite
cvcl-resnext,calculator,0,0.222,500,text_vision_controlled_noBlackWhite
cvcl-resnext,calculator,1,0.456,500,text_vision_controlled_noBlackWhite
cvcl-resnext,calculator,2,0.304,500,text_vision_controlled_noBlackWhite
cvcl-resnext,rabbit,0,0.292,500,text_vision_controlled_noBlackWhite
cvcl-resnext,rabbit,1,0.402,500,text_vision_controlled_noBlackWhite
cvcl-resnext,rabbit,2,0.368,500,text_vision_controlled_noBlackWhite
cvcl-resnext,sippycup,0,0.238,500,text_vision_controlled_noBlackWhite
cvcl-resnext,sippycup,1,0.252,500,text_vision_controlled_noBlackWhite
cvcl-resnext,sippycup,2,0.236,500,text_vision_controlled_noBlackWhite
cvcl-resnext,earrings,0,0.198,500,text_vision_controlled_noBlackWhite
cvcl-resnext,earrings,1,0.23,500,text_vision_controlled_noBlackWhite
cvcl-resnext,earrings,2,0.24,500,text_vision_controlled_noBlackWhite
cvcl-resnext,phone,0,0.4825,500,text_vision_controlled_noBlackWhite
cvcl-resnext,phone,1,0.4325,500,text_vision_controlled_noBlackWhite
cvcl-resnext,phone,2,0.47,500,text_vision_controlled_noBlackWhite
cvcl-resnext,basket,0,0.472,500,text_vision_controlled_noBlackWhite
cvcl-resnext,basket,1,0.524,500,text_vision_controlled_noBlackWhite
cvcl-resnext,basket,2,0.44,500,text_vision_controlled_noBlackWhite
cvcl-resnext,muffin,0,0.206,500,text_vision_controlled_noBlackWhite
cvcl-resnext,muffin,1,0.298,500,text_vision_controlled_noBlackWhite
cvcl-resnext,muffin,2,0.242,500,text_vision_controlled_noBlackWhite
cvcl-resnext,bonzai,0,0.422,500,text_vision_controlled_noBlackWhite
cvcl-resnext,bonzai,1,0.396,500,text_vision_controlled_noBlackWhite
cvcl-resnext,bonzai,2,0.452,500,text_vision_controlled_noBlackWhite
cvcl-resnext,cookie,0,0.266,500,text_vision_controlled_noBlackWhite
cvcl-resnext,cookie,1,0.298,500,text_vision_controlled_noBlackWhite
cvcl-resnext,cookie,2,0.276,500,text_vision_controlled_noBlackWhite
cvcl-resnext,keyboard,0,0.38,500,text_vision_controlled_noBlackWhite
cvcl-resnext,keyboard,1,0.48,500,text_vision_controlled_noBlackWhite
cvcl-resnext,keyboard,2,0.396,500,text_vision_controlled_noBlackWhite
cvcl-resnext,horse,0,0.34,500,text_vision_controlled_noBlackWhite
cvcl-resnext,horse,1,0.308,500,text_vision_controlled_noBlackWhite
cvcl-resnext,horse,2,0.28,500,text_vision_controlled_noBlackWhite
cvcl-resnext,train,0,0.256,500,text_vision_controlled_noBlackWhite
cvcl-resnext,train,1,0.178,500,text_vision_controlled_noBlackWhite
cvcl-resnext,train,2,0.214,500,text_vision_controlled_noBlackWhite
cvcl-resnext,tricycle,0,0.302,500,text_vision_controlled_noBlackWhite
cvcl-resnext,tricycle,1,0.428,500,text_vision_controlled_noBlackWhite
cvcl-resnext,tricycle,2,0.464,500,text_vision_controlled_noBlackWhite
cvcl-resnext,lipstick,0,0.13,500,text_vision_controlled_noBlackWhite
cvcl-resnext,lipstick,1,0.182,500,text_vision_controlled_noBlackWhite
cvcl-resnext,lipstick,2,0.214,500,text_vision_controlled_noBlackWhite
cvcl-resnext,handbag,0,0.144,500,text_vision_controlled_noBlackWhite
cvcl-resnext,handbag,1,0.124,500,text_vision_controlled_noBlackWhite
cvcl-resnext,handbag,2,0.072,500,text_vision_controlled_noBlackWhite
cvcl-resnext,microwave,0,0.586,500,text_vision_controlled_noBlackWhite
cvcl-resnext,microwave,1,0.76,500,text_vision_controlled_noBlackWhite
cvcl-resnext,microwave,2,0.676,500,text_vision_controlled_noBlackWhite
cvcl-resnext,seashell,0,0.348,500,text_vision_controlled_noBlackWhite
cvcl-resnext,seashell,1,0.202,500,text_vision_controlled_noBlackWhite
cvcl-resnext,seashell,2,0.146,500,text_vision_controlled_noBlackWhite
cvcl-resnext,toothpaste,0,0.244,500,text_vision_controlled_noBlackWhite
cvcl-resnext,toothpaste,1,0.312,500,text_vision_controlled_noBlackWhite
cvcl-resnext,toothpaste,2,0.252,500,text_vision_controlled_noBlackWhite
cvcl-resnext,dresser,0,0.244,500,text_vision_controlled_noBlackWhite
cvcl-resnext,dresser,1,0.424,500,text_vision_controlled_noBlackWhite
cvcl-resnext,dresser,2,0.33,500,text_vision_controlled_noBlackWhite
cvcl-resnext,handgun,0,0.066,500,text_vision_controlled_noBlackWhite
cvcl-resnext,handgun,1,0.038,500,text_vision_controlled_noBlackWhite
cvcl-resnext,handgun,2,0.082,500,text_vision_controlled_noBlackWhite
cvcl-resnext,dumbell,0,0.218,500,text_vision_controlled_noBlackWhite
cvcl-resnext,dumbell,1,0.164,500,text_vision_controlled_noBlackWhite
cvcl-resnext,dumbell,2,0.16,500,text_vision_controlled_noBlackWhite
cvcl-resnext,meat,0,0.348,500,text_vision_controlled_noBlackWhite
cvcl-resnext,meat,1,0.314,500,text_vision_controlled_noBlackWhite
cvcl-resnext,meat,2,0.396,500,text_vision_controlled_noBlackWhite
cvcl-resnext,powerstrip,0,0.228,500,text_vision_controlled_noBlackWhite
cvcl-resnext,powerstrip,1,0.162,500,text_vision_controlled_noBlackWhite
cvcl-resnext,powerstrip,2,0.166,500,text_vision_controlled_noBlackWhite
cvcl-resnext,ring,0,0.7,500,text_vision_controlled_noBlackWhite
cvcl-resnext,ring,1,0.228,500,text_vision_controlled_noBlackWhite
cvcl-resnext,ring,2,0.464,500,text_vision_controlled_noBlackWhite
cvcl-resnext,saltandpeppershake,0,0.094,500,text_vision_controlled_noBlackWhite
cvcl-resnext,saltandpeppershake,1,0.074,500,text_vision_controlled_noBlackWhite
cvcl-resnext,saltandpeppershake,2,0.058,500,text_vision_controlled_noBlackWhite
cvcl-resnext,bagel,0,0.034,500,text_vision_controlled_noBlackWhite
cvcl-resnext,bagel,1,0.146,500,text_vision_controlled_noBlackWhite
cvcl-resnext,bagel,2,0.032,500,text_vision_controlled_noBlackWhite
cvcl-resnext,tree,0,0.318,500,text_vision_controlled_noBlackWhite
cvcl-resnext,tree,1,0.296,500,text_vision_controlled_noBlackWhite
cvcl-resnext,tree,2,0.356,500,text_vision_controlled_noBlackWhite
cvcl-resnext,wineglass,0,0.356,500,text_vision_controlled_noBlackWhite
cvcl-resnext,wineglass,1,0.234,500,text_vision_controlled_noBlackWhite
cvcl-resnext,wineglass,2,0.286,500,text_vision_controlled_noBlackWhite
cvcl-resnext,helmet,0,0.09,500,text_vision_controlled_noBlackWhite
cvcl-resnext,helmet,1,0.12,500,text_vision_controlled_noBlackWhite
cvcl-resnext,helmet,2,0.162,500,text_vision_controlled_noBlackWhite
cvcl-resnext,ornament,0,0.142,500,text_vision_controlled_noBlackWhite
cvcl-resnext,ornament,1,0.128,500,text_vision_controlled_noBlackWhite
cvcl-resnext,ornament,2,0.16,500,text_vision_controlled_noBlackWhite
cvcl-resnext,camera,0,0.064,500,text_vision_controlled_noBlackWhite
cvcl-resnext,camera,1,0.094,500,text_vision_controlled_noBlackWhite
cvcl-resnext,camera,2,0.116,500,text_vision_controlled_noBlackWhite
cvcl-resnext,saddle,0,0.222,500,text_vision_controlled_noBlackWhite
cvcl-resnext,saddle,1,0.234,500,text_vision_controlled_noBlackWhite
cvcl-resnext,saddle,2,0.232,500,text_vision_controlled_noBlackWhite
cvcl-resnext,doll,0,0.238,500,text_vision_controlled_noBlackWhite
cvcl-resnext,doll,1,0.204,500,text_vision_controlled_noBlackWhite
cvcl-resnext,doll,2,0.306,500,text_vision_controlled_noBlackWhite
clip-res,pillow,0,0.924,500,text_vision_controlled_noBlackWhite
clip-res,pillow,1,0.938,500,text_vision_controlled_noBlackWhite
clip-res,pillow,2,0.948,500,text_vision_controlled_noBlackWhite
clip-res,goggle,0,0.908,500,text_vision_controlled_noBlackWhite
clip-res,goggle,1,0.904,500,text_vision_controlled_noBlackWhite
clip-res,goggle,2,0.894,500,text_vision_controlled_noBlackWhite
clip-res,tennisracquet,0,1.0,500,text_vision_controlled_noBlackWhite
clip-res,tennisracquet,1,0.99,500,text_vision_controlled_noBlackWhite
clip-res,tennisracquet,2,1.0,500,text_vision_controlled_noBlackWhite
clip-res,stapler,0,0.942,500,text_vision_controlled_noBlackWhite
clip-res,stapler,1,0.956,500,text_vision_controlled_noBlackWhite
clip-res,stapler,2,0.928,500,text_vision_controlled_noBlackWhite
clip-res,stool,0,0.86,500,text_vision_controlled_noBlackWhite
clip-res,stool,1,0.848,500,text_vision_controlled_noBlackWhite
clip-res,stool,2,0.858,500,text_vision_controlled_noBlackWhite
clip-res,apple,0,0.996,500,text_vision_controlled_noBlackWhite
clip-res,apple,1,0.998,500,text_vision_controlled_noBlackWhite
clip-res,apple,2,0.996,500,text_vision_controlled_noBlackWhite
clip-res,pitcher,0,0.946,500,text_vision_controlled_noBlackWhite
clip-res,pitcher,1,0.926,500,text_vision_controlled_noBlackWhite
clip-res,pitcher,2,0.95,500,text_vision_controlled_noBlackWhite
clip-res,headband,0,0.906,500,text_vision_controlled_noBlackWhite
clip-res,headband,1,0.892,500,text_vision_controlled_noBlackWhite
clip-res,headband,2,0.894,500,text_vision_controlled_noBlackWhite
clip-res,pipe,0,0.696,500,text_vision_controlled_noBlackWhite
clip-res,pipe,1,0.736,500,text_vision_controlled_noBlackWhite
clip-res,pipe,2,0.704,500,text_vision_controlled_noBlackWhite
clip-res,sodacan,0,0.13,500,text_vision_controlled_noBlackWhite
clip-res,sodacan,1,0.104,500,text_vision_controlled_noBlackWhite
clip-res,sodacan,2,0.11,500,text_vision_controlled_noBlackWhite
clip-res,lock,0,0.956,500,text_vision_controlled_noBlackWhite
clip-res,lock,1,0.958,500,text_vision_controlled_noBlackWhite
clip-res,lock,2,0.94,500,text_vision_controlled_noBlackWhite
clip-res,bell,0,0.938,500,text_vision_controlled_noBlackWhite
clip-res,bell,1,0.944,500,text_vision_controlled_noBlackWhite
clip-res,bell,2,0.92,500,text_vision_controlled_noBlackWhite
clip-res,grill,0,0.796,500,text_vision_controlled_noBlackWhite
clip-res,grill,1,0.78,500,text_vision_controlled_noBlackWhite
clip-res,grill,2,0.772,500,text_vision_controlled_noBlackWhite
clip-res,lantern,0,0.826,500,text_vision_controlled_noBlackWhite
clip-res,lantern,1,0.874,500,text_vision_controlled_noBlackWhite
clip-res,lantern,2,0.84,500,text_vision_controlled_noBlackWhite
clip-res,butterfly,0,0.99,500,text_vision_controlled_noBlackWhite
clip-res,butterfly,1,0.994,500,text_vision_controlled_noBlackWhite
clip-res,butterfly,2,0.984,500,text_vision_controlled_noBlackWhite
clip-res,telescope,0,0.896,500,text_vision_controlled_noBlackWhite
clip-res,telescope,1,0.898,500,text_vision_controlled_noBlackWhite
clip-res,telescope,2,0.896,500,text_vision_controlled_noBlackWhite
clip-res,bird,0,0.998,500,text_vision_controlled_noBlackWhite
clip-res,bird,1,0.998,500,text_vision_controlled_noBlackWhite
clip-res,bird,2,1.0,500,text_vision_controlled_noBlackWhite
clip-res,doorknob,0,0.808,500,text_vision_controlled_noBlackWhite
clip-res,doorknob,1,0.85,500,text_vision_controlled_noBlackWhite
clip-res,doorknob,2,0.852,500,text_vision_controlled_noBlackWhite
clip-res,pen,0,0.932,500,text_vision_controlled_noBlackWhite
clip-res,pen,1,0.948,500,text_vision_controlled_noBlackWhite
clip-res,pen,2,0.944,500,text_vision_controlled_noBlackWhite
clip-res,suitcase,0,0.946,500,text_vision_controlled_noBlackWhite
clip-res,suitcase,1,0.944,500,text_vision_controlled_noBlackWhite
clip-res,suitcase,2,0.932,500,text_vision_controlled_noBlackWhite
clip-res,trumpet,0,0.748,500,text_vision_controlled_noBlackWhite
clip-res,trumpet,1,0.742,500,text_vision_controlled_noBlackWhite
clip-res,trumpet,2,0.752,500,text_vision_controlled_noBlackWhite
clip-res,vase,0,0.96,500,text_vision_controlled_noBlackWhite
clip-res,vase,1,0.958,500,text_vision_controlled_noBlackWhite
clip-res,vase,2,0.958,500,text_vision_controlled_noBlackWhite
clip-res,abacus,0,0.866,500,text_vision_controlled_noBlackWhite
clip-res,abacus,1,0.862,500,text_vision_controlled_noBlackWhite
clip-res,abacus,2,0.884,500,text_vision_controlled_noBlackWhite
clip-res,babushkadolls,0,0.934,500,text_vision_controlled_noBlackWhite
clip-res,babushkadolls,1,0.912,500,text_vision_controlled_noBlackWhite
clip-res,babushkadolls,2,0.912,500,text_vision_controlled_noBlackWhite
clip-res,nailpolish,0,0.942,500,text_vision_controlled_noBlackWhite
clip-res,nailpolish,1,0.962,500,text_vision_controlled_noBlackWhite
clip-res,nailpolish,2,0.958,500,text_vision_controlled_noBlackWhite
clip-res,axe,0,0.94,500,text_vision_controlled_noBlackWhite
clip-res,axe,1,0.928,500,text_vision_controlled_noBlackWhite
clip-res,axe,2,0.934,500,text_vision_controlled_noBlackWhite
clip-res,lei,0,0.704,500,text_vision_controlled_noBlackWhite
clip-res,lei,1,0.684,500,text_vision_controlled_noBlackWhite
clip-res,lei,2,0.682,500,text_vision_controlled_noBlackWhite
clip-res,bread,0,0.734,500,text_vision_controlled_noBlackWhite
clip-res,bread,1,0.762,500,text_vision_controlled_noBlackWhite
clip-res,bread,2,0.75,500,text_vision_controlled_noBlackWhite
clip-res,fan,0,0.598,500,text_vision_controlled_noBlackWhite
clip-res,fan,1,0.59,500,text_vision_controlled_noBlackWhite
clip-res,fan,2,0.596,500,text_vision_controlled_noBlackWhite
clip-res,handheldgame,0,0.734,500,text_vision_controlled_noBlackWhite
clip-res,handheldgame,1,0.716,500,text_vision_controlled_noBlackWhite
clip-res,handheldgame,2,0.76,500,text_vision_controlled_noBlackWhite
