model,class,mean_accuracy,std,se,ci95,n_seeds,total_trials,test_type
cvcl-resnext,pillow,0.25133333333333335,0.04061198509471474,0.023447340526758627,0.045956787432446904,3,1500,text_vision_controlled_noBlackWhite
cvcl-resnext,goggle,0.3993333333333333,0.01527525231651945,0.00881917103688196,0.01728557523228864,3,1500,text_vision_controlled_noBlackWhite
cvcl-resnext,tennisracquet,0.3833333333333333,0.043108390521258554,0.024888640871780138,0.04878173610868908,3,1500,text_vision_controlled_noBlackWhite
cvcl-resnext,stapler,0.48333333333333334,0.03910669166949991,0.02257825896250147,0.044253387566502884,3,1500,text_vision_controlled_noBlackWhite
cvcl-resnext,stool,0.062,0.023579652245103187,0.01361371857110809,0.026682888399371853,3,1500,text_vision_controlled_noBlackWhite
cvcl-resnext,apple,0.37666666666666665,0.02386070689089773,0.013775985546514564,0.027000931671168543,3,1500,text_vision_controlled_noBlackWhite
cvcl-resnext,pitcher,0.18133333333333335,0.06217180497084939,0.03589490833592481,0.07035402033841263,3,1500,text_vision_controlled_noBlackWhite
cvcl-resnext,headband,0.05466666666666666,0.015011106998930266,0.008666666666666665,0.016986666666666664,3,1500,text_vision_controlled_noBlackWhite
cvcl-resnext,pipe,0.1446666666666667,0.027736858750286295,0.01601388286595242,0.03138721041726675,3,1500,text_vision_controlled_noBlackWhite
cvcl-resnext,sodacan,0.18200000000000002,0.025534290669607405,0.014742229591663986,0.02889476999966141,3,1500,text_vision_controlled_noBlackWhite
cvcl-resnext,lock,0.09466666666666668,0.01026320287889377,0.0059254629448770605,0.011613907371959038,3,1500,text_vision_controlled_noBlackWhite
cvcl-resnext,bell,0.26666666666666666,0.03523256069793015,0.020341528403189802,0.03986939567025201,3,1500,text_vision_controlled_noBlackWhite
cvcl-resnext,grill,0.6373333333333333,0.026102362600602547,0.0150702060739431,0.02953760390492848,3,1500,text_vision_controlled_noBlackWhite
cvcl-resnext,lantern,0.31066666666666665,0.12116655204029424,0.06995554143724268,0.13711286121699565,3,1500,text_vision_controlled_noBlackWhite
cvcl-resnext,butterfly,0.516,0.11003635762783136,0.06352952069707436,0.12451786056626575,3,1500,text_vision_controlled_noBlackWhite
