model,class,seed,accuracy,n_trials,test_type
cvcl-resnext,grill,0,0.598,500,text_vision_controlled
cvcl-resnext,grill,1,0.594,500,text_vision_controlled
cvcl-resnext,grill,2,0.67,500,text_vision_controlled
cvcl-resnext,dumbell,0,0.256,500,text_vision_controlled
cvcl-resnext,dumbell,1,0.152,500,text_vision_controlled
cvcl-resnext,dumbell,2,0.182,500,text_vision_controlled
cvcl-resnext,pipe,0,0.22,500,text_vision_controlled
cvcl-resnext,pipe,1,0.118,500,text_vision_controlled
cvcl-resnext,pipe,2,0.186,500,text_vision_controlled
cvcl-resnext,tree,0,0.284,500,text_vision_controlled
cvcl-resnext,tree,1,0.266,500,text_vision_controlled
cvcl-resnext,tree,2,0.302,500,text_vision_controlled
cvcl-resnext,handheldgame,0,0.162,500,text_vision_controlled
cvcl-resnext,handheldgame,1,0.248,500,text_vision_controlled
cvcl-resnext,handheldgame,2,0.24,500,text_vision_controlled
cvcl-resnext,wineglass,0,0.304,500,text_vision_controlled
cvcl-resnext,wineglass,1,0.17,500,text_vision_controlled
cvcl-resnext,wineglass,2,0.256,500,text_vision_controlled
cvcl-resnext,sodacan,0,0.248,500,text_vision_controlled
cvcl-resnext,sodacan,1,0.214,500,text_vision_controlled
cvcl-resnext,sodacan,2,0.204,500,text_vision_controlled
cvcl-resnext,tricycle,0,0.314,500,text_vision_controlled
cvcl-resnext,tricycle,1,0.406,500,text_vision_controlled
cvcl-resnext,tricycle,2,0.482,500,text_vision_controlled
cvcl-resnext,horse,0,0.296,500,text_vision_controlled
cvcl-resnext,horse,1,0.326,500,text_vision_controlled
cvcl-resnext,horse,2,0.248,500,text_vision_controlled
cvcl-resnext,vase,0,0.108,500,text_vision_controlled
cvcl-resnext,vase,1,0.072,500,text_vision_controlled
cvcl-resnext,vase,2,0.084,500,text_vision_controlled
cvcl-resnext,basket,0,0.536,500,text_vision_controlled
cvcl-resnext,basket,1,0.516,500,text_vision_controlled
cvcl-resnext,basket,2,0.518,500,text_vision_controlled
cvcl-resnext,dresser,0,0.208,500,text_vision_controlled
cvcl-resnext,dresser,1,0.364,500,text_vision_controlled
cvcl-resnext,dresser,2,0.296,500,text_vision_controlled
cvcl-resnext,train,0,0.23,500,text_vision_controlled
cvcl-resnext,train,1,0.168,500,text_vision_controlled
cvcl-resnext,train,2,0.224,500,text_vision_controlled
cvcl-resnext,bell,0,0.306,500,text_vision_controlled
cvcl-resnext,bell,1,0.3,500,text_vision_controlled
cvcl-resnext,bell,2,0.244,500,text_vision_controlled
cvcl-resnext,pillow,0,0.33,500,text_vision_controlled
cvcl-resnext,pillow,1,0.238,500,text_vision_controlled
cvcl-resnext,pillow,2,0.262,500,text_vision_controlled
cvcl-resnext,ornament,0,0.168,500,text_vision_controlled
cvcl-resnext,ornament,1,0.194,500,text_vision_controlled
cvcl-resnext,ornament,2,0.212,500,text_vision_controlled
cvcl-resnext,axe,0,0.308,500,text_vision_controlled
cvcl-resnext,axe,1,0.236,500,text_vision_controlled
cvcl-resnext,axe,2,0.226,500,text_vision_controlled
cvcl-resnext,doll,0,0.17,500,text_vision_controlled
cvcl-resnext,doll,1,0.176,500,text_vision_controlled
