model,class,mean_accuracy,std,se,ci95,n_seeds,total_trials
cvcl-resnext,grill,0.6206666666666667,0.04277070648625455,0.02469367890326954,0.04839961065040829,3,1500
cvcl-resnext,dumbell,0.19666666666666668,0.05352880844305554,0.03090487196399803,0.06057354904943614,3,1500
cvcl-resnext,pipe,0.17466666666666666,0.05193585787616618,0.029985181525398693,0.05877095578978144,3,1500
cvcl-resnext,tree,0.28400000000000003,0.017999999999999988,0.010392304845413258,0.020368917497009986,3,1500
cvcl-resnext,handheldgame,0.21666666666666667,0.047511402140258216,0.027430720815254644,0.0537642127978991,3,1500
cvcl-resnext,wineglass,0.24333333333333332,0.06789207121110191,0.039197505589570934,0.07682711095555902,3,1500
cvcl-resnext,sodacan,0.22199999999999998,0.023065125189341597,0.013316656236958789,0.02610064622443923,3,1500
cvcl-resnext,tricycle,0.40066666666666667,0.08412688828985256,0.04857068160023195,0.09519853593645462,3,1500
cvcl-resnext,horse,0.29,0.039344631145812006,0.0227156333832011,0.04452264143107414,3,1500
cvcl-resnext,vase,0.08800000000000001,0.018330302779823362,0.010583005244258365,0.020742690278746395,3,1500
cvcl-resnext,basket,0.5233333333333333,0.011015141094572214,0.006359594676112977,0.012464805565181435,3,1500
cvcl-resnext,dresser,0.2893333333333333,0.07821338333899981,0.045156517925002936,0.08850677513300574,3,1500
cvcl-resnext,train,0.20733333333333334,0.03419551627528576,0.019742790526614463,0.038695869432164354,3,1500
cvcl-resnext,bell,0.2833333333333333,0.03419551627528576,0.019742790526614463,0.038695869432164354,3,1500
cvcl-resnext,pillow,0.27666666666666667,0.04772141378179543,0.02755197109302911,0.05400186334233705,3,1500
cvcl-resnext,ornament,0.19133333333333333,0.022120880030716068,0.01277149604044534,0.025032132239272864,3,1500
cvcl-resnext,axe,0.25666666666666665,0.044736264186153646,0.025828494170414024,0.05062384857401149,3,1500
cvcl-resnext,doll,0.20666666666666667,0.05838949677239336,0.03371119167938809,0.06607393569160065,3,1500
cvcl-resnext,cookie,0.24333333333333332,0.032393414968683594,0.018702346852140728,0.03665659983019582,3,1500
cvcl-resnext,goggle,0.4126666666666667,0.006110100926607762,0.0035276684147527737,0.006914230092915436,3,1500
cvcl-resnext,lei,0.32066666666666666,0.041585253796668525,0.02400925747382548,0.04705814464869794,3,1500
cvcl-resnext,muffin,0.25333333333333335,0.049166384179979435,0.028386225141391684,0.0556370012771277,3,1500
cvcl-resnext,trophy,0.2293333333333333,0.059138256089720224,0.034143488072805,0.0669212366226978,3,1500
cvcl-resnext,fan,0.11666666666666665,0.02730079363925769,0.01576212055671585,0.030893756291163067,3,1500
cvcl-resnext,stool,0.068,0.020297783130184436,0.01171893055416463,0.022969103886162672,3,1500
cvcl-resnext,nailpolish,0.4633333333333334,0.09544282756359079,0.05510394218605818,0.10800372668467403,3,1500
cvcl-resnext,abacus,0.24066666666666667,0.026407069760451155,0.015246128834705702,0.029882412516023173,3,1500
cvcl-resnext,stapler,0.49933333333333335,0.04957149718672349,0.028620117244887586,0.05609542979997967,3,1500
cvcl-resnext,butterfly,0.4713333333333333,0.10028625695145536,0.057900297446942736,0.11348458299600776,3,1500
cvcl-resnext,bird,0.39199999999999996,0.03487119154832539,0.020132891827388668,0.03946046798168179,3,1500
cvcl-resnext,helmet,0.12533333333333332,0.024110855093366825,0.013920408678547398,0.027284001009952895,3,1500
cvcl-resnext,pen,0.056,0.04886716689148247,0.02821347195933177,0.05529840504029027,3,1500
cvcl-resnext,microwave,0.6866666666666666,0.059475485145842506,0.03433818735913576,0.0673028472239061,3,1500
cvcl-resnext,calculator,0.2833333333333333,0.11514049389043514,0.06647639514226919,0.13029373447884762,3,1500
cvcl-resnext,earrings,0.19799999999999998,0.016,0.009237604307034013,0.018105704441786663,3,1500
cvcl-resnext,pumpkin,0.3666666666666667,0.061419727450634246,0.035460696177177134,0.06950296450726717,3,1500
cvcl-resnext,pitcher,0.16333333333333333,0.05787342510456188,0.03341323756304445,0.06548994562356712,3,1500
cvcl-resnext,lipstick,0.17,0.02078460969082653,0.012000000000000002,0.023520000000000003,3,1500
cvcl-resnext,saddle,0.2273333333333333,0.014742229591663984,0.008511430223202469,0.01668240323747684,3,1500
cvcl-resnext,doorknob,0.10933333333333334,0.02948445918332798,0.01702286044640494,0.03336480647495369,3,1500
cvcl-resnext,bagel,0.07,0.05737595315112422,0.03312602199681292,0.06492700311375334,3,1500
cvcl-resnext,candle,0.25466666666666665,0.05852634734316958,0.033790202393264496,0.06622879669079842,3,1500
cvcl-resnext,seashell,0.26266666666666666,0.11344308411416422,0.06549639515101408,0.12837293449598758,3,1500
cvcl-resnext,sippycup,0.212,0.012489995996796796,0.007211102550927979,0.014133760999818838,3,1500
cvcl-resnext,apple,0.38066666666666665,0.025324559884296764,0.014621141466307535,0.02865743727396277,3,1500
cvcl-resnext,handgun,0.09666666666666666,0.01285820101465727,0.007423685817106694,0.014550424201529119,3,1500
cvcl-resnext,meat,0.3906666666666667,0.014047538337136999,0.008110350040397635,0.015896286079179364,3,1500
cvcl-resnext,ring,0.44133333333333336,0.2070008051514132,0.11951197057663769,0.23424346233020985,3,1500
cvcl-resnext,telescope,0.29266666666666663,0.06325609325063737,0.036520922466139555,0.07158100803363353,3,1500
cvcl-resnext,handbag,0.13,0.018330302779823355,0.01058300524425836,0.020742690278746385,3,1500
cvcl-resnext,trumpet,0.09200000000000001,0.015099668870541498,0.008717797887081347,0.01708688385867944,3,1500
