model,class,seed,accuracy,n_trials,test_type
cvcl-resnext,headband,0,0.24166666666666667,500,scdc_text_vision_noblackwhite
cvcl-resnext,headband,1,0.25,500,scdc_text_vision_noblackwhite
cvcl-resnext,headband,2,0.24166666666666667,500,scdc_text_vision_noblackwhite
cvcl-resnext,abacus,0,0.24166666666666667,500,scdc_text_vision_noblackwhite
cvcl-resnext,abacus,1,0.25,500,scdc_text_vision_noblackwhite
cvcl-resnext,abacus,2,0.3,500,scdc_text_vision_noblackwhite
cvcl-resnext,camera,0,0.225,500,scdc_text_vision_noblackwhite
cvcl-resnext,camera,1,0.25,500,scdc_text_vision_noblackwhite
cvcl-resnext,camera,2,0.23333333333333334,500,scdc_text_vision_noblackwhite
cvcl-resnext,ornament,0,0.375,500,scdc_text_vision_noblackwhite
cvcl-resnext,ornament,1,0.25,500,scdc_text_vision_noblackwhite
cvcl-resnext,ornament,2,0.26666666666666666,500,scdc_text_vision_noblackwhite
cvcl-resnext,doll,0,0.275,500,scdc_text_vision_noblackwhite
cvcl-resnext,doll,1,0.25,500,scdc_text_vision_noblackwhite
cvcl-resnext,doll,2,0.225,500,scdc_text_vision_noblackwhite
cvcl-resnext,pen,0,0.24166666666666667,500,scdc_text_vision_noblackwhite
cvcl-resnext,pen,1,0.25833333333333336,500,scdc_text_vision_noblackwhite
cvcl-resnext,pen,2,0.26666666666666666,500,scdc_text_vision_noblackwhite
cvcl-resnext,tricycle,0,0.275,500,scdc_text_vision_noblackwhite
cvcl-resnext,tricycle,1,0.25833333333333336,500,scdc_text_vision_noblackwhite
cvcl-resnext,tricycle,2,0.125,500,scdc_text_vision_noblackwhite
cvcl-resnext,apple,0,0.30833333333333335,500,scdc_text_vision_noblackwhite
cvcl-resnext,apple,1,0.225,500,scdc_text_vision_noblackwhite
cvcl-resnext,apple,2,0.275,500,scdc_text_vision_noblackwhite
cvcl-resnext,candle,0,0.2916666666666667,500,scdc_text_vision_noblackwhite
cvcl-resnext,candle,1,0.21666666666666667,500,scdc_text_vision_noblackwhite
cvcl-resnext,candle,2,0.25,500,scdc_text_vision_noblackwhite
cvcl-resnext,handgun,0,0.26666666666666666,500,scdc_text_vision_noblackwhite
cvcl-resnext,handgun,1,0.24166666666666667,500,scdc_text_vision_noblackwhite
cvcl-resnext,handgun,2,0.25833333333333336,500,scdc_text_vision_noblackwhite
cvcl-resnext,handbag,0,0.275,500,scdc_text_vision_noblackwhite
cvcl-resnext,handbag,1,0.31666666666666665,500,scdc_text_vision_noblackwhite
