model,class,mean_accuracy,std,se,ci95,n_seeds,total_trials
cvcl-resnext,headband,0.24444444444444446,0.00481125224324688,0.0027777777777777775,0.005444444444444444,3,1500
cvcl-resnext,abacus,0.2638888888888889,0.03154949081000152,0.01821510701195,0.035701609743422,3,1500
cvcl-resnext,camera,0.23611111111111108,0.012729376930432886,0.007349309197401639,0.014404646026907213,3,1500
cvcl-resnext,ornament,0.2972222222222222,0.06787106512705898,0.03918537772129413,0.07680334033373648,3,1500
cvcl-resnext,doll,0.25,0.02500000000000001,0.01443375672974065,0.028290163190291675,3,1500
cvcl-resnext,pen,0.25555555555555554,0.01272937693043289,0.007349309197401641,0.014404646026907216,3,1500
cvcl-resnext,tricycle,0.21944444444444447,0.08221471437193748,0.047466687473986295,0.09303470744901314,3,1500
cvcl-resnext,apple,0.26944444444444443,0.04194352464039306,0.024216105241892636,0.04746356627410957,3,1500
cvcl-resnext,candle,0.25277777777777777,0.037577081273524125,0.0216951379886296,0.04252247045771402,3,1500
cvcl-resnext,handgun,0.25555555555555554,0.01272937693043289,0.007349309197401641,0.014404646026907216,3,1500
cvcl-resnext,handbag,0.3,0.022047927592204905,0.01272937693043288,0.02494957878364844,3,1500
cvcl-resnext,pipe,0.25277777777777777,0.07515416254704825,0.0433902759772592,0.08504494091542804,3,1500
cvcl-resnext,saltandpeppershake,0.2111111111111111,0.0542200591553976,0.03130396574884624,0.06135577286773863,3,1500
cvcl-resnext,bread,0.23888888888888893,0.04882887730901932,0.028191365458589513,0.05525507629883545,3,1500
cvcl-resnext,fan,0.2138888888888889,0.05091750772173157,0.02939723678960657,0.05761858410762888,3,1500
cvcl-resnext,stapler,0.2722222222222222,0.004811252243246897,0.002777777777777787,0.005444444444444462,3,1500
cvcl-resnext,goggle,0.25,0.022047927592204933,0.012729376930432896,0.024949578783648476,3,1500
cvcl-resnext,pitcher,0.2611111111111111,0.06309898162000303,0.0364302140239,0.071403219486844,3,1500
cvcl-resnext,meat,0.23055555555555554,0.09179284245476838,0.05299662230094143,0.1038733797098452,3,1500
cvcl-resnext,nailpolish,0.2916666666666667,0.04166666666666666,0.024056261216234404,0.04715027198381943,3,1500
cvcl-resnext,trophy,0.21666666666666667,0.008333333333333331,0.00481125224324688,0.009430054396763886,3,1500
cvcl-resnext,wineglass,0.26944444444444443,0.020971762320196537,0.012108052620946321,0.02373178313705479,3,1500
cvcl-resnext,doorknob,0.26666666666666666,0.02886751345948128,0.016666666666666663,0.032666666666666656,3,1500
cvcl-resnext,lantern,0.2638888888888889,0.020971762320196524,0.012108052620946315,0.023731783137054773,3,1500
cvcl-resnext,tennisracquet,0.10833333333333334,0.05204164998665332,0.03004626062886658,0.05889067083257849,3,1500
cvcl-resnext,bell,0.2555555555555556,0.017347216662217783,0.010015420209622199,0.019630223610859508,3,1500
cvcl-resnext,bird,0.2416666666666667,0.06508541396588877,0.03757708127352411,0.07365107929610726,3,1500
cvcl-resnext,helmet,0.2388888888888889,0.04811252243246882,0.027777777777777783,0.054444444444444455,3,1500
cvcl-resnext,bonzai,0.22222222222222224,0.01924500897298752,0.01111111111111111,0.021777777777777774,3,1500
cvcl-resnext,telescope,0.22777777777777777,0.012729376930432886,0.007349309197401639,0.014404646026907213,3,1500
cvcl-resnext,rabbit,0.25,0.046398036356916854,0.02678791878053599,0.052504320809850534,3,1500
cvcl-resnext,phone,0.37333333333333335,0.03511884584284244,0.020275875100994052,0.03974071519794834,3,1500
cvcl-resnext,tree,0.21388888888888888,0.012729376930432886,0.007349309197401639,0.014404646026907213,3,1500
cvcl-resnext,handheldgame,0.25,0.022047927592204933,0.012729376930432896,0.024949578783648476,3,1500
cvcl-resnext,saddle,0.24722222222222223,0.04589642122738419,0.026498311150470716,0.0519366898549226,3,1500
cvcl-resnext,stool,0.2555555555555556,0.01272937693043289,0.007349309197401641,0.014404646026907216,3,1500
cvcl-resnext,microwave,0.21666666666666665,0.028867513459481298,0.016666666666666673,0.03266666666666668,3,1500
cvcl-resnext,lei,0.21388888888888888,0.04110735718596874,0.023733343736993148,0.04651735372450657,3,1500
cvcl-resnext,suitcase,0.21944444444444447,0.04110735718596872,0.023733343736993137,0.04651735372450655,3,1500
cvcl-resnext,trumpet,0.2722222222222222,0.031549490810001524,0.018215107011950005,0.035701609743422014,3,1500
cvcl-resnext,axe,0.25,0.014433756729740658,0.008333333333333342,0.01633333333333335,3,1500
cvcl-resnext,horse,0.25277777777777777,0.025458753860865786,0.014698618394803286,0.02880929205381444,3,1500
cvcl-resnext,earrings,0.24444444444444446,0.029265704869035392,0.016896562584161726,0.03311726266495699,3,1500
cvcl-resnext,pumpkin,0.2333333333333333,0.007216878364870313,0.004166666666666661,0.008166666666666657,3,1500
cvcl-resnext,pillow,0.2805555555555556,0.09477067838462212,0.054715876676645035,0.10724311828622426,3,1500
cvcl-resnext,dresser,0.2722222222222222,0.037577081273524125,0.0216951379886296,0.04252247045771402,3,1500
cvcl-resnext,dumbell,0.25277777777777777,0.012729376930432886,0.007349309197401639,0.014404646026907213,3,1500
cvcl-resnext,train,0.2611111111111111,0.03757708127352411,0.02169513798862959,0.042522470457714,3,1500
cvcl-resnext,powerstrip,0.20833333333333334,0.05773502691896258,0.03333333333333334,0.06533333333333334,3,1500
cvcl-resnext,vase,0.18333333333333332,0.022047927592204933,0.012729376930432896,0.024949578783648476,3,1500
cvcl-resnext,keyboard,0.28611111111111115,0.04194352464039306,0.024216105241892636,0.04746356627410957,3,1500
cvcl-resnext,lipstick,0.27499999999999997,0.008333333333333331,0.00481125224324688,0.009430054396763886,3,1500
cvcl-resnext,sippycup,0.2638888888888889,0.06309898162000305,0.03643021402390001,0.07140321948684403,3,1500
cvcl-resnext,grill,0.30833333333333335,0.05833333333333334,0.033678765702728174,0.06601038077734722,3,1500
cvcl-resnext,ring,0.2555555555555556,0.045896421227384174,0.02649831115047071,0.051936689854922585,3,1500
cvcl-resnext,muffin,0.27777777777777785,0.017347216662217765,0.010015420209622188,0.01963022361085949,3,1500
cvcl-resnext,seashell,0.2416666666666667,0.008333333333333331,0.00481125224324688,0.009430054396763886,3,1500
cvcl-resnext,babushkadolls,0.21944444444444447,0.04110735718596872,0.023733343736993137,0.04651735372450655,3,1500
cvcl-resnext,sodacan,0.27777777777777773,0.02545875386086577,0.014698618394803279,0.028809292053814425,3,1500
cvcl-resnext,butterfly,0.2805555555555556,0.04589642122738419,0.026498311150470716,0.0519366898549226,3,1500
cvcl-resnext,bagel,0.23611111111111113,0.037577081273524125,0.0216951379886296,0.04252247045771402,3,1500
cvcl-resnext,toothpaste,0.24444444444444446,0.031549490810001524,0.018215107011950005,0.035701609743422014,3,1500
cvcl-resnext,lock,0.26944444444444443,0.03367876570272817,0.019444444444444445,0.03811111111111111,3,1500
cvcl-resnext,basket,0.2111111111111111,0.00962250448649376,0.005555555555555555,0.010888888888888887,3,1500
cvcl-resnext,cookie,0.21666666666666667,0.02886751345948128,0.016666666666666663,0.032666666666666656,3,1500
cvcl-resnext,calculator,0.22777777777777777,0.01734721666221777,0.01001542020962219,0.019630223610859497,3,1500
clip-res,headband,0.9861111111111112,0.012729376930432905,0.00734930919740165,0.014404646026907234,3,1500
clip-res,abacus,0.9888888888888889,0.012729376930432905,0.00734930919740165,0.014404646026907234,3,1500
clip-res,camera,1.0,0.0,0.0,0.0,3,1500
clip-res,ornament,0.9944444444444445,0.004811252243246865,0.0027777777777777683,0.005444444444444425,3,1500
clip-res,doll,1.0,0.0,0.0,0.0,3,1500
clip-res,pen,0.975,0.008333333333333304,0.004811252243246865,0.009430054396763855,3,1500
clip-res,tricycle,0.9888888888888889,0.004811252243246928,0.0027777777777778048,0.005444444444444498,3,1500
clip-res,apple,0.9888888888888889,0.009622504486493794,0.005555555555555574,0.010888888888888924,3,1500
clip-res,candle,0.9833333333333334,0.016666666666666663,0.00962250448649376,0.01886010879352777,3,1500
clip-res,handgun,0.9916666666666667,0.00833333333333336,0.004811252243246897,0.009430054396763917,3,1500
clip-res,handbag,1.0,0.0,0.0,0.0,3,1500
clip-res,pipe,1.0,0.0,0.0,0.0,3,1500
clip-res,saltandpeppershake,0.9972222222222222,0.004811252243246865,0.0027777777777777683,0.005444444444444425,3,1500
clip-res,bread,0.9388888888888888,0.012729376930432844,0.007349309197401615,0.014404646026907166,3,1500
clip-res,fan,0.9916666666666667,0.00833333333333336,0.004811252243246897,0.009430054396763917,3,1500
clip-res,stapler,0.9722222222222222,0.004811252243246865,0.0027777777777777683,0.005444444444444425,3,1500
clip-res,goggle,0.9972222222222222,0.004811252243246865,0.0027777777777777683,0.005444444444444425,3,1500
clip-res,pitcher,0.9055555555555556,0.02097176232019656,0.012108052620946335,0.023731783137054818,3,1500
clip-res,meat,0.986111111111111,0.004811252243246929,0.002777777777777805,0.005444444444444499,3,1500
clip-res,nailpolish,0.9722222222222223,0.02097176232019656,0.012108052620946335,0.023731783137054818,3,1500
clip-res,trophy,0.9250000000000002,0.016666666666666663,0.00962250448649376,0.01886010879352777,3,1500
clip-res,wineglass,0.9583333333333334,0.00833333333333336,0.004811252243246897,0.009430054396763917,3,1500
clip-res,doorknob,1.0,0.0,0.0,0.0,3,1500
clip-res,lantern,0.9222222222222222,0.017347216662217772,0.010015420209622193,0.0196302236108595,3,1500
clip-res,tennisracquet,0.875,0.050000000000000044,0.028867513459481315,0.05658032638058338,3,1500
clip-res,bell,0.9944444444444445,0.004811252243246865,0.0027777777777777683,0.005444444444444425,3,1500
clip-res,bird,0.9861111111111112,0.012729376930432905,0.00734930919740165,0.014404646026907234,3,1500
clip-res,helmet,1.0,0.0,0.0,0.0,3,1500
clip-res,bonzai,0.9916666666666667,0.00833333333333336,0.004811252243246897,0.009430054396763917,3,1500
clip-res,telescope,0.9527777777777778,0.03757708127352415,0.021695137988629615,0.04252247045771405,3,1500
clip-res,rabbit,0.9972222222222222,0.004811252243246865,0.0027777777777777683,0.005444444444444425,3,1500
clip-res,phone,1.0,0.0,0.0,0.0,3,1500
clip-res,tree,0.9388888888888888,0.01924500897298752,0.01111111111111111,0.021777777777777774,3,1500
clip-res,handheldgame,1.0,0.0,0.0,0.0,3,1500
clip-res,saddle,0.9972222222222222,0.004811252243246865,0.0027777777777777683,0.005444444444444425,3,1500
clip-res,stool,0.9888888888888889,0.009622504486493794,0.005555555555555574,0.010888888888888924,3,1500
clip-res,microwave,0.9972222222222222,0.004811252243246865,0.0027777777777777683,0.005444444444444425,3,1500
clip-res,lei,0.9694444444444444,0.017347216662217772,0.010015420209622193,0.0196302236108595,3,1500
clip-res,suitcase,0.9888888888888889,0.004811252243246928,0.0027777777777778048,0.005444444444444498,3,1500
clip-res,trumpet,0.9972222222222222,0.004811252243246865,0.0027777777777777683,0.005444444444444425,3,1500
clip-res,axe,0.9138888888888889,0.024056261216234387,0.013888888888888878,0.0272222222222222,3,1500
clip-res,horse,0.9805555555555556,0.009622504486493794,0.005555555555555574,0.010888888888888924,3,1500
clip-res,earrings,0.9944444444444445,0.009622504486493794,0.005555555555555574,0.010888888888888924,3,1500
clip-res,pumpkin,0.9499999999999998,0.012500000000000013,0.00721687836487033,0.014145081595145846,3,1500
clip-res,pillow,0.9694444444444444,0.012729376930432844,0.007349309197401615,0.014404646026907166,3,1500
clip-res,dresser,0.9972222222222222,0.004811252243246865,0.0027777777777777683,0.005444444444444425,3,1500
clip-res,dumbell,0.9944444444444445,0.004811252243246865,0.0027777777777777683,0.005444444444444425,3,1500
clip-res,train,0.9861111111111112,0.012729376930432905,0.00734930919740165,0.014404646026907234,3,1500
clip-res,powerstrip,0.9972222222222222,0.004811252243246865,0.0027777777777777683,0.005444444444444425,3,1500
clip-res,vase,0.9888888888888889,0.004811252243246928,0.0027777777777778048,0.005444444444444498,3,1500
clip-res,keyboard,0.9916666666666667,0.00833333333333336,0.004811252243246897,0.009430054396763917,3,1500
clip-res,lipstick,1.0,0.0,0.0,0.0,3,1500
clip-res,sippycup,0.975,0.022047927592204947,0.012729376930432905,0.02494957878364849,3,1500
clip-res,grill,1.0,0.0,0.0,0.0,3,1500
clip-res,ring,0.9972222222222222,0.004811252243246865,0.0027777777777777683,0.005444444444444425,3,1500
clip-res,muffin,0.9666666666666667,0.008333333333333304,0.004811252243246865,0.009430054396763855,3,1500
clip-res,seashell,1.0,0.0,0.0,0.0,3,1500
clip-res,babushkadolls,0.9638888888888889,0.02097176232019651,0.012108052620946306,0.02373178313705476,3,1500
clip-res,sodacan,1.0,0.0,0.0,0.0,3,1500
clip-res,butterfly,0.9527777777777778,0.03849001794597504,0.02222222222222222,0.04355555555555555,3,1500
clip-res,bagel,0.975,0.022047927592204947,0.012729376930432905,0.02494957878364849,3,1500
clip-res,toothpaste,0.9750000000000001,0.016666666666666663,0.00962250448649376,0.01886010879352777,3,1500
clip-res,lock,0.9416666666666665,0.03632415786283892,0.020971762320196513,0.04110465414758517,3,1500
clip-res,basket,0.7833333333333333,0.008333333333333304,0.004811252243246865,0.009430054396763855,3,1500
clip-res,cookie,0.9583333333333334,0.024999999999999967,0.014433756729740626,0.028290163190291626,3,1500
clip-res,calculator,0.9972222222222222,0.004811252243246865,0.0027777777777777683,0.005444444444444425,3,1500
