model,class,seed,accuracy,n_trials,test_type
cvcl-resnext,lock,0,0.225,500,scdc_text_vision
cvcl-resnext,lock,1,0.225,500,scdc_text_vision
cvcl-resnext,lock,2,0.21666666666666667,500,scdc_text_vision
cvcl-resnext,headband,0,0.25,500,scdc_text_vision
cvcl-resnext,headband,1,0.23333333333333334,500,scdc_text_vision
cvcl-resnext,headband,2,0.19166666666666668,500,scdc_text_vision
cvcl-resnext,muffin,0,0.23333333333333334,500,scdc_text_vision
cvcl-resnext,muffin,1,0.21666666666666667,500,scdc_text_vision
cvcl-resnext,muffin,2,0.20833333333333334,500,scdc_text_vision
cvcl-resnext,trumpet,0,0.25833333333333336,500,scdc_text_vision
cvcl-resnext,trumpet,1,0.23333333333333334,500,scdc_text_vision
cvcl-resnext,trumpet,2,0.19166666666666668,500,scdc_text_vision
cvcl-resnext,helmet,0,0.275,500,scdc_text_vision
cvcl-resnext,helmet,1,0.25833333333333336,500,scdc_text_vision
cvcl-resnext,helmet,2,0.16666666666666666,500,scdc_text_vision
cvcl-resnext,pillow,0,0.20833333333333334,500,scdc_text_vision
cvcl-resnext,pillow,1,0.2833333333333333,500,scdc_text_vision
cvcl-resnext,pillow,2,0.2,500,scdc_text_vision
cvcl-resnext,ornament,0,0.25,500,scdc_text_vision
cvcl-resnext,ornament,1,0.31666666666666665,500,scdc_text_vision
cvcl-resnext,ornament,2,0.25,500,scdc_text_vision
cvcl-resnext,bonzai,0,0.25833333333333336,500,scdc_text_vision
cvcl-resnext,bonzai,1,0.275,500,scdc_text_vision
cvcl-resnext,bonzai,2,0.20833333333333334,500,scdc_text_vision
cvcl-resnext,rug,0,0.2916666666666667,500,scdc_text_vision
cvcl-resnext,rug,1,0.18333333333333332,500,scdc_text_vision
cvcl-resnext,rug,2,0.25833333333333336,500,scdc_text_vision
cvcl-resnext,pumpkin,0,0.33,500,scdc_text_vision
cvcl-resnext,pumpkin,1,0.28,500,scdc_text_vision
cvcl-resnext,pumpkin,2,0.27,500,scdc_text_vision
cvcl-resnext,ring,0,0.26666666666666666,500,scdc_text_vision
cvcl-resnext,ring,1,0.24166666666666667,500,scdc_text_vision
cvcl-resnext,ring,2,0.16666666666666666,500,scdc_text_vision
cvcl-resnext,vase,0,0.225,500,scdc_text_vision
cvcl-resnext,vase,1,0.23333333333333334,500,scdc_text_vision
cvcl-resnext,vase,2,0.20833333333333334,500,scdc_text_vision
cvcl-resnext,microwave,0,0.19166666666666668,500,scdc_text_vision
cvcl-resnext,microwave,1,0.225,500,scdc_text_vision
cvcl-resnext,microwave,2,0.2,500,scdc_text_vision
cvcl-resnext,dresser,0,0.19166666666666668,500,scdc_text_vision
cvcl-resnext,dresser,1,0.3,500,scdc_text_vision
cvcl-resnext,dresser,2,0.21666666666666667,500,scdc_text_vision
cvcl-resnext,camera,0,0.21666666666666667,500,scdc_text_vision
cvcl-resnext,camera,1,0.24166666666666667,500,scdc_text_vision
cvcl-resnext,camera,2,0.175,500,scdc_text_vision
cvcl-resnext,fan,0,0.275,500,scdc_text_vision
cvcl-resnext,fan,1,0.21666666666666667,500,scdc_text_vision
cvcl-resnext,fan,2,0.15833333333333333,500,scdc_text_vision
cvcl-resnext,suitcase,0,0.24166666666666667,500,scdc_text_vision
cvcl-resnext,suitcase,1,0.21666666666666667,500,scdc_text_vision
cvcl-resnext,suitcase,2,0.15833333333333333,500,scdc_text_vision
cvcl-resnext,doll,0,0.275,500,scdc_text_vision
cvcl-resnext,doll,1,0.3,500,scdc_text_vision
cvcl-resnext,doll,2,0.2833333333333333,500,scdc_text_vision
