model,class,mean_accuracy,std,se,ci95,n_seeds,total_trials
cvcl-resnext,lock,0.22222222222222224,0.00481125224324688,0.0027777777777777775,0.005444444444444444,3,1500
cvcl-resnext,headband,0.225,0.03004626062886657,0.01734721666221777,0.03400054465794683,3,1500
cvcl-resnext,muffin,0.21944444444444444,0.012729376930432886,0.007349309197401639,0.014404646026907213,3,1500
cvcl-resnext,trumpet,0.22777777777777777,0.033678765702728174,0.019444444444444448,0.038111111111111116,3,1500
cvcl-resnext,helmet,0.23333333333333336,0.05833333333333335,0.03367876570272818,0.06601038077734724,3,1500
cvcl-resnext,pillow,0.23055555555555554,0.045896421227384174,0.02649831115047071,0.051936689854922585,3,1500
cvcl-resnext,ornament,0.2722222222222222,0.03849001794597504,0.02222222222222222,0.04355555555555555,3,1500
cvcl-resnext,bonzai,0.24722222222222226,0.03469443332443555,0.02003084041924439,0.039260447221719,3,1500
cvcl-resnext,rug,0.24444444444444446,0.055486067653994955,0.032034896096307774,0.06278839634876324,3,1500
cvcl-resnext,pumpkin,0.2933333333333334,0.03214550253664318,0.01855921454276674,0.036376060503822805,3,1500
cvcl-resnext,ring,0.22499999999999998,0.052041649986653324,0.030046260628866582,0.058890670832578505,3,1500
cvcl-resnext,vase,0.22222222222222224,0.012729376930432886,0.007349309197401639,0.014404646026907213,3,1500
cvcl-resnext,microwave,0.20555555555555557,0.01734721666221777,0.01001542020962219,0.019630223610859497,3,1500
cvcl-resnext,dresser,0.23611111111111113,0.05672382737961703,0.03274951700708776,0.06418905333389201,3,1500
cvcl-resnext,camera,0.2111111111111111,0.03367876570272818,0.01944444444444445,0.03811111111111112,3,1500
cvcl-resnext,fan,0.21666666666666667,0.05833333333333335,0.03367876570272818,0.06601038077734724,3,1500
cvcl-resnext,suitcase,0.20555555555555557,0.04276334532872404,0.024689428936987754,0.048391280716495996,3,1500
cvcl-resnext,doll,0.2861111111111111,0.012729376930432875,0.007349309197401633,0.0144046460269072,3,1500
cvcl-resnext,grill,0.33055555555555555,0.02545875386086577,0.014698618394803279,0.028809292053814425,3,1500
cvcl-resnext,trophy,0.18611111111111112,0.03154949081000153,0.018215107011950008,0.03570160974342202,3,1500
cvcl-resnext,rabbit,0.27499999999999997,0.014433756729740625,0.008333333333333323,0.01633333333333331,3,1500
cvcl-resnext,sodacan,0.29444444444444445,0.033678765702728146,0.01944444444444443,0.03811111111111109,3,1500
cvcl-resnext,telescope,0.2388888888888889,0.05091750772173156,0.029397236789606564,0.057618584107628865,3,1500
cvcl-resnext,toothpaste,0.20833333333333334,0.10103629710818451,0.05833333333333334,0.11433333333333334,3,1500
cvcl-resnext,wineglass,0.25277777777777777,0.009622504486493776,0.005555555555555564,0.010888888888888906,3,1500
cvcl-resnext,pipe,0.2333333333333333,0.016666666666666663,0.00962250448649376,0.01886010879352777,3,1500
cvcl-resnext,goggle,0.23333333333333336,0.030046260628866568,0.01734721666221777,0.03400054465794682,3,1500
cvcl-resnext,meat,0.2638888888888889,0.0891056385130302,0.05144516438181147,0.10083252218835048,3,1500
cvcl-resnext,apple,0.29444444444444445,0.07087417123429485,0.04091922184071176,0.08020167480779505,3,1500
cvcl-resnext,saddle,0.23611111111111113,0.045896421227384195,0.02649831115047072,0.051936689854922606,3,1500
cvcl-resnext,phone,0.3633333333333333,0.02516611478423583,0.014529663145135577,0.02847813976446573,3,1500
cvcl-resnext,horse,0.2583333333333333,0.008333333333333331,0.00481125224324688,0.009430054396763886,3,1500
cvcl-resnext,stapler,0.28055555555555556,0.017347216662217765,0.010015420209622188,0.01963022361085949,3,1500
cvcl-resnext,train,0.24722222222222223,0.00481125224324688,0.0027777777777777775,0.005444444444444444,3,1500
cvcl-resnext,bread,0.21944444444444447,0.020971762320196524,0.012108052620946315,0.023731783137054773,3,1500
cvcl-resnext,sippycup,0.22777777777777777,0.0458964212273842,0.026498311150470723,0.05193668985492261,3,1500
cvcl-resnext,powerstrip,0.23611111111111108,0.02926570486903538,0.01689656258416172,0.033117262664956966,3,1500
cvcl-resnext,calculator,0.21944444444444447,0.01734721666221777,0.01001542020962219,0.019630223610859497,3,1500
cvcl-resnext,cookie,0.24722222222222223,0.09292071490932072,0.05364779976618879,0.10514968754173003,3,1500
cvcl-resnext,abacus,0.26944444444444443,0.004811252243246897,0.002777777777777787,0.005444444444444462,3,1500
cvcl-resnext,dumbell,0.19444444444444445,0.05912165737164658,0.03413390479845698,0.06690245340497568,3,1500
cvcl-resnext,axe,0.24166666666666667,0.03004626062886657,0.01734721666221777,0.03400054465794683,3,1500
cvcl-resnext,bird,0.21944444444444444,0.01924500897298752,0.01111111111111111,0.021777777777777774,3,1500
cvcl-resnext,handbag,0.26666666666666666,0.04999999999999999,0.028867513459481284,0.056580326380583315,3,1500
cvcl-resnext,handgun,0.24444444444444444,0.0481125224324688,0.027777777777777773,0.05444444444444443,3,1500
cvcl-resnext,lei,0.2388888888888889,0.02545875386086577,0.014698618394803279,0.028809292053814425,3,1500
cvcl-resnext,handheldgame,0.2972222222222222,0.026787918780535987,0.015466012118972285,0.030313383753185676,3,1500
cvcl-resnext,lantern,0.20000000000000004,0.014433756729740642,0.008333333333333333,0.01633333333333333,3,1500
cvcl-resnext,earrings,0.2388888888888889,0.03154949081000153,0.018215107011950008,0.03570160974342202,3,1500
cvcl-resnext,butterfly,0.26944444444444443,0.012729376930432874,0.007349309197401632,0.014404646026907199,3,1500
cvcl-resnext,lipstick,0.21388888888888888,0.01734721666221777,0.01001542020962219,0.019630223610859497,3,1500
cvcl-resnext,doorknob,0.25277777777777777,0.045896421227384174,0.02649831115047071,0.051936689854922585,3,1500
cvcl-resnext,stool,0.2333333333333333,0.016666666666666663,0.00962250448649376,0.01886010879352777,3,1500
cvcl-resnext,tennisracquet,0.25,0.04999999999999999,0.028867513459481284,0.056580326380583315,3,1500
cvcl-resnext,nailpolish,0.3,0.016666666666666663,0.00962250448649376,0.01886010879352777,3,1500
cvcl-resnext,pen,0.23611111111111113,0.01734721666221777,0.01001542020962219,0.019630223610859497,3,1500
cvcl-resnext,tree,0.23333333333333336,0.008333333333333331,0.00481125224324688,0.009430054396763886,3,1500
cvcl-resnext,tricycle,0.22777777777777777,0.01734721666221777,0.01001542020962219,0.019630223610859497,3,1500
cvcl-resnext,babushkadolls,0.21111111111111114,0.02678791878053598,0.015466012118972281,0.03031338375318567,3,1500
cvcl-resnext,bell,0.1722222222222222,0.08832285053102581,0.05099322152968284,0.09994671419817835,3,1500
cvcl-resnext,candle,0.25277777777777777,0.02926570486903538,0.01689656258416172,0.033117262664956966,3,1500
cvcl-resnext,keyboard,0.28611111111111115,0.04276334532872402,0.02468942893698774,0.04839128071649597,3,1500
cvcl-resnext,pitcher,0.23055555555555554,0.012729376930432886,0.007349309197401639,0.014404646026907213,3,1500
cvcl-resnext,seashell,0.18888888888888888,0.03367876570272818,0.01944444444444445,0.03811111111111112,3,1500
cvcl-resnext,saltandpeppershake,0.22777777777777777,0.00481125224324688,0.0027777777777777775,0.005444444444444444,3,1500
cvcl-resnext,basket,0.21666666666666667,0.022047927592204915,0.012729376930432886,0.024949578783648455,3,1500
cvcl-resnext,bagel,0.24444444444444446,0.03367876570272818,0.01944444444444445,0.03811111111111112,3,1500
clip-res,lock,0.9083333333333333,0.04409585518440985,0.025458753860865786,0.04989915756729693,3,1500
clip-res,headband,0.9694444444444444,0.012729376930432846,0.007349309197401616,0.014404646026907168,3,1500
clip-res,muffin,0.9666666666666667,0.022047927592204905,0.01272937693043288,0.02494957878364844,3,1500
clip-res,trumpet,0.9861111111111112,0.009622504486493794,0.005555555555555574,0.010888888888888924,3,1500
clip-res,helmet,0.9944444444444445,0.009622504486493794,0.005555555555555574,0.010888888888888924,3,1500
clip-res,pillow,0.9833333333333334,0.00833333333333336,0.004811252243246897,0.009430054396763917,3,1500
clip-res,ornament,0.9944444444444445,0.009622504486493794,0.005555555555555574,0.010888888888888924,3,1500
clip-res,bonzai,0.9777777777777779,0.012729376930432905,0.00734930919740165,0.014404646026907234,3,1500
clip-res,rug,0.9555555555555556,0.012729376930432905,0.00734930919740165,0.014404646026907234,3,1500
clip-res,pumpkin,0.9566666666666667,0.005773502691896262,0.003333333333333336,0.006533333333333338,3,1500
clip-res,ring,0.9472222222222223,0.020971762320196503,0.012108052620946302,0.023731783137054752,3,1500
clip-res,vase,0.9805555555555556,0.009622504486493794,0.005555555555555574,0.010888888888888924,3,1500
clip-res,microwave,0.9888888888888889,0.012729376930432905,0.00734930919740165,0.014404646026907234,3,1500
clip-res,dresser,0.9972222222222222,0.004811252243246865,0.0027777777777777683,0.005444444444444425,3,1500
clip-res,camera,0.9944444444444445,0.004811252243246865,0.0027777777777777683,0.005444444444444425,3,1500
clip-res,fan,0.986111111111111,0.004811252243246929,0.002777777777777805,0.005444444444444499,3,1500
clip-res,suitcase,0.9888888888888889,0.009622504486493794,0.005555555555555574,0.010888888888888924,3,1500
clip-res,doll,0.9916666666666667,0.00833333333333336,0.004811252243246897,0.009430054396763917,3,1500
clip-res,grill,0.9916666666666667,0.0,0.0,0.0,3,1500
clip-res,trophy,0.9027777777777777,0.029265704869035392,0.016896562584161726,0.03311726266495699,3,1500
clip-res,rabbit,0.9777777777777777,0.00962250448649373,0.005555555555555537,0.01088888888888885,3,1500
