model,class,seed,accuracy,n_trials,test_type
cvcl-resnext,doll,0,0.24166666666666667,500,scds_text_vision_noblackwhite
cvcl-resnext,doll,1,0.23055555555555557,500,scds_text_vision_noblackwhite
cvcl-resnext,doll,2,0.20277777777777778,500,scds_text_vision_noblackwhite
cvcl-resnext,bonzai,0,0.2777777777777778,500,scds_text_vision_noblackwhite
cvcl-resnext,bonzai,1,0.16944444444444445,500,scds_text_vision_noblackwhite
cvcl-resnext,bonzai,2,0.24444444444444444,500,scds_text_vision_noblackwhite
cvcl-resnext,pipe,0,0.2111111111111111,500,scds_text_vision_noblackwhite
cvcl-resnext,pipe,1,0.2777777777777778,500,scds_text_vision_noblackwhite
cvcl-resnext,pipe,2,0.21666666666666667,500,scds_text_vision_noblackwhite
cvcl-resnext,tennisracquet,0,0.0,500,scds_text_vision_noblackwhite
cvcl-resnext,tennisracquet,1,0.0,500,scds_text_vision_noblackwhite
cvcl-resnext,tennisracquet,2,0.0,500,scds_text_vision_noblackwhite
cvcl-resnext,pitcher,0,0.3194444444444444,500,scds_text_vision_noblackwhite
cvcl-resnext,pitcher,1,0.25833333333333336,500,scds_text_vision_noblackwhite
cvcl-resnext,pitcher,2,0.3,500,scds_text_vision_noblackwhite
cvcl-resnext,lock,0,0.13333333333333333,500,scds_text_vision_noblackwhite
cvcl-resnext,lock,1,0.17222222222222222,500,scds_text_vision_noblackwhite
cvcl-resnext,lock,2,0.2111111111111111,500,scds_text_vision_noblackwhite
cvcl-resnext,ornament,0,0.4,500,scds_text_vision_noblackwhite
cvcl-resnext,ornament,1,0.2916666666666667,500,scds_text_vision_noblackwhite
cvcl-resnext,ornament,2,0.375,500,scds_text_vision_noblackwhite
cvcl-resnext,vase,0,0.3611111111111111,500,scds_text_vision_noblackwhite
cvcl-resnext,vase,1,0.2777777777777778,500,scds_text_vision_noblackwhite
cvcl-resnext,vase,2,0.4222222222222222,500,scds_text_vision_noblackwhite
cvcl-resnext,ring,0,0.3277777777777778,500,scds_text_vision_noblackwhite
cvcl-resnext,ring,1,0.3638888888888889,500,scds_text_vision_noblackwhite
cvcl-resnext,ring,2,0.33055555555555555,500,scds_text_vision_noblackwhite
cvcl-resnext,rabbit,0,0.19444444444444445,500,scds_text_vision_noblackwhite
cvcl-resnext,rabbit,1,0.20833333333333334,500,scds_text_vision_noblackwhite
cvcl-resnext,rabbit,2,0.275,500,scds_text_vision_noblackwhite
cvcl-resnext,babushkadolls,0,0.48055555555555557,500,scds_text_vision_noblackwhite
cvcl-resnext,babushkadolls,1,0.3111111111111111,500,scds_text_vision_noblackwhite
cvcl-resnext,babushkadolls,2,0.33055555555555555,500,scds_text_vision_noblackwhite
cvcl-resnext,train,0,0.225,500,scds_text_vision_noblackwhite
cvcl-resnext,train,1,0.275,500,scds_text_vision_noblackwhite
cvcl-resnext,train,2,0.20555555555555555,500,scds_text_vision_noblackwhite
cvcl-resnext,nailpolish,0,0.35555555555555557,500,scds_text_vision_noblackwhite
cvcl-resnext,nailpolish,1,0.37222222222222223,500,scds_text_vision_noblackwhite
cvcl-resnext,nailpolish,2,0.33611111111111114,500,scds_text_vision_noblackwhite
cvcl-resnext,lei,0,0.18333333333333332,500,scds_text_vision_noblackwhite
cvcl-resnext,lei,1,0.20833333333333334,500,scds_text_vision_noblackwhite
cvcl-resnext,lei,2,0.175,500,scds_text_vision_noblackwhite
cvcl-resnext,telescope,0,0.24166666666666667,500,scds_text_vision_noblackwhite
cvcl-resnext,telescope,1,0.11388888888888889,500,scds_text_vision_noblackwhite
cvcl-resnext,telescope,2,0.12222222222222222,500,scds_text_vision_noblackwhite
cvcl-resnext,camera,0,0.31666666666666665,500,scds_text_vision_noblackwhite
cvcl-resnext,camera,1,0.2638888888888889,500,scds_text_vision_noblackwhite
cvcl-resnext,camera,2,0.1638888888888889,500,scds_text_vision_noblackwhite
cvcl-resnext,wineglass,0,0.275,500,scds_text_vision_noblackwhite
cvcl-resnext,wineglass,1,0.19722222222222222,500,scds_text_vision_noblackwhite
cvcl-resnext,wineglass,2,0.2,500,scds_text_vision_noblackwhite
cvcl-resnext,fan,0,0.18888888888888888,500,scds_text_vision_noblackwhite
cvcl-resnext,fan,1,0.18333333333333332,500,scds_text_vision_noblackwhite
cvcl-resnext,fan,2,0.1,500,scds_text_vision_noblackwhite
cvcl-resnext,sodacan,0,0.4888888888888889,500,scds_text_vision_noblackwhite
cvcl-resnext,sodacan,1,0.30833333333333335,500,scds_text_vision_noblackwhite
cvcl-resnext,sodacan,2,0.2361111111111111,500,scds_text_vision_noblackwhite
cvcl-resnext,seashell,0,0.36666666666666664,500,scds_text_vision_noblackwhite
cvcl-resnext,seashell,1,0.25,500,scds_text_vision_noblackwhite
cvcl-resnext,seashell,2,0.35833333333333334,500,scds_text_vision_noblackwhite
cvcl-resnext,handgun,0,0.20555555555555555,500,scds_text_vision_noblackwhite
cvcl-resnext,handgun,1,0.18611111111111112,500,scds_text_vision_noblackwhite
cvcl-resnext,handgun,2,0.23333333333333334,500,scds_text_vision_noblackwhite
cvcl-resnext,pillow,0,0.28055555555555556,500,scds_text_vision_noblackwhite
cvcl-resnext,pillow,1,0.2777777777777778,500,scds_text_vision_noblackwhite
cvcl-resnext,pillow,2,0.26666666666666666,500,scds_text_vision_noblackwhite
cvcl-resnext,sippycup,0,0.32222222222222224,500,scds_text_vision_noblackwhite
cvcl-resnext,sippycup,1,0.25277777777777777,500,scds_text_vision_noblackwhite
cvcl-resnext,sippycup,2,0.2361111111111111,500,scds_text_vision_noblackwhite
cvcl-resnext,tricycle,0,0.2611111111111111,500,scds_text_vision_noblackwhite
cvcl-resnext,tricycle,1,0.3138888888888889,500,scds_text_vision_noblackwhite
cvcl-resnext,tricycle,2,0.2833333333333333,500,scds_text_vision_noblackwhite
cvcl-resnext,cookie,0,0.225,500,scds_text_vision_noblackwhite
cvcl-resnext,cookie,1,0.23333333333333334,500,scds_text_vision_noblackwhite
cvcl-resnext,cookie,2,0.28888888888888886,500,scds_text_vision_noblackwhite
cvcl-resnext,trophy,0,0.3277777777777778,500,scds_text_vision_noblackwhite
cvcl-resnext,trophy,1,0.19166666666666668,500,scds_text_vision_noblackwhite
cvcl-resnext,trophy,2,0.2972222222222222,500,scds_text_vision_noblackwhite
cvcl-resnext,butterfly,0,0.21666666666666667,500,scds_text_vision_noblackwhite
cvcl-resnext,butterfly,1,0.21666666666666667,500,scds_text_vision_noblackwhite
cvcl-resnext,butterfly,2,0.275,500,scds_text_vision_noblackwhite
cvcl-resnext,lantern,0,0.2916666666666667,500,scds_text_vision_noblackwhite
cvcl-resnext,lantern,1,0.15,500,scds_text_vision_noblackwhite
cvcl-resnext,lantern,2,0.20555555555555555,500,scds_text_vision_noblackwhite
cvcl-resnext,axe,0,0.3,500,scds_text_vision_noblackwhite
cvcl-resnext,axe,1,0.2388888888888889,500,scds_text_vision_noblackwhite
cvcl-resnext,axe,2,0.28888888888888886,500,scds_text_vision_noblackwhite
cvcl-resnext,candle,0,0.38055555555555554,500,scds_text_vision_noblackwhite
cvcl-resnext,candle,1,0.35555555555555557,500,scds_text_vision_noblackwhite
cvcl-resnext,candle,2,0.31666666666666665,500,scds_text_vision_noblackwhite
cvcl-resnext,pen,0,0.26666666666666666,500,scds_text_vision_noblackwhite
cvcl-resnext,pen,1,0.26944444444444443,500,scds_text_vision_noblackwhite
cvcl-resnext,pen,2,0.26666666666666666,500,scds_text_vision_noblackwhite
cvcl-resnext,stool,0,0.3277777777777778,500,scds_text_vision_noblackwhite
cvcl-resnext,stool,1,0.2916666666666667,500,scds_text_vision_noblackwhite
cvcl-resnext,stool,2,0.2611111111111111,500,scds_text_vision_noblackwhite
cvcl-resnext,handheldgame,0,0.46111111111111114,500,scds_text_vision_noblackwhite
cvcl-resnext,handheldgame,1,0.3277777777777778,500,scds_text_vision_noblackwhite
cvcl-resnext,handheldgame,2,0.38055555555555554,500,scds_text_vision_noblackwhite
cvcl-resnext,muffin,0,0.1527777777777778,500,scds_text_vision_noblackwhite
cvcl-resnext,muffin,1,0.08333333333333333,500,scds_text_vision_noblackwhite
