model,class,mean_accuracy,std,se,ci95,n_seeds,total_trials
cvcl-resnext,doll,0.225,0.020030840419244387,0.011564811108145183,0.022667029771964557,3,1500
cvcl-resnext,bonzai,0.23055555555555554,0.05548606765399494,0.03203489609630777,0.06278839634876322,3,1500
cvcl-resnext,pipe,0.2351851851851852,0.03699071176932996,0.021356597397538514,0.04185893089917549,3,1500
cvcl-resnext,tennisracquet,0.0,0.0,0.0,0.0,3,1500
cvcl-resnext,pitcher,0.29259259259259257,0.03122169500016176,0.018025854012899786,0.03533067386528358,3,1500
cvcl-resnext,lock,0.17222222222222225,0.03888888888888889,0.022452510468485447,0.04400692051823148,3,1500
cvcl-resnext,ornament,0.35555555555555557,0.056723827379617044,0.03274951700708777,0.06418905333389202,3,1500
cvcl-resnext,vase,0.3537037037037037,0.07250656277945144,0.04186168353873079,0.08204889973591235,3,1500
cvcl-resnext,ring,0.34074074074074073,0.020094939272417314,0.011601818598279318,0.022739564452627464,3,1500
cvcl-resnext,rabbit,0.22592592592592595,0.04306302205271662,0.024862447374254734,0.048730396853539276,3,1500
cvcl-resnext,babushkadolls,0.37407407407407406,0.09272675465477365,0.05353581676101395,0.10493020085158734,3,1500
cvcl-resnext,train,0.23518518518518516,0.035825078003987244,0.02068361842934138,0.040539892121509095,3,1500
cvcl-resnext,nailpolish,0.3546296296296297,0.01807335305179919,0.010434655249615407,0.0204519242892462,3,1500
cvcl-resnext,lei,0.18888888888888888,0.017347216662217783,0.010015420209622199,0.019630223610859508,3,1500
cvcl-resnext,telescope,0.15925925925925927,0.0714884375813245,0.04127386868152346,0.08089678261578598,3,1500
cvcl-resnext,camera,0.24814814814814812,0.07759568631682706,0.04479989038297387,0.08780778515062877,3,1500
cvcl-resnext,wineglass,0.2240740740740741,0.04412500947201429,0.02547558609666224,0.049932148749457984,3,1500
cvcl-resnext,fan,0.1574074074074074,0.049793813554625,0.02874847165974078,0.056347004453091924,3,1500
cvcl-resnext,sodacan,0.3444444444444445,0.1302004627250885,0.07517127220294369,0.14733569351776962,3,1500
cvcl-resnext,seashell,0.325,0.06508541396588878,0.03757708127352412,0.07365107929610727,3,1500
cvcl-resnext,handgun,0.20833333333333334,0.023733343736993144,0.013702452395322912,0.026856806694832907,3,1500
cvcl-resnext,pillow,0.27499999999999997,0.007349309197401646,0.0042431256434776335,0.008316526261216161,3,1500
cvcl-resnext,sippycup,0.27037037037037037,0.045671712796809365,0.026368575677589164,0.05168240832807476,3,1500
cvcl-resnext,tricycle,0.2861111111111111,0.026498311150470705,0.015298807075794724,0.029985661868557657,3,1500
cvcl-resnext,cookie,0.2490740740740741,0.03473148024724267,0.020052229470099728,0.039302369761395464,3,1500
cvcl-resnext,trophy,0.2722222222222222,0.07141644517879134,0.04123230384854133,0.080815315543141,3,1500
cvcl-resnext,butterfly,0.23611111111111113,0.03367876570272818,0.01944444444444445,0.03811111111111112,3,1500
cvcl-resnext,lantern,0.2157407407407407,0.07138042174891866,0.04121150571160721,0.08077455119475013,3,1500
cvcl-resnext,axe,0.2759259259259259,0.032552584872679514,0.018794243639059658,0.036836717532556934,3,1500
cvcl-resnext,candle,0.3509259259259259,0.03219507157539576,0.01858783324063401,0.03643215315164266,3,1500
cvcl-resnext,pen,0.2675925925925926,0.0016037507477489547,0.0009259259259259226,0.0018148148148148082,3,1500
cvcl-resnext,stool,0.2935185185185185,0.033371891279518694,0.019267270413597045,0.037763850010650205,3,1500
cvcl-resnext,handheldgame,0.38981481481481484,0.06714718799746629,0.03876744706566357,0.0759841962487006,3,1500
cvcl-resnext,muffin,0.13333333333333333,0.043656204570838096,0.025204921460770746,0.049401646063110656,3,1500
cvcl-resnext,powerstrip,0.33888888888888885,0.09345891022922621,0.05395852697901283,0.10575871287886514,3,1500
cvcl-resnext,bread,0.29444444444444445,0.03546429259667697,0.020475318877311105,0.04013162499952976,3,1500
cvcl-resnext,helmet,0.2796296296296296,0.052140400834448486,0.030103274457423824,0.05900241793655069,3,1500
cvcl-resnext,meat,0.3962962962962963,0.07649403537897365,0.044163851917451195,0.08656114975820434,3,1500
cvcl-resnext,dresser,0.19907407407407407,0.0427031576207415,0.024654679547582124,0.04832317191326096,3,1500
cvcl-resnext,saddle,0.28425925925925927,0.09235153807253099,0.05331918536625174,0.10450560331785341,3,1500
cvcl-resnext,stapler,0.24074074074074073,0.067833158916268,0.039163492560289996,0.07676044541816839,3,1500
cvcl-resnext,handbag,0.32962962962962966,0.02262368837568634,0.013061792573764715,0.02560111344457884,3,1500
cvcl-resnext,apple,0.2935185185185185,0.02362472374476495,0.01363974061357059,0.026733891602598352,3,1500
cvcl-resnext,basket,0.26018518518518524,0.03931643286215213,0.022699353096539383,0.04449073206921719,3,1500
cvcl-resnext,headband,0.2851851851851852,0.046175769036265496,0.02665959268312587,0.052252801658926706,3,1500
cvcl-resnext,microwave,0.2796296296296296,0.03159022612820739,0.018238625558881685,0.0357477060954081,3,1500
cvcl-resnext,grill,0.2675925925925926,0.05452752542346465,0.03148148148148148,0.0617037037037037,3,1500
cvcl-resnext,calculator,0.3277777777777778,0.050077101048110986,0.02891202777036297,0.056667574429911424,3,1500
cvcl-resnext,keyboard,0.22129629629629632,0.008018753738744807,0.004629629629629633,0.009074074074074078,3,1500
cvcl-resnext,suitcase,0.2888888888888889,0.07286042804780002,0.042065987746668705,0.08244933598347065,3,1500
cvcl-resnext,bird,0.3297619047619047,0.05559664013731246,0.032098735149316104,0.06291352089265957,3,1500
cvcl-resnext,bagel,0.25092592592592594,0.0375085724083872,0.021655584376900922,0.042444945378725805,3,1500
cvcl-resnext,dumbell,0.31203703703703706,0.022452510468485464,0.012962962962962975,0.02540740740740743,3,1500
cvcl-resnext,toothpaste,0.24814814814814815,0.05161985135098652,0.029802735073020534,0.05841336074312025,3,1500
cvcl-resnext,goggle,0.337037037037037,0.07434556728202157,0.04292343328333059,0.08412992923532797,3,1500
cvcl-resnext,tree,0.30277777777777776,0.03938179688543838,0.022737091032979016,0.04456469842463887,3,1500
cvcl-resnext,abacus,0.30833333333333335,0.030932024237944566,0.017858612520357326,0.035002880539900354,3,1500
cvcl-resnext,saltandpeppershake,0.3194444444444444,0.026787918780536005,0.015466012118972295,0.030313383753185697,3,1500
cvcl-resnext,horse,0.24444444444444444,0.041107357185968724,0.02373334373699314,0.046517353724506556,3,1500
cvcl-resnext,doorknob,0.2629629629629629,0.025204921460770732,0.014552068190279358,0.028522053652947542,3,1500
cvcl-resnext,earrings,0.35555555555555557,0.04572799342542871,0.0264010693136727,0.0517460958547985,3,1500
cvcl-resnext,lipstick,0.2611111111111111,0.026787918780535998,0.015466012118972292,0.03031338375318569,3,1500
cvcl-resnext,bell,0.22777777777777777,0.019444444444444448,0.011226255234242727,0.022003460259115742,3,1500
cvcl-resnext,pumpkin,0.2611111111111111,0.05091750772173154,0.029397236789606557,0.05761858410762885,3,1500
