model,class,seed,accuracy,n_trials,test_type
cvcl-resnext,apple,0,0.2425,500,scds_text_vision
cvcl-resnext,apple,1,0.28,500,scds_text_vision
cvcl-resnext,apple,2,0.2325,500,scds_text_vision
cvcl-resnext,bonzai,0,0.265,500,scds_text_vision
cvcl-resnext,bonzai,1,0.1475,500,scds_text_vision
cvcl-resnext,bonzai,2,0.2025,500,scds_text_vision
cvcl-resnext,lantern,0,0.29,500,scds_text_vision
cvcl-resnext,lantern,1,0.135,500,scds_text_vision
cvcl-resnext,lantern,2,0.1975,500,scds_text_vision
cvcl-resnext,ring,0,0.36,500,scds_text_vision
cvcl-resnext,ring,1,0.3125,500,scds_text_vision
cvcl-resnext,ring,2,0.3325,500,scds_text_vision
cvcl-resnext,helmet,0,0.2875,500,scds_text_vision
cvcl-resnext,helmet,1,0.2275,500,scds_text_vision
cvcl-resnext,helmet,2,0.2775,500,scds_text_vision
cvcl-resnext,dumbell,0,0.3275,500,scds_text_vision
cvcl-resnext,dumbell,1,0.2425,500,scds_text_vision
cvcl-resnext,dumbell,2,0.2975,500,scds_text_vision
cvcl-resnext,butterfly,0,0.23863636363636365,500,scds_text_vision
cvcl-resnext,butterfly,1,0.21363636363636362,500,scds_text_vision
cvcl-resnext,butterfly,2,0.275,500,scds_text_vision
cvcl-resnext,muffin,0,0.1925,500,scds_text_vision
cvcl-resnext,muffin,1,0.0575,500,scds_text_vision
cvcl-resnext,muffin,2,0.2,500,scds_text_vision
cvcl-resnext,tricycle,0,0.2675,500,scds_text_vision
cvcl-resnext,tricycle,1,0.26,500,scds_text_vision
cvcl-resnext,tricycle,2,0.2525,500,scds_text_vision
cvcl-resnext,dresser,0,0.155,500,scds_text_vision
cvcl-resnext,dresser,1,0.2175,500,scds_text_vision
cvcl-resnext,dresser,2,0.2825,500,scds_text_vision
cvcl-resnext,fan,0,0.165,500,scds_text_vision
cvcl-resnext,fan,1,0.19,500,scds_text_vision
cvcl-resnext,fan,2,0.14,500,scds_text_vision
cvcl-resnext,saddle,0,0.3825,500,scds_text_vision
cvcl-resnext,saddle,1,0.31,500,scds_text_vision
cvcl-resnext,saddle,2,0.1925,500,scds_text_vision
cvcl-resnext,grill,0,0.335,500,scds_text_vision
cvcl-resnext,grill,1,0.2025,500,scds_text_vision
cvcl-resnext,grill,2,0.245,500,scds_text_vision
cvcl-resnext,horse,0,0.24,500,scds_text_vision
cvcl-resnext,horse,1,0.3,500,scds_text_vision
cvcl-resnext,horse,2,0.19,500,scds_text_vision
cvcl-resnext,rabbit,0,0.19,500,scds_text_vision
cvcl-resnext,rabbit,1,0.155,500,scds_text_vision
cvcl-resnext,rabbit,2,0.21,500,scds_text_vision
cvcl-resnext,doorknob,0,0.2425,500,scds_text_vision
cvcl-resnext,doorknob,1,0.1775,500,scds_text_vision
cvcl-resnext,doorknob,2,0.2525,500,scds_text_vision
cvcl-resnext,seashell,0,0.3375,500,scds_text_vision
cvcl-resnext,seashell,1,0.265,500,scds_text_vision
cvcl-resnext,seashell,2,0.2975,500,scds_text_vision
cvcl-resnext,doll,0,0.27,500,scds_text_vision
cvcl-resnext,doll,1,0.1975,500,scds_text_vision
cvcl-resnext,doll,2,0.1975,500,scds_text_vision
cvcl-resnext,bagel,0,0.26,500,scds_text_vision
cvcl-resnext,bagel,1,0.2275,500,scds_text_vision
cvcl-resnext,bagel,2,0.225,500,scds_text_vision
cvcl-resnext,abacus,0,0.335,500,scds_text_vision
cvcl-resnext,abacus,1,0.305,500,scds_text_vision
cvcl-resnext,abacus,2,0.315,500,scds_text_vision
cvcl-resnext,babushkadolls,0,0.435,500,scds_text_vision
cvcl-resnext,babushkadolls,1,0.245,500,scds_text_vision
cvcl-resnext,babushkadolls,2,0.35,500,scds_text_vision
cvcl-resnext,lipstick,0,0.2125,500,scds_text_vision
cvcl-resnext,lipstick,1,0.2425,500,scds_text_vision
cvcl-resnext,lipstick,2,0.2075,500,scds_text_vision
cvcl-resnext,telescope,0,0.275,500,scds_text_vision
cvcl-resnext,telescope,1,0.105,500,scds_text_vision
cvcl-resnext,telescope,2,0.1025,500,scds_text_vision
cvcl-resnext,trumpet,0,0.3075,500,scds_text_vision
cvcl-resnext,trumpet,1,0.2675,500,scds_text_vision
cvcl-resnext,trumpet,2,0.2675,500,scds_text_vision
cvcl-resnext,bird,0,0.278125,500,scds_text_vision
cvcl-resnext,bird,1,0.321875,500,scds_text_vision
cvcl-resnext,bird,2,0.29375,500,scds_text_vision
cvcl-resnext,handbag,0,0.3375,500,scds_text_vision
cvcl-resnext,handbag,1,0.315,500,scds_text_vision
cvcl-resnext,handbag,2,0.37,500,scds_text_vision
cvcl-resnext,basket,0,0.27,500,scds_text_vision
cvcl-resnext,basket,1,0.2325,500,scds_text_vision
cvcl-resnext,basket,2,0.2425,500,scds_text_vision
cvcl-resnext,ornament,0,0.38,500,scds_text_vision
cvcl-resnext,ornament,1,0.2425,500,scds_text_vision
cvcl-resnext,ornament,2,0.3225,500,scds_text_vision
cvcl-resnext,handgun,0,0.2225,500,scds_text_vision
cvcl-resnext,handgun,1,0.1975,500,scds_text_vision
cvcl-resnext,handgun,2,0.19,500,scds_text_vision
cvcl-resnext,lei,0,0.2425,500,scds_text_vision
cvcl-resnext,lei,1,0.2075,500,scds_text_vision
cvcl-resnext,lei,2,0.1825,500,scds_text_vision
cvcl-resnext,nailpolish,0,0.3575,500,scds_text_vision
cvcl-resnext,nailpolish,1,0.3425,500,scds_text_vision
cvcl-resnext,nailpolish,2,0.28,500,scds_text_vision
cvcl-resnext,phone,0,0.3625,500,scds_text_vision
cvcl-resnext,phone,1,0.2875,500,scds_text_vision
cvcl-resnext,phone,2,0.1375,500,scds_text_vision
cvcl-resnext,toothpaste,0,0.25,500,scds_text_vision
cvcl-resnext,toothpaste,1,0.2,500,scds_text_vision
cvcl-resnext,toothpaste,2,0.2375,500,scds_text_vision
cvcl-resnext,trophy,0,0.35,500,scds_text_vision
cvcl-resnext,trophy,1,0.17,500,scds_text_vision
cvcl-resnext,trophy,2,0.2875,500,scds_text_vision
cvcl-resnext,pipe,0,0.265,500,scds_text_vision
cvcl-resnext,pipe,1,0.245,500,scds_text_vision
cvcl-resnext,pipe,2,0.19,500,scds_text_vision
