model,class,mean_accuracy,std,se,ci95,n_seeds,total_trials
cvcl-resnext,apple,0.25166666666666665,0.025041632002194544,0.014457792977414568,0.02833727423573255,3,1500
cvcl-resnext,bonzai,0.205,0.05878988008152425,0.03394235309069384,0.06652701205775993,3,1500
cvcl-resnext,lantern,0.20750000000000002,0.07798236980241109,0.04502314219746699,0.0882453587070353,3,1500
cvcl-resnext,ring,0.33499999999999996,0.02384848003542363,0.01376892636821525,0.02698709568170189,3,1500
cvcl-resnext,helmet,0.26416666666666666,0.032145502536643174,0.018559214542766735,0.0363760605038228,3,1500
cvcl-resnext,dumbell,0.2891666666666667,0.043108390521258554,0.024888640871780138,0.04878173610868908,3,1500
cvcl-resnext,butterfly,0.24242424242424243,0.030856684627903502,0.017815115176219476,0.03491762574539017,3,1500
cvcl-resnext,muffin,0.15,0.0801950746617272,0.04630064794363034,0.09074926996951548,3,1500
cvcl-resnext,tricycle,0.26,0.007500000000000007,0.004330127018922198,0.008487048957087507,3,1500
cvcl-resnext,dresser,0.21833333333333335,0.06375408483645054,0.036808438042262956,0.0721445385628354,3,1500
cvcl-resnext,fan,0.165,0.024999999999999994,0.014433756729740642,0.028290163190291658,3,1500
cvcl-resnext,saddle,0.295,0.09588404455382554,0.05535867893414125,0.10850301071091685,3,1500
cvcl-resnext,grill,0.26083333333333336,0.06765414498264932,0.039060138817526555,0.07655787208235205,3,1500
cvcl-resnext,horse,0.24333333333333332,0.05507570547286101,0.03179797338056485,0.06232402782590711,3,1500
cvcl-resnext,rabbit,0.18499999999999997,0.027838821814150108,0.01607275126832159,0.03150259248591032,3,1500
cvcl-resnext,doorknob,0.22416666666666665,0.04072263907623539,0.023511226632776477,0.046082004200241895,3,1500
cvcl-resnext,seashell,0.3,0.03631459761583488,0.02096624270901521,0.04109383570966981,3,1500
cvcl-resnext,doll,0.22166666666666668,0.04185789451624787,0.02416666666666667,0.047366666666666675,3,1500
cvcl-resnext,bagel,0.23750000000000002,0.01952562418976664,0.011273124382057237,0.022095323788832187,3,1500
