model,class,seed,accuracy,n_trials,test_type
cvcl-resnext,pillow,0,0.21388888888888888,500,scdt_text_vision_noblackwhite
cvcl-resnext,pillow,1,0.2722222222222222,500,scdt_text_vision_noblackwhite
cvcl-resnext,pillow,2,0.14166666666666666,500,scdt_text_vision_noblackwhite
cvcl-resnext,headband,0,0.296,500,scdt_text_vision_noblackwhite
cvcl-resnext,headband,1,0.164,500,scdt_text_vision_noblackwhite
cvcl-resnext,headband,2,0.216,500,scdt_text_vision_noblackwhite
cvcl-resnext,cookie,0,0.246,500,scdt_text_vision_noblackwhite
cvcl-resnext,cookie,1,0.272,500,scdt_text_vision_noblackwhite
cvcl-resnext,cookie,2,0.218,500,scdt_text_vision_noblackwhite
cvcl-resnext,doll,0,0.424,500,scdt_text_vision_noblackwhite
cvcl-resnext,doll,1,0.396,500,scdt_text_vision_noblackwhite
cvcl-resnext,doll,2,0.326,500,scdt_text_vision_noblackwhite
cvcl-resnext,pitcher,0,0.338,500,scdt_text_vision_noblackwhite
cvcl-resnext,pitcher,1,0.394,500,scdt_text_vision_noblackwhite
cvcl-resnext,pitcher,2,0.31,500,scdt_text_vision_noblackwhite
cvcl-resnext,horse,0,0.284,500,scdt_text_vision_noblackwhite
cvcl-resnext,horse,1,0.27,500,scdt_text_vision_noblackwhite
cvcl-resnext,horse,2,0.292,500,scdt_text_vision_noblackwhite
cvcl-resnext,pipe,0,0.306,500,scdt_text_vision_noblackwhite
cvcl-resnext,pipe,1,0.236,500,scdt_text_vision_noblackwhite
cvcl-resnext,pipe,2,0.254,500,scdt_text_vision_noblackwhite
cvcl-resnext,lei,0,0.448,500,scdt_text_vision_noblackwhite
cvcl-resnext,lei,1,0.464,500,scdt_text_vision_noblackwhite
cvcl-resnext,lei,2,0.488,500,scdt_text_vision_noblackwhite
cvcl-resnext,nailpolish,0,0.414,500,scdt_text_vision_noblackwhite
cvcl-resnext,nailpolish,1,0.324,500,scdt_text_vision_noblackwhite
cvcl-resnext,nailpolish,2,0.36,500,scdt_text_vision_noblackwhite
cvcl-resnext,seashell,0,0.264,500,scdt_text_vision_noblackwhite
cvcl-resnext,seashell,1,0.336,500,scdt_text_vision_noblackwhite
cvcl-resnext,seashell,2,0.324,500,scdt_text_vision_noblackwhite
cvcl-resnext,camera,0,0.228,500,scdt_text_vision_noblackwhite
cvcl-resnext,camera,1,0.208,500,scdt_text_vision_noblackwhite
cvcl-resnext,camera,2,0.268,500,scdt_text_vision_noblackwhite
cvcl-resnext,vase,0,0.28,500,scdt_text_vision_noblackwhite
