model,class,mean_accuracy,std,se,ci95,n_seeds,total_trials
cvcl-resnext,pillow,0.20925925925925926,0.06540079032003815,0.0377591638964883,0.07400796123711707,3,1500
cvcl-resnext,headband,0.2253333333333333,0.0664931074122223,0.038389813463701246,0.07524403438885444,3,1500
cvcl-resnext,cookie,0.24533333333333332,0.0270061721340388,0.015592020751368672,0.030560360672682595,3,1500
cvcl-resnext,doll,0.38200000000000006,0.05047771785649584,0.029143323992525852,0.05712091502535067,3,1500
cvcl-resnext,pitcher,0.3473333333333333,0.042770706486254514,0.02469367890326952,0.04839961065040826,3,1500
cvcl-resnext,horse,0.28200000000000003,0.011135528725660024,0.006429100507328625,0.012601036994364106,3,1500
cvcl-resnext,pipe,0.26533333333333337,0.03635014901390823,0.020986768318262926,0.04113406590379533,3,1500
cvcl-resnext,lei,0.4666666666666666,0.020132891827388654,0.011623730516108457,0.022782511811572575,3,1500
cvcl-resnext,nailpolish,0.36599999999999994,0.04529900661162448,0.026153393661244036,0.051260651576038305,3,1500
cvcl-resnext,seashell,0.30800000000000005,0.038574603043971825,0.022271057451320093,0.04365127260458738,3,1500
cvcl-resnext,camera,0.23466666666666666,0.030550504633038943,0.017638342073763944,0.03457115046457733,3,1500
cvcl-resnext,vase,0.2893333333333334,0.033005050118630835,0.019055474570608605,0.03734873015839286,3,1500
cvcl-resnext,handbag,0.31266666666666665,0.05178159261101702,0.029896116433038217,0.05859638820875491,3,1500
cvcl-resnext,butterfly,0.19066666666666668,0.003055050463303896,0.0017638342073763953,0.0034571150464577345,3,1500
cvcl-resnext,stool,0.2833333333333333,0.04437717130838033,0.02562117180076752,0.05021749672950434,3,1500
cvcl-resnext,lock,0.31203703703703706,0.017858612520357312,0.010310674745981515,0.02020892250212377,3,1500
cvcl-resnext,lipstick,0.36999999999999994,0.03304542328371661,0.019078784028338912,0.03739441669554427,3,1500
cvcl-resnext,doorknob,0.35400000000000004,0.06729041536504288,0.038850139424889234,0.07614627327278291,3,1500
cvcl-resnext,apple,0.26066666666666666,0.010066445913694341,0.005811865258054236,0.011391255905786303,3,1500
cvcl-resnext,keyboard,0.13733333333333334,0.009865765724632488,0.0056960024968783505,0.011164164893881567,3,1500
cvcl-resnext,microwave,0.24866666666666667,0.02247962040011649,0.01297861488928786,0.025438085183004205,3,1500
cvcl-resnext,handheldgame,0.20733333333333334,0.057143095237599216,0.03299158141775633,0.06466349957880241,3,1500
