model,class,seed,accuracy,n_trials,test_type
cvcl-resnext,grill,0,0.21,500,scdt_text_vision
cvcl-resnext,grill,1,0.19,500,scdt_text_vision
cvcl-resnext,grill,2,0.1475,500,scdt_text_vision
cvcl-resnext,tennisracquet,0,0.0,500,scdt_text_vision
cvcl-resnext,tennisracquet,1,0.0,500,scdt_text_vision
cvcl-resnext,tennisracquet,2,0.0,500,scdt_text_vision
cvcl-resnext,suitcase,0,0.188,500,scdt_text_vision
cvcl-resnext,suitcase,1,0.118,500,scdt_text_vision
cvcl-resnext,suitcase,2,0.194,500,scdt_text_vision
cvcl-resnext,bagel,0,0.256,500,scdt_text_vision
cvcl-resnext,bagel,1,0.25,500,scdt_text_vision
cvcl-resnext,bagel,2,0.254,500,scdt_text_vision
cvcl-resnext,train,0,0.248,500,scdt_text_vision
cvcl-resnext,train,1,0.296,500,scdt_text_vision
cvcl-resnext,train,2,0.198,500,scdt_text_vision
cvcl-resnext,microwave,0,0.228,500,scdt_text_vision
cvcl-resnext,microwave,1,0.25,500,scdt_text_vision
cvcl-resnext,microwave,2,0.216,500,scdt_text_vision
cvcl-resnext,ornament,0,0.14,500,scdt_text_vision
cvcl-resnext,ornament,1,0.174,500,scdt_text_vision
cvcl-resnext,ornament,2,0.246,500,scdt_text_vision
cvcl-resnext,saltandpeppershake,0,0.342,500,scdt_text_vision
cvcl-resnext,saltandpeppershake,1,0.344,500,scdt_text_vision
cvcl-resnext,saltandpeppershake,2,0.304,500,scdt_text_vision
cvcl-resnext,apple,0,0.254,500,scdt_text_vision
cvcl-resnext,apple,1,0.248,500,scdt_text_vision
cvcl-resnext,apple,2,0.25,500,scdt_text_vision
cvcl-resnext,vase,0,0.214,500,scdt_text_vision
cvcl-resnext,vase,1,0.31,500,scdt_text_vision
cvcl-resnext,vase,2,0.224,500,scdt_text_vision
cvcl-resnext,fan,0,0.228,500,scdt_text_vision
cvcl-resnext,fan,1,0.352,500,scdt_text_vision
cvcl-resnext,fan,2,0.232,500,scdt_text_vision
cvcl-resnext,doorknob,0,0.342,500,scdt_text_vision
cvcl-resnext,doorknob,1,0.396,500,scdt_text_vision
cvcl-resnext,doorknob,2,0.29,500,scdt_text_vision
cvcl-resnext,rug,0,0.202,500,scdt_text_vision
cvcl-resnext,rug,1,0.202,500,scdt_text_vision
cvcl-resnext,rug,2,0.218,500,scdt_text_vision
cvcl-resnext,pitcher,0,0.318,500,scdt_text_vision
cvcl-resnext,pitcher,1,0.382,500,scdt_text_vision
cvcl-resnext,pitcher,2,0.318,500,scdt_text_vision
cvcl-resnext,wineglass,0,0.346,500,scdt_text_vision
cvcl-resnext,wineglass,1,0.392,500,scdt_text_vision
cvcl-resnext,wineglass,2,0.34,500,scdt_text_vision
cvcl-resnext,dumbell,0,0.362,500,scdt_text_vision
cvcl-resnext,dumbell,1,0.484,500,scdt_text_vision
