model,class,mean_accuracy,std,se,ci95,n_seeds,total_trials
cvcl-resnext,grill,0.1825,0.031917863337009265,0.01842778698957999,0.03611846249957677,3,1500
cvcl-resnext,tennisracquet,0.0,0.0,0.0,0.0,3,1500
cvcl-resnext,suitcase,0.16666666666666666,0.0422532050066422,0.02439489928470932,0.047814002598030265,3,1500
cvcl-resnext,bagel,0.25333333333333335,0.003055050463303896,0.0017638342073763953,0.0034571150464577345,3,1500
cvcl-resnext,train,0.24733333333333332,0.049003401242498794,0.028292126898563922,0.055452568721185286,3,1500
cvcl-resnext,microwave,0.2313333333333333,0.017243356208503417,0.009955456348712054,0.019512694443475625,3,1500
cvcl-resnext,ornament,0.18666666666666668,0.05412331598611944,0.031248111054021237,0.06124629766588162,3,1500
cvcl-resnext,saltandpeppershake,0.33,0.022538855339169293,0.013012814197295426,0.025505115826699034,3,1500
cvcl-resnext,apple,0.25066666666666665,0.003055050463303896,0.0017638342073763953,0.0034571150464577345,3,1500
cvcl-resnext,vase,0.24933333333333332,0.05277625728803941,0.030470386352070503,0.05972195725005819,3,1500
cvcl-resnext,fan,0.27066666666666667,0.07046512139586031,0.04068305680637961,0.07973879134050404,3,1500
cvcl-resnext,doorknob,0.3426666666666667,0.05300314456080257,0.030601379780076016,0.05997870436894899,3,1500
cvcl-resnext,rug,0.20733333333333334,0.009237604307034004,0.005333333333333329,0.010453333333333325,3,1500
cvcl-resnext,pitcher,0.3393333333333333,0.03695041722813605,0.021333333333333336,0.041813333333333334,3,1500
cvcl-resnext,wineglass,0.35933333333333334,0.028448784391135833,0.0164249133263399,0.032192830119626197,3,1500
cvcl-resnext,dumbell,0.37200000000000005,0.10734989520255712,0.06197849089267447,0.12147784214964195,3,1500
cvcl-resnext,cookie,0.24933333333333332,0.007571877794400371,0.004371625682868005,0.008568386338421288,3,1500
cvcl-resnext,babushkadolls,0.27066666666666667,0.045003703551300456,0.025982900359873436,0.05092648470535193,3,1500
cvcl-resnext,basket,0.21333333333333335,0.030287511177601454,0.017486502731472,0.03427354535368512,3,1500
cvcl-resnext,toothpaste,0.25466666666666665,0.028023799409311583,0.01617954813268212,0.031711914340056956,3,1500
cvcl-resnext,handgun,0.3746666666666667,0.05522076903967684,0.03188172586991558,0.06248818270503453,3,1500
cvcl-resnext,pen,0.272,0.048867166891482475,0.028213471959331778,0.05529840504029028,3,1500
cvcl-resnext,keyboard,0.142,0.04084115571332427,0.02357965224510319,0.046216118400402253,3,1500
