model,class,seed,accuracy,n_trials,test_type
cvcl-resnext,abacus,0,0.926,500,class_noblackwhite
cvcl-resnext,abacus,1,0.914,500,class_noblackwhite
cvcl-resnext,abacus,2,0.912,500,class_noblackwhite
cvcl-resnext,apple,0,0.864,500,class_noblackwhite
cvcl-resnext,apple,1,0.862,500,class_noblackwhite
cvcl-resnext,apple,2,0.866,500,class_noblackwhite
cvcl-resnext,axe,0,0.882,500,class_noblackwhite
cvcl-resnext,axe,1,0.836,500,class_noblackwhite
cvcl-resnext,axe,2,0.88,500,class_noblackwhite
cvcl-resnext,babushkadolls,0,0.92,500,class_noblackwhite
cvcl-resnext,babushkadolls,1,0.86,500,class_noblackwhite
cvcl-resnext,babushkadolls,2,0.87,500,class_noblackwhite
cvcl-resnext,bagel,0,0.79,500,class_noblackwhite
cvcl-resnext,bagel,1,0.754,500,class_noblackwhite
cvcl-resnext,bagel,2,0.808,500,class_noblackwhite
cvcl-resnext,ball,0,0.986,500,class_noblackwhite
cvcl-resnext,ball,1,0.996,500,class_noblackwhite
cvcl-resnext,ball,2,0.998,500,class_noblackwhite
cvcl-resnext,basket,0,0.398,500,class_noblackwhite
cvcl-resnext,basket,1,0.486,500,class_noblackwhite
cvcl-resnext,basket,2,0.432,500,class_noblackwhite
cvcl-resnext,bell,0,0.932,500,class_noblackwhite
cvcl-resnext,bell,1,0.874,500,class_noblackwhite
cvcl-resnext,bell,2,0.868,500,class_noblackwhite
cvcl-resnext,bird,0,0.924,500,class_noblackwhite
cvcl-resnext,bird,1,0.868,500,class_noblackwhite
cvcl-resnext,bird,2,0.874,500,class_noblackwhite
cvcl-resnext,bonzai,0,0.928,500,class_noblackwhite
cvcl-resnext,bonzai,1,0.902,500,class_noblackwhite
cvcl-resnext,bonzai,2,0.938,500,class_noblackwhite
cvcl-resnext,bread,0,0.428,500,class_noblackwhite
cvcl-resnext,bread,1,0.416,500,class_noblackwhite
cvcl-resnext,bread,2,0.438,500,class_noblackwhite
cvcl-resnext,butterfly,0,0.706,500,class_noblackwhite
cvcl-resnext,butterfly,1,0.638,500,class_noblackwhite
cvcl-resnext,butterfly,2,0.71,500,class_noblackwhite
cvcl-resnext,calculator,0,0.884,500,class_noblackwhite
cvcl-resnext,calculator,1,0.868,500,class_noblackwhite
cvcl-resnext,calculator,2,0.858,500,class_noblackwhite
cvcl-resnext,camera,0,0.992,500,class_noblackwhite
cvcl-resnext,camera,1,0.982,500,class_noblackwhite
cvcl-resnext,camera,2,0.992,500,class_noblackwhite
cvcl-resnext,candle,0,0.92,500,class_noblackwhite
cvcl-resnext,candle,1,0.874,500,class_noblackwhite
cvcl-resnext,candle,2,0.886,500,class_noblackwhite
cvcl-resnext,cookie,0,0.67,500,class_noblackwhite
