model,class,mean_accuracy,std,se,ci95,n_seeds,total_trials
cvcl-resnext,abacus,0.9173333333333334,0.007571877794400371,0.004371625682868005,0.008568386338421288,3,1500
cvcl-resnext,apple,0.864,0.0020000000000000018,0.0011547005383792527,0.002263213055223335,3,1500
cvcl-resnext,axe,0.866,0.026000000000000023,0.015011106998930284,0.02942176971790336,3,1500
cvcl-resnext,babushkadolls,0.8833333333333333,0.03214550253664321,0.018559214542766756,0.03637606050382284,3,1500
cvcl-resnext,bagel,0.7840000000000001,0.027495454169735062,0.01587450786638756,0.03111403541811961,3,1500
cvcl-resnext,ball,0.9933333333333333,0.006429100507328643,0.003711842908553352,0.007275212100764569,3,1500
cvcl-resnext,basket,0.4386666666666667,0.0443771713083803,0.025621171800767506,0.05021749672950431,3,1500
cvcl-resnext,bell,0.8913333333333333,0.03534590971149753,0.020406970486685307,0.0399976621539032,3,1500
cvcl-resnext,bird,0.8886666666666666,0.030746273486933907,0.017751369274259146,0.03479268377754793,3,1500
cvcl-resnext,bonzai,0.9226666666666666,0.01858314648635511,0.010728984626287371,0.02102880986752325,3,1500
cvcl-resnext,bread,0.42733333333333334,0.011015141094572214,0.006359594676112977,0.012464805565181435,3,1500
cvcl-resnext,butterfly,0.6846666666666666,0.04046397574798269,0.023361887290580294,0.045789299089537376,3,1500
cvcl-resnext,calculator,0.87,0.013114877048604014,0.007571877794400372,0.01484088047702473,3,1500
cvcl-resnext,camera,0.9886666666666667,0.005773502691896262,0.003333333333333336,0.006533333333333338,3,1500
cvcl-resnext,candle,0.8933333333333334,0.02386070689089773,0.013775985546514564,0.027000931671168543,3,1500
cvcl-resnext,cookie,0.6506666666666666,0.022479620400116505,0.012978614889287867,0.02543808518300422,3,1500
cvcl-resnext,doll,0.6493333333333333,0.03827967258654822,0.022100779272334354,0.04331752737377533,3,1500
cvcl-resnext,doorknob,0.8966666666666666,0.014189197769195187,0.00819213715162968,0.016056588817194174,3,1500
cvcl-resnext,dresser,0.5653333333333334,0.027153882472555034,0.01567730135507311,0.0307275106559433,3,1500
cvcl-resnext,dumbell,0.864,0.011135528725660053,0.006429100507328643,0.012601036994364139,3,1500
cvcl-resnext,earrings,0.5800000000000001,0.034176014981270104,0.01973153144926498,0.03867380164055936,3,1500
cvcl-resnext,fan,0.44599999999999995,0.029461839725312473,0.017009801096230768,0.033339210148612304,3,1500
cvcl-resnext,goggle,0.8806666666666666,0.005773502691896263,0.0033333333333333366,0.00653333333333334,3,1500
cvcl-resnext,grill,0.9606666666666666,0.0041633319989322695,0.0024037008503093285,0.0047112536666062835,3,1500
