model,class,seed,accuracy,n_trials
cvcl-resnext,abacus,0,0.874,500
cvcl-resnext,abacus,1,0.896,500
cvcl-resnext,abacus,2,0.89,500
cvcl-resnext,apple,0,0.906,500
cvcl-resnext,apple,1,0.9,500
cvcl-resnext,apple,2,0.886,500
cvcl-resnext,axe,0,0.888,500
cvcl-resnext,axe,1,0.852,500
cvcl-resnext,axe,2,0.884,500
cvcl-resnext,babushkadolls,0,0.902,500
cvcl-resnext,babushkadolls,1,0.834,500
cvcl-resnext,babushkadolls,2,0.856,500
cvcl-resnext,bagel,0,0.82,500
cvcl-resnext,bagel,1,0.786,500
cvcl-resnext,bagel,2,0.802,500
cvcl-resnext,ball,0,0.996,500
cvcl-resnext,ball,1,1.0,500
cvcl-resnext,ball,2,0.998,500
cvcl-resnext,basket,0,0.406,500
cvcl-resnext,basket,1,0.512,500
cvcl-resnext,basket,2,0.436,500
cvcl-resnext,bell,0,0.928,500
cvcl-resnext,bell,1,0.858,500
cvcl-resnext,bell,2,0.878,500
cvcl-resnext,bird,0,0.93,500
cvcl-resnext,bird,1,0.902,500
cvcl-resnext,bird,2,0.892,500
cvcl-resnext,bonzai,0,0.946,500
cvcl-resnext,bonzai,1,0.94,500
cvcl-resnext,bonzai,2,0.944,500
cvcl-resnext,bread,0,0.456,500
cvcl-resnext,bread,1,0.432,500
cvcl-resnext,bread,2,0.528,500
cvcl-resnext,butterfly,0,0.742,500
cvcl-resnext,butterfly,1,0.706,500
cvcl-resnext,butterfly,2,0.734,500
cvcl-resnext,calculator,0,0.872,500
cvcl-resnext,calculator,1,0.856,500
cvcl-resnext,calculator,2,0.852,500
cvcl-resnext,camera,0,0.99,500
cvcl-resnext,camera,1,0.986,500
cvcl-resnext,camera,2,0.996,500
cvcl-resnext,candle,0,0.96,500
cvcl-resnext,candle,1,0.926,500
cvcl-resnext,candle,2,0.922,500
cvcl-resnext,cookie,0,0.656,500
cvcl-resnext,cookie,1,0.63,500
cvcl-resnext,cookie,2,0.696,500
cvcl-resnext,doll,0,0.676,500
cvcl-resnext,doll,1,0.654,500
cvcl-resnext,doll,2,0.638,500
cvcl-resnext,doorknob,0,0.93,500
cvcl-resnext,doorknob,1,0.902,500
cvcl-resnext,doorknob,2,0.886,500
cvcl-resnext,dresser,0,0.506,500
cvcl-resnext,dresser,1,0.524,500
cvcl-resnext,dresser,2,0.544,500
cvcl-resnext,dumbell,0,0.89,500
cvcl-resnext,dumbell,1,0.856,500
cvcl-resnext,dumbell,2,0.856,500
cvcl-resnext,earrings,0,0.612,500
cvcl-resnext,earrings,1,0.578,500
cvcl-resnext,earrings,2,0.65,500
cvcl-resnext,fan,0,0.442,500
cvcl-resnext,fan,1,0.462,500
cvcl-resnext,fan,2,0.424,500
cvcl-resnext,goggle,0,0.892,500
cvcl-resnext,goggle,1,0.878,500
cvcl-resnext,goggle,2,0.882,500
cvcl-resnext,grill,0,0.97,500
cvcl-resnext,grill,1,0.97,500
cvcl-resnext,grill,2,0.98,500
cvcl-resnext,handbag,0,0.966,500
cvcl-resnext,handbag,1,0.98,500
cvcl-resnext,handbag,2,0.958,500
cvcl-resnext,handgun,0,0.994,500
cvcl-resnext,handgun,1,0.95,500
cvcl-resnext,handgun,2,0.966,500
cvcl-resnext,handheldgame,0,0.456,500
cvcl-resnext,handheldgame,1,0.466,500
cvcl-resnext,handheldgame,2,0.448,500
cvcl-resnext,headband,0,0.92,500
cvcl-resnext,headband,1,0.9,500
cvcl-resnext,headband,2,0.858,500
cvcl-resnext,helmet,0,0.908,500
cvcl-resnext,helmet,1,0.934,500
cvcl-resnext,helmet,2,0.916,500
cvcl-resnext,horse,0,0.804,500
cvcl-resnext,horse,1,0.744,500
cvcl-resnext,horse,2,0.736,500
cvcl-resnext,keyboard,0,0.878,500
cvcl-resnext,keyboard,1,0.856,500
cvcl-resnext,keyboard,2,0.878,500
cvcl-resnext,lantern,0,0.674,500
cvcl-resnext,lantern,1,0.664,500
cvcl-resnext,lantern,2,0.724,500
cvcl-resnext,lei,0,0.664,500
cvcl-resnext,lei,1,0.706,500
cvcl-resnext,lei,2,0.714,500
cvcl-resnext,lipstick,0,0.922,500
cvcl-resnext,lipstick,1,0.9,500
cvcl-resnext,lipstick,2,0.922,500
cvcl-resnext,lock,0,0.9,500
cvcl-resnext,lock,1,0.882,500
cvcl-resnext,lock,2,0.884,500
cvcl-resnext,meat,0,0.818,500
cvcl-resnext,meat,1,0.806,500
cvcl-resnext,meat,2,0.858,500
cvcl-resnext,microwave,0,0.946,500
cvcl-resnext,microwave,1,0.92,500
cvcl-resnext,microwave,2,0.938,500
cvcl-resnext,muffin,0,0.752,500
cvcl-resnext,muffin,1,0.788,500
cvcl-resnext,muffin,2,0.748,500
cvcl-resnext,nailpolish,0,0.748,500
cvcl-resnext,nailpolish,1,0.64,500
cvcl-resnext,nailpolish,2,0.668,500
cvcl-resnext,ornament,0,0.59,500
cvcl-resnext,ornament,1,0.544,500
cvcl-resnext,ornament,2,0.57,500
cvcl-resnext,pen,0,0.726,500
cvcl-resnext,pen,1,0.708,500
cvcl-resnext,pen,2,0.738,500
cvcl-resnext,phone,0,0.806,500
cvcl-resnext,phone,1,0.79,500
cvcl-resnext,phone,2,0.83,500
cvcl-resnext,pillow,0,0.614,500
cvcl-resnext,pillow,1,0.63,500
cvcl-resnext,pillow,2,0.636,500
cvcl-resnext,pipe,0,0.884,500
cvcl-resnext,pipe,1,0.828,500
cvcl-resnext,pipe,2,0.84,500
cvcl-resnext,pitcher,0,0.826,500
cvcl-resnext,pitcher,1,0.806,500
cvcl-resnext,pitcher,2,0.826,500
cvcl-resnext,powerstrip,0,0.74,500
cvcl-resnext,powerstrip,1,0.64,500
cvcl-resnext,powerstrip,2,0.642,500
cvcl-resnext,pumpkin,0,0.9090909090909091,500
cvcl-resnext,pumpkin,1,0.8613636363636363,500
cvcl-resnext,pumpkin,2,0.8886363636363637,500
cvcl-resnext,rabbit,0,0.914,500
cvcl-resnext,rabbit,1,0.892,500
cvcl-resnext,rabbit,2,0.894,500
cvcl-resnext,ring,0,0.958,500
cvcl-resnext,ring,1,0.892,500
cvcl-resnext,ring,2,0.904,500
cvcl-resnext,rug,0,0.818,500
cvcl-resnext,rug,1,0.84,500
cvcl-resnext,rug,2,0.828,500
cvcl-resnext,saddle,0,0.74,500
cvcl-resnext,saddle,1,0.784,500
cvcl-resnext,saddle,2,0.78,500
cvcl-resnext,saltandpeppershake,0,0.666,500
cvcl-resnext,saltandpeppershake,1,0.614,500
