model,class,mean_accuracy,std,se,ci95,n_seeds,total_trials
cvcl-resnext,abacus,0.8866666666666667,0.011372481406154664,0.00656590520119741,0.012869174194346923,3,1500
cvcl-resnext,apple,0.8973333333333334,0.010263202878893778,0.005925462944877065,0.011613907371959048,3,1500
cvcl-resnext,axe,0.8746666666666667,0.019731531449265007,0.01139200499375672,0.022328329787763168,3,1500
cvcl-resnext,babushkadolls,0.864,0.03469870314579498,0.020033305601755647,0.039265278979441064,3,1500
cvcl-resnext,bagel,0.8026666666666666,0.017009801096230723,0.0098206132417708,0.019248401953870765,3,1500
cvcl-resnext,ball,0.9979999999999999,0.0020000000000000018,0.0011547005383792527,0.002263213055223335,3,1500
cvcl-resnext,basket,0.45133333333333336,0.054638203972434275,0.03154538177152261,0.06182894827218432,3,1500
cvcl-resnext,bell,0.888,0.036055512754639925,0.020816659994661348,0.04080065358953624,3,1500
cvcl-resnext,bird,0.908,0.019697715603592226,0.011372481406154664,0.02229006355606314,3,1500
cvcl-resnext,bonzai,0.9433333333333334,0.003055050463303896,0.0017638342073763953,0.0034571150464577345,3,1500
cvcl-resnext,bread,0.472,0.0499599839871872,0.028844410203711923,0.05653504399927537,3,1500
cvcl-resnext,butterfly,0.7273333333333333,0.01890326250501045,0.010913803695829944,0.02139105524382669,3,1500
cvcl-resnext,calculator,0.86,0.010583005244258372,0.0061101009266077925,0.011975797816151273,3,1500
cvcl-resnext,camera,0.9906666666666667,0.0050332229568471705,0.002905932629027118,0.0056956279528931515,3,1500
cvcl-resnext,candle,0.936,0.020880613017821053,0.01205542754668339,0.023628637991499443,3,1500
cvcl-resnext,cookie,0.6606666666666666,0.033246553706111126,0.01919490673185061,0.0376220171944272,3,1500
cvcl-resnext,doll,0.656,0.01907878402833893,0.011015141094572214,0.02158967654536154,3,1500
cvcl-resnext,doorknob,0.906,0.022271057451320107,0.012858201014657285,0.025202073988728278,3,1500
cvcl-resnext,dresser,0.5246666666666667,0.019008769905844356,0.010974718422102897,0.021510448107321677,3,1500
cvcl-resnext,dumbell,0.8673333333333333,0.019629909152447292,0.011333333333333343,0.022213333333333352,3,1500
cvcl-resnext,earrings,0.6133333333333333,0.03601851375797363,0.020795298613976314,0.04075878528339357,3,1500
