model,class,seed,accuracy,n_trials,test_type
cvcl-resnext,apple,0,0.894,500,visual_prototype_cvcl_training
cvcl-resnext,apple,1,0.822,500,visual_prototype_cvcl_training
cvcl-resnext,apple,2,0.854,500,visual_prototype_cvcl_training
cvcl-resnext,bagel,0,0.924,500,visual_prototype_cvcl_training
cvcl-resnext,bagel,1,0.918,500,visual_prototype_cvcl_training
cvcl-resnext,bagel,2,0.912,500,visual_prototype_cvcl_training
cvcl-resnext,basket,0,0.808,500,visual_prototype_cvcl_training
cvcl-resnext,basket,1,0.81,500,visual_prototype_cvcl_training
cvcl-resnext,basket,2,0.814,500,visual_prototype_cvcl_training
cvcl-resnext,bell,0,0.984,500,visual_prototype_cvcl_training
cvcl-resnext,bell,1,0.962,500,visual_prototype_cvcl_training
cvcl-resnext,bell,2,0.968,500,visual_prototype_cvcl_training
cvcl-resnext,bird,0,0.928,500,visual_prototype_cvcl_training
cvcl-resnext,bird,1,0.93,500,visual_prototype_cvcl_training
cvcl-resnext,bird,2,0.93,500,visual_prototype_cvcl_training
cvcl-resnext,butterfly,0,0.946,500,visual_prototype_cvcl_training
cvcl-resnext,butterfly,1,0.932,500,visual_prototype_cvcl_training
cvcl-resnext,butterfly,2,0.918,500,visual_prototype_cvcl_training
cvcl-resnext,camera,0,0.704,500,visual_prototype_cvcl_training
cvcl-resnext,camera,1,0.69,500,visual_prototype_cvcl_training
cvcl-resnext,camera,2,0.708,500,visual_prototype_cvcl_training
cvcl-resnext,cookie,0,0.86,500,visual_prototype_cvcl_training
cvcl-resnext,cookie,1,0.826,500,visual_prototype_cvcl_training
cvcl-resnext,cookie,2,0.894,500,visual_prototype_cvcl_training
cvcl-resnext,pillow,0,0.756,500,visual_prototype_cvcl_training
cvcl-resnext,pillow,1,0.752,500,visual_prototype_cvcl_training
cvcl-resnext,pillow,2,0.784,500,visual_prototype_cvcl_training
cvcl-resnext,fan,0,0.83,500,visual_prototype_cvcl_training
cvcl-resnext,fan,1,0.838,500,visual_prototype_cvcl_training
cvcl-resnext,fan,2,0.822,500,visual_prototype_cvcl_training
