model,class,mean_accuracy,std,se,ci95,n_seeds,total_trials
cvcl-resnext,apple,0.8566666666666666,0.03607399802258319,0.02082733246908443,0.04082157163940548,3,1500
cvcl-resnext,bagel,0.918,0.006000000000000005,0.003464101615137758,0.006789639165670006,3,1500
cvcl-resnext,basket,0.8106666666666666,0.0030550504633038355,0.0017638342073763604,0.0034571150464576665,3,1500
cvcl-resnext,bell,0.9713333333333333,0.011372481406154664,0.00656590520119741,0.012869174194346923,3,1500
cvcl-resnext,bird,0.9293333333333335,0.0011547005383792527,0.0006666666666666674,0.001306666666666668,3,1500
cvcl-resnext,butterfly,0.932,0.013999999999999957,0.008082903768654736,0.01584249138656328,3,1500
cvcl-resnext,camera,0.7006666666666667,0.009451631252505225,0.005456901847914972,0.010695527621913345,3,1500
cvcl-resnext,cookie,0.86,0.03400000000000003,0.019629909152447295,0.0384746219387967,3,1500
cvcl-resnext,pillow,0.7639999999999999,0.01743559577416271,0.010066445913694343,0.019730233990840913,3,1500
cvcl-resnext,fan,0.83,0.008000000000000007,0.004618802153517011,0.00905285222089334,3,1500
cvcl-resnext,pumpkin,0.9037878787878788,0.009185117918925843,0.005303030303030291,0.01039393939393937,3,1500
cvcl-resnext,pen,0.9473333333333332,0.018475208614067977,0.01066666666666664,0.020906666666666615,3,1500
cvcl-resnext,phone,0.8871212121212121,0.0518427639725019,0.029931433735058206,0.058665610120714085,3,1500
cvcl-resnext,ring,0.826,0.027495454169735003,0.015874507866387524,0.031114035418119544,3,1500
cvcl-resnext,seashell,0.9293333333333332,0.016772994167212115,0.009683892697555938,0.01898042968720964,3,1500
cvcl-resnext,stool,0.758,0.037363083384538844,0.021571586249817937,0.04228030904964315,3,1500
cvcl-resnext,toothpaste,0.9633333333333334,0.025324559884296733,0.014621141466307518,0.028657437273962735,3,1500
cvcl-resnext,horse,0.9493333333333333,0.019218047073866068,0.011095544651395475,0.02174726751673513,3,1500
cvcl-resnext,rabbit,0.926,0.010000000000000009,0.005773502691896263,0.011316065276116675,3,1500
cvcl-resnext,train,0.8706666666666667,0.02386070689089773,0.013775985546514564,0.027000931671168543,3,1500
cvcl-resnext,tree,0.9206666666666666,0.006429100507328643,0.003711842908553352,0.007275212100764569,3,1500
cvcl-resnext,tricycle,0.8873333333333333,0.015143755588800743,0.00874325136573601,0.017136772676842577,3,1500
clip-res,apple,0.984,0.007211102550927985,0.0041633319989322695,0.008160130717907249,3,1500
clip-res,bagel,0.992,0.0034641016151377583,0.002000000000000002,0.003920000000000004,3,1500
clip-res,basket,0.9766666666666666,0.0030550504633038962,0.0017638342073763955,0.003457115046457735,3,1500
clip-res,bell,1.0,0.0,0.0,0.0,3,1500
clip-res,bird,0.9819999999999999,0.005291502622129186,0.0030550504633038962,0.0059878989080756366,3,1500
clip-res,butterfly,0.9926666666666666,0.0011547005383792527,0.0006666666666666674,0.001306666666666668,3,1500
clip-res,camera,0.9033333333333333,0.007571877794400371,0.004371625682868005,0.008568386338421288,3,1500
clip-res,cookie,0.992,0.003464101615137758,0.0020000000000000018,0.003920000000000004,3,1500
clip-res,pillow,0.9419999999999998,0.0040000000000000036,0.0023094010767585054,0.00452642611044667,3,1500
clip-res,fan,0.98,0.007211102550927985,0.0041633319989322695,0.008160130717907249,3,1500
clip-res,pumpkin,0.9348484848484849,0.002624319405407439,0.0015151515151515436,0.0029696969696970253,3,1500
clip-res,pen,1.0,0.0,0.0,0.0,3,1500
clip-res,phone,0.9977272727272727,0.0022727272727272596,0.0013121597027036874,0.0025718330172992275,3,1500
clip-res,ring,0.9979999999999999,1.3597399555105182e-16,7.850462293418875e-17,1.5386906095100995e-16,3,1500
clip-res,seashell,0.9966666666666667,0.0023094010767585054,0.0013333333333333348,0.002613333333333336,3,1500
clip-res,stool,0.9706666666666667,0.0041633319989322695,0.0024037008503093285,0.0047112536666062835,3,1500
clip-res,toothpaste,0.9966666666666667,0.0023094010767585054,0.0013333333333333348,0.002613333333333336,3,1500
clip-res,horse,0.9373333333333332,0.012220201853215524,0.007055336829505547,0.013828460185830872,3,1500
clip-res,rabbit,0.9886666666666667,0.0030550504633038962,0.0017638342073763955,0.003457115046457735,3,1500
clip-res,train,0.9413333333333332,0.0011547005383792527,0.0006666666666666674,0.001306666666666668,3,1500
clip-res,tree,0.984,0.010392304845413272,0.006000000000000005,0.01176000000000001,3,1500
clip-res,tricycle,0.992,0.0040000000000000036,0.0023094010767585054,0.00452642611044667,3,1500
