model,class,mean_accuracy,std,n_seeds,test_type
dino_s_resnext50,abacus,0.2388888888888889,0.02545875386086577,3,SCDC
dino_s_resnext50,apple,0.24888888888888885,0.03746603400019413,3,SCDC
dino_s_resnext50,axe,0.29777777777777775,0.003849001794597498,3,SCDC
dino_s_resnext50,babushkadolls,0.3811111111111111,0.011706281947614146,3,SCDC
dino_s_resnext50,bagel,0.15666666666666668,0.029627314724385297,3,SCDC
dino_s_resnext50,ball,0.17777777777777778,0.006938886664887096,3,SCDC
dino_s_resnext50,basket,0.08111111111111112,0.006938886664887109,3,SCDC
dino_s_resnext50,bell,0.29333333333333333,0.020000000000000018,3,SCDC
dino_s_resnext50,bird,0.27444444444444444,0.009622504486493794,3,SCDC
dino_s_resnext50,bonzai,0.22777777777777777,0.028738927014172376,3,SCDC
dino_s_resnext50,bread,0.11555555555555556,0.01387777332977422,3,SCDC
dino_s_resnext50,butterfly,0.08888888888888889,0.006938886664887109,3,SCDC
dino_s_resnext50,calculator,0.2255555555555556,0.008388704928078607,3,SCDC
dino_s_resnext50,camera,0.34777777777777774,0.005091750772173158,3,SCDC
dino_s_resnext50,candle,0.4144444444444444,0.027954990278686934,3,SCDC
dino_s_resnext50,cookie,0.12555555555555556,0.019531550923607723,3,SCDC
dino_s_resnext50,doll,0.11444444444444446,0.01347150628109127,3,SCDC
dino_s_resnext50,doorknob,0.24111111111111114,0.0069388866648871115,3,SCDC
dino_s_resnext50,dresser,0.17777777777777778,0.027755546659548443,3,SCDC
dino_s_resnext50,dumbell,0.22777777777777777,0.001924500897298765,3,SCDC
dino_s_resnext50,earrings,0.13,0.01855921454276674,3,SCDC
dino_s_resnext50,fan,0.06333333333333334,0.026034165586355514,3,SCDC
dino_s_resnext50,goggle,0.18999999999999997,0.033829638550307406,3,SCDC
dino_s_resnext50,grill,0.2688888888888889,0.01347150628109127,3,SCDC
dino_s_resnext50,handbag,0.42,0.008819171036881995,3,SCDC
dino_s_resnext50,handgun,0.23111111111111113,0.0069388866648871115,3,SCDC
dino_s_resnext50,handheldgame,0.17666666666666667,0.018559214542766732,3,SCDC
dino_s_resnext50,headband,0.1988888888888889,0.021169509870286273,3,SCDC
dino_s_resnext50,helmet,0.1288888888888889,0.01071516751221439,3,SCDC
dino_s_resnext50,horse,0.21333333333333335,0.006666666666666668,3,SCDC
dino_s_resnext50,keyboard,0.10888888888888888,0.023412563895228305,3,SCDC
dino_s_resnext50,lantern,0.15444444444444444,0.03501322501464163,3,SCDC
dino_s_resnext50,lei,0.12222222222222223,0.001924500897298757,3,SCDC
dino_s_resnext50,lipstick,0.28111111111111114,0.005091750772173159,3,SCDC
dino_s_resnext50,lock,0.4033333333333333,0.024037008503093246,3,SCDC
dino_s_resnext50,meat,0.1811111111111111,0.006938886664887107,3,SCDC
dino_s_resnext50,microwave,0.1388888888888889,0.030792014356780046,3,SCDC
dino_s_resnext50,muffin,0.11,0.017320508075688773,3,SCDC
dino_s_resnext50,nailpolish,0.08666666666666667,0.010000000000000002,3,SCDC
dino_s_resnext50,ornament,0.1677777777777778,0.03150543750835072,3,SCDC
dino_s_resnext50,pen,0.17666666666666667,0.015275252316519465,3,SCDC
dino_s_resnext50,phone,0.18333333333333335,0.003333333333333341,3,SCDC
dino_s_resnext50,pillow,0.33555555555555555,0.010715167512214413,3,SCDC
dino_s_resnext50,pipe,0.24333333333333332,0.026457513110645897,3,SCDC
dino_s_resnext50,pitcher,0.1511111111111111,0.015396007178390023,3,SCDC
dino_s_resnext50,powerstrip,0.05777777777777778,0.01835856849095367,3,SCDC
dino_s_resnext50,pumpkin,0.2733333333333334,0.020816659994661344,3,SCDC
dino_s_resnext50,rabbit,0.19999999999999998,0.012018504251546639,3,SCDC
dino_s_resnext50,ring,0.23111111111111113,0.03564225540521209,3,SCDC
dino_s_resnext50,saddle,0.14555555555555555,0.022689530951846816,3,SCDC
dino_s_resnext50,saltandpeppershake,0.09777777777777778,0.020092379244472363,3,SCDC
dino_s_resnext50,seashell,0.22666666666666666,0.027284509239574838,3,SCDC
dino_s_resnext50,sippycup,0.08777777777777777,0.01170628194761416,3,SCDC
dino_s_resnext50,sodacan,0.18555555555555556,0.01071516751221439,3,SCDC
dino_s_resnext50,stapler,0.15222222222222223,0.01644294287438749,3,SCDC
dino_s_resnext50,stool,0.4677777777777778,0.013471506281091271,3,SCDC
dino_s_resnext50,suitcase,0.08111111111111112,0.011706281947614153,3,SCDC
dino_s_resnext50,telescope,0.2222222222222222,0.01575271875417536,3,SCDC
dino_s_resnext50,tennisracquet,0.25333333333333335,0.011547005383792526,3,SCDC
dino_s_resnext50,toothpaste,0.2888888888888889,0.020092379244472353,3,SCDC
dino_s_resnext50,train,0.17,0.012018504251546623,3,SCDC
dino_s_resnext50,tree,0.26999999999999996,0.012018504251546646,3,SCDC
dino_s_resnext50,tricycle,0.34888888888888886,0.025018511664883808,3,SCDC
dino_s_resnext50,trophy,0.1811111111111111,0.01644294287438749,3,SCDC
dino_s_resnext50,trumpet,0.32,0.025166114784235822,3,SCDC
dino_s_resnext50,vase,0.29777777777777775,0.006938886664887123,3,SCDC
dino_s_resnext50,wineglass,0.18555555555555556,0.015396007178390023,3,SCDC
