model,class,mean_accuracy,std,n_seeds,test_type
resnext,abacus,0.5499999999999999,0.024037008503093246,3,SCDC
resnext,apple,0.6166666666666666,0.008819171036882005,3,SCDC
resnext,axe,0.5577777777777777,0.03168128317640724,3,SCDC
resnext,babushkadolls,0.581111111111111,0.042470033008036416,3,SCDC
resnext,bagel,0.34333333333333327,0.014529663145135577,3,SCDC
resnext,ball,0.7477777777777778,0.011706281947614146,3,SCDC
resnext,basket,0.051111111111111114,0.013471506281091271,3,SCDC
resnext,bell,0.4955555555555556,0.04717971943458258,3,SCDC
resnext,bird,0.46555555555555556,0.028349668493717946,3,SCDC
resnext,bonzai,0.7777777777777778,0.02775554665954843,3,SCDC
resnext,bread,0.15777777777777777,0.029122983160180353,3,SCDC
resnext,butterfly,0.23555555555555555,0.03863408589047493,3,SCDC
resnext,calculator,0.5477777777777777,0.009622504486493794,3,SCDC
resnext,camera,0.8488888888888889,0.016442942874387516,3,SCDC
resnext,candle,0.7377777777777778,0.01575271875417537,3,SCDC
resnext,cookie,0.44333333333333336,0.02962731472438531,3,SCDC
resnext,doll,0.25666666666666665,0.003333333333333327,3,SCDC
resnext,doorknob,0.43555555555555553,0.01347150628109129,3,SCDC
resnext,dresser,0.2355555555555556,0.0069388866648871115,3,SCDC
resnext,dumbell,0.3333333333333333,0.03179797338056484,3,SCDC
resnext,earrings,0.23222222222222222,0.006938886664887107,3,SCDC
resnext,fan,0.12111111111111111,0.015752718754175363,3,SCDC
resnext,goggle,0.5833333333333334,0.029627314724385286,3,SCDC
resnext,grill,0.4255555555555555,0.023648662948658607,3,SCDC
resnext,handbag,0.7033333333333335,0.01732050807568879,3,SCDC
resnext,handgun,0.5877777777777777,0.010183501544346316,3,SCDC
resnext,handheldgame,0.4255555555555555,0.015030832509409663,3,SCDC
resnext,headband,0.43111111111111106,0.010183501544346323,3,SCDC
resnext,helmet,0.5155555555555555,0.01924500897298749,3,SCDC
resnext,horse,0.56,0.02905932629027118,3,SCDC
resnext,keyboard,0.4477777777777778,0.001924500897298765,3,SCDC
resnext,lantern,0.39222222222222225,0.015396007178389992,3,SCDC
resnext,lei,0.3333333333333333,0.023094010767585018,3,SCDC
resnext,lipstick,0.778888888888889,0.0333888426695927,3,SCDC
resnext,lock,0.7466666666666667,0.011547005383792525,3,SCDC
resnext,meat,0.5244444444444444,0.04032277180360898,3,SCDC
resnext,microwave,0.3744444444444444,0.03288588574877498,3,SCDC
resnext,muffin,0.37777777777777777,0.013471506281091271,3,SCDC
resnext,nailpolish,0.3011111111111111,0.024113927126900792,3,SCDC
resnext,ornament,0.3977777777777778,0.016442942874387502,3,SCDC
resnext,pen,0.24666666666666667,0.02333333333333332,3,SCDC
resnext,phone,0.37222222222222223,0.02775554665954844,3,SCDC
resnext,pillow,0.5133333333333333,0.02027587510099405,3,SCDC
resnext,pipe,0.6422222222222222,0.00962250448649373,3,SCDC
resnext,pitcher,0.33666666666666667,0.016666666666666663,3,SCDC
resnext,powerstrip,0.22999999999999998,0.003333333333333341,3,SCDC
resnext,pumpkin,0.6133333333333334,0.017320508075688724,3,SCDC
resnext,rabbit,0.5455555555555556,0.010183501544346316,3,SCDC
resnext,ring,0.7322222222222222,0.015030832509409658,3,SCDC
resnext,saddle,0.5244444444444444,0.026943012562182542,3,SCDC
resnext,saltandpeppershake,0.27555555555555555,0.013471506281091271,3,SCDC
resnext,seashell,0.23555555555555555,0.018358568490953672,3,SCDC
resnext,sippycup,0.12222222222222223,0.013877773329774216,3,SCDC
resnext,sodacan,0.61,0.03055050463303896,3,SCDC
resnext,stapler,0.45555555555555555,0.02009237924447238,3,SCDC
resnext,stool,0.9144444444444444,0.012619796324000607,3,SCDC
resnext,suitcase,0.21444444444444444,0.013471506281091257,3,SCDC
resnext,telescope,0.45999999999999996,0.01855921454276672,3,SCDC
resnext,tennisracquet,0.5022222222222222,0.01503083250940966,3,SCDC
resnext,toothpaste,0.24444444444444446,0.018358568490953676,3,SCDC
resnext,train,0.5366666666666666,0.0352766841475279,3,SCDC
resnext,tree,0.6588888888888889,0.010183501544346328,3,SCDC
resnext,tricycle,0.9199999999999999,0.005773502691896263,3,SCDC
resnext,trophy,0.3844444444444444,0.013471506281091271,3,SCDC
resnext,trumpet,0.5788888888888889,0.04167777629669124,3,SCDC
resnext,vase,0.6966666666666667,0.0033333333333332993,3,SCDC
resnext,wineglass,0.33666666666666667,0.023333333333333338,3,SCDC
