model,class,mean_accuracy,std,n_seeds,test_type
clip-res,abacus,0.4439055107161352,0.01498519730277466,3,SCDS
clip-res,apple,0.8228534264157518,0.010172323899721286,3,SCDS
clip-res,axe,0.5908281790211564,0.027713748729531577,3,SCDS
clip-res,babushkadolls,0.30712293882710967,0.02862009567459003,3,SCDS
clip-res,bagel,0.407901318207821,0.014563095978852768,3,SCDS
clip-res,ball,0.8726458598397112,0.009902352187364927,3,SCDS
clip-res,basket,0.02122053011773714,0.0047172807131228775,3,SCDS
clip-res,bell,0.5721139123805026,0.03492469190969361,3,SCDS
clip-res,bird,0.3166719499671445,0.04249553924764377,3,SCDS
clip-res,bonzai,0.6487694145758661,0.017556188284798383,3,SCDS
clip-res,bread,0.1623925803594704,0.01146138224833872,3,SCDS
clip-res,butterfly,0.6367926124739057,0.015133680975014437,3,SCDS
clip-res,calculator,0.6555376523770584,0.017611722881789096,3,SCDS
clip-res,camera,0.6102772143340095,0.011685948722362827,3,SCDS
clip-res,candle,0.8121046414716481,0.006584381747848052,3,SCDS
clip-res,cookie,0.5516918646508279,0.006281036182114235,3,SCDS
clip-res,doll,0.20695917740622508,0.024192620513415336,3,SCDS
clip-res,doorknob,0.5451854399492325,0.007943455117202887,3,SCDS
clip-res,dresser,0.45532775187898394,0.021026659288245406,3,SCDS
clip-res,dumbell,0.4312506472890642,0.023329133256015867,3,SCDS
clip-res,earrings,0.28842669276715355,0.005862418205155279,3,SCDS
clip-res,fan,0.18296228964973285,0.021329217541456048,3,SCDS
clip-res,goggle,0.683153755570233,0.026718637520170948,3,SCDS
clip-res,grill,0.5460483040437597,0.023370178249329764,3,SCDS
clip-res,handbag,0.7389848907002382,0.02592837036039309,3,SCDS
clip-res,handgun,0.26423778851315083,0.012459747770761314,3,SCDS
clip-res,handheldgame,0.5588270739545874,0.011783416977507918,3,SCDS
clip-res,headband,0.3567671956991108,0.02903587323601738,3,SCDS
clip-res,helmet,0.6543919807956932,0.00645774862680853,3,SCDS
clip-res,horse,0.33876587985440826,0.016740017140088964,3,SCDS
clip-res,keyboard,0.3478699194518802,0.0060413964796469845,3,SCDS
clip-res,lantern,0.2735329126906066,0.024157159788933187,3,SCDS
clip-res,lei,0.46882598744490694,0.024991255529595576,3,SCDS
clip-res,lipstick,0.7559936044739134,0.015532978138220773,3,SCDS
clip-res,lock,0.872393945276411,0.0009841153626034588,3,SCDS
clip-res,meat,0.3929015238293589,0.021439615748649714,3,SCDS
clip-res,microwave,0.22316850523284218,0.0227252850658983,3,SCDS
clip-res,muffin,0.36457659909407525,0.02207939982817469,3,SCDS
clip-res,nailpolish,0.44684718140406426,0.03200270329356996,3,SCDS
clip-res,ornament,0.5289997365413672,0.01855726758634018,3,SCDS
clip-res,pen,0.2986490051545877,0.026174234409515964,3,SCDS
clip-res,phone,0.47176886793262546,0.0209021016595454,3,SCDS
clip-res,pillow,0.8747059204080468,0.007341327145120116,3,SCDS
clip-res,pipe,0.7967462874233365,0.017795625064814545,3,SCDS
clip-res,pitcher,0.7494235416286384,0.032792497687841426,3,SCDS
clip-res,powerstrip,0.21993511666220222,0.020758037429056585,3,SCDS
clip-res,pumpkin,0.5864532141338451,0.026538832470401043,3,SCDS
clip-res,rabbit,0.38304496437062036,0.008711956980312574,3,SCDS
clip-res,ring,0.6471254232956359,0.012226123342799839,3,SCDS
clip-res,saddle,0.28558843652638183,0.011168431899219287,3,SCDS
clip-res,saltandpeppershake,0.23712269994281718,0.014136572045759329,3,SCDS
clip-res,seashell,0.4380689398059165,0.009484383118200261,3,SCDS
clip-res,sippycup,0.12435816349570061,0.005627614033235859,3,SCDS
clip-res,sodacan,0.4594638197473908,0.004627764292889454,3,SCDS
clip-res,stapler,0.45910257940333127,0.03316582344262618,3,SCDS
clip-res,stool,0.992721052096052,0.0010993801562009286,3,SCDS
clip-res,suitcase,0.2537226302051162,0.00914876085720969,3,SCDS
clip-res,telescope,0.5914865571450488,0.0074247031757656325,3,SCDS
clip-res,tennisracquet,0.5053250326254383,0.01622093230177114,3,SCDS
clip-res,toothpaste,0.42593684366502566,0.024640541754416507,3,SCDS
clip-res,train,0.5269279927980206,0.014697288452570904,3,SCDS
clip-res,tree,0.6979797979797979,0.0303534933359934,3,SCDS
clip-res,tricycle,0.9032876056855493,0.014254604614478037,3,SCDS
clip-res,trophy,0.5096897057413999,0.02086552041429244,3,SCDS
clip-res,trumpet,0.6973221215668826,0.02520605228848667,3,SCDS
clip-res,vase,0.7204158986091205,0.016698169975195597,3,SCDS
clip-res,wineglass,0.6003075324505239,0.012356155250986836,3,SCDS
