model,class,mean_accuracy,std,n_seeds,test_type
dino_resnet50,abacus,0.5162884853061617,0.0078004583429375895,3,SCDS
dino_resnet50,apple,0.7671081261411389,0.029514403509992973,3,SCDS
dino_resnet50,axe,0.9107535340078874,0.007618490284483048,3,SCDS
dino_resnet50,babushkadolls,0.5391717888662679,0.023344721184065543,3,SCDS
dino_resnet50,bagel,0.35742694729668173,0.012121573882155394,3,SCDS
dino_resnet50,ball,0.956814483900434,0.008826797367977061,3,SCDS
dino_resnet50,basket,0.01756374923665451,0.003914913012859405,3,SCDS
dino_resnet50,bell,0.5173781244753376,0.038733267690696724,3,SCDS
dino_resnet50,bird,0.5921192969247889,0.01986747537589106,3,SCDS
dino_resnet50,bonzai,0.6813620071684587,0.01617675139268349,3,SCDS
dino_resnet50,bread,0.14528159925741624,0.029286194502332344,3,SCDS
dino_resnet50,butterfly,0.6390939669461609,0.008048657964952672,3,SCDS
dino_resnet50,calculator,0.8395810330630534,0.008471924663635657,3,SCDS
dino_resnet50,camera,0.7001838078781959,0.013630690643312933,3,SCDS
dino_resnet50,candle,0.8939644679486026,0.014905933187823834,3,SCDS
dino_resnet50,cookie,0.26984591870948194,0.015869341188352853,3,SCDS
dino_resnet50,doll,0.2343149597154852,0.008955962442306478,3,SCDS
dino_resnet50,doorknob,0.5934104089732547,0.012678428524321614,3,SCDS
dino_resnet50,dresser,0.26281831731836486,0.02865057512290101,3,SCDS
dino_resnet50,dumbell,0.6390631361289079,0.008020223548511656,3,SCDS
dino_resnet50,earrings,0.3957361071607169,0.01851059890679948,3,SCDS
dino_resnet50,fan,0.149925502700467,0.02246490884894037,3,SCDS
dino_resnet50,goggle,0.750610540310111,0.025469361991024835,3,SCDS
dino_resnet50,grill,0.621381989711606,0.0364246631135367,3,SCDS
dino_resnet50,handbag,0.8363890370749719,0.016947086358706627,3,SCDS
dino_resnet50,handgun,0.5268853998926463,0.014569102622695557,3,SCDS
dino_resnet50,handheldgame,0.6955120273605796,0.024986500602634885,3,SCDS
dino_resnet50,headband,0.33474705961983814,0.011900238503924621,3,SCDS
dino_resnet50,helmet,0.5487763057600644,0.013712879739051687,3,SCDS
dino_resnet50,horse,0.5340557529095734,0.01280294175304594,3,SCDS
dino_resnet50,keyboard,0.4792059845757346,0.006355665734815572,3,SCDS
dino_resnet50,lantern,0.46795086545763614,0.006656383597353213,3,SCDS
dino_resnet50,lei,0.30466407968075226,0.008107820058412998,3,SCDS
dino_resnet50,lipstick,0.6218692010013417,0.019715085442954007,3,SCDS
dino_resnet50,lock,0.9025964296572316,0.009313782094839658,3,SCDS
dino_resnet50,meat,0.3564789489679034,0.018011844077090097,3,SCDS
dino_resnet50,microwave,0.2743581089768315,0.010061862754717732,3,SCDS
dino_resnet50,muffin,0.5545267234999284,0.03185634978404605,3,SCDS
dino_resnet50,nailpolish,0.548037185441427,0.01671712832128461,3,SCDS
dino_resnet50,ornament,0.3976490075544181,0.017599526079832152,3,SCDS
dino_resnet50,pen,0.1869587853027834,0.01819330795991539,3,SCDS
dino_resnet50,phone,0.5948379725528198,0.026909795714383938,3,SCDS
dino_resnet50,pillow,0.8035052482747643,0.0033612171310714195,3,SCDS
dino_resnet50,pipe,0.7429540688129396,0.0354748573655686,3,SCDS
dino_resnet50,pitcher,0.7698275988626219,0.012135400130982445,3,SCDS
dino_resnet50,powerstrip,0.28325042541277273,0.003059077610936831,3,SCDS
dino_resnet50,pumpkin,0.5873776224323141,0.029318588750057585,3,SCDS
dino_resnet50,rabbit,0.6212745980854337,0.015232727576064361,3,SCDS
dino_resnet50,ring,0.9337480033224713,0.01583626855492047,3,SCDS
dino_resnet50,saddle,0.7626247429466216,0.00975783742157686,3,SCDS
dino_resnet50,saltandpeppershake,0.246302299526613,0.020243797948380635,3,SCDS
dino_resnet50,seashell,0.3768759490066483,0.03503476808079654,3,SCDS
dino_resnet50,sippycup,0.2152750622803085,0.013270654889484352,3,SCDS
dino_resnet50,sodacan,0.46470268079808225,0.011424268314636542,3,SCDS
dino_resnet50,stapler,0.638464292599631,0.020504131260240904,3,SCDS
dino_resnet50,stool,1.0,0.0,3,SCDS
dino_resnet50,suitcase,0.3115496207801072,0.013435279420149068,3,SCDS
dino_resnet50,telescope,0.5467112335323593,0.0015128803698721302,3,SCDS
dino_resnet50,tennisracquet,0.5781413726757204,0.011682897001263641,3,SCDS
dino_resnet50,toothpaste,0.62104080050746,0.02679228866826629,3,SCDS
dino_resnet50,train,0.5525677465438473,0.03243499265145518,3,SCDS
dino_resnet50,tree,0.629224589355066,0.019913533767626244,3,SCDS
dino_resnet50,tricycle,0.9602722954394555,0.005608824575855275,3,SCDS
dino_resnet50,trophy,0.5328023838400026,0.018582528343992214,3,SCDS
dino_resnet50,trumpet,0.9481368682221444,0.0014471470696454357,3,SCDS
dino_resnet50,vase,0.8804868067976526,0.006253020023177983,3,SCDS
dino_resnet50,wineglass,0.5724336521822831,0.03252947540340625,3,SCDS
