model,class,mean_accuracy,std,n_seeds,test_type
siglip,abacus,0.4049014298426546,0.018571785738759193,3,SCDS
siglip,apple,0.33217962244430094,0.026285038843855392,3,SCDS
siglip,axe,0.269072329537645,0.010966201348630454,3,SCDS
siglip,babushkadolls,0.3323364329011911,0.025593046492595226,3,SCDS
siglip,bagel,0.3346226374056857,0.002366462787995975,3,SCDS
siglip,ball,0.751604315510173,0.005265805034287398,3,SCDS
siglip,basket,0.08121588236762438,0.019521250375965433,3,SCDS
siglip,bell,0.3631174512300423,0.00638604603364442,3,SCDS
siglip,bird,0.07263341159222166,0.01637288905208579,3,SCDS
siglip,bonzai,0.5097968936678613,0.031874125619961974,3,SCDS
siglip,bread,0.053109111069328606,0.015083923663630032,3,SCDS
siglip,butterfly,0.5133784361728935,0.019285858103117445,3,SCDS
siglip,calculator,0.5851978190519547,0.024191315176888942,3,SCDS
siglip,camera,0.5812340670623294,0.008336317009488349,3,SCDS
siglip,candle,0.4408905647593522,0.012412669910338538,3,SCDS
siglip,cookie,0.34773480249239636,0.014578668927823436,3,SCDS
siglip,doll,0.015408981203809438,0.002064995984622252,3,SCDS
siglip,doorknob,0.40381597499184324,0.028605715998394756,3,SCDS
siglip,dresser,0.10812799289633084,0.031408226870974984,3,SCDS
siglip,dumbell,0.618239177326848,0.013589276485423202,3,SCDS
siglip,earrings,0.09272874176691372,0.004794503190852422,3,SCDS
siglip,fan,0.10790286975717439,0.004933323490578697,3,SCDS
siglip,goggle,0.4345401049684479,0.015255363920383513,3,SCDS
siglip,grill,0.40214002921605285,0.012383155326130674,3,SCDS
siglip,handbag,0.6598196524395095,0.004235394061170535,3,SCDS
siglip,handgun,0.2679079441760601,0.007310403680659661,3,SCDS
siglip,handheldgame,0.3763569941147657,0.014901364757642113,3,SCDS
siglip,headband,0.3185659139237203,0.024182677680786552,3,SCDS
siglip,helmet,0.23988855520178023,0.0071884436197572794,3,SCDS
siglip,horse,0.2610527180099195,0.012134144812370433,3,SCDS
siglip,keyboard,0.2185646993226217,0.016094985547261915,3,SCDS
siglip,lantern,0.3310683201628554,0.022046168054205555,3,SCDS
siglip,lei,0.2248769785597223,0.005257217178502181,3,SCDS
siglip,lipstick,0.6637670313844856,0.042841235953765,3,SCDS
siglip,lock,0.8686768260022341,0.012828878930645818,3,SCDS
siglip,meat,0.21258145661680272,0.02398358249306511,3,SCDS
siglip,microwave,0.2393494947157294,0.01346182786417435,3,SCDS
siglip,muffin,0.3788760552011068,0.022009747268418013,3,SCDS
siglip,nailpolish,0.23526981916110587,0.030198753969262034,3,SCDS
siglip,ornament,0.27666278072780986,0.017950795333497156,3,SCDS
siglip,pen,0.3079538425042414,0.004131646574539755,3,SCDS
siglip,phone,0.34932760347808695,0.029365150048229895,3,SCDS
siglip,pillow,0.6441430878268992,0.018076381289158998,3,SCDS
siglip,pipe,0.48701130015617783,0.027457977742539847,3,SCDS
siglip,pitcher,0.515100616634098,0.006980548455860375,3,SCDS
siglip,powerstrip,0.10892844818395488,0.017157851594439253,3,SCDS
siglip,pumpkin,0.5008187143911528,0.011843701217073356,3,SCDS
siglip,rabbit,0.3255344926253779,0.02254564555561971,3,SCDS
siglip,ring,0.18100291781142844,0.011227252752979403,3,SCDS
siglip,saddle,0.20334755501227939,0.017358967291418045,3,SCDS
siglip,saltandpeppershake,0.21252756180247698,0.014031046737932663,3,SCDS
siglip,seashell,0.1988793850620391,0.024789527528476223,3,SCDS
siglip,sippycup,0.021888369067337574,0.0050456577480664025,3,SCDS
siglip,sodacan,0.3384686302751881,0.003592848260539651,3,SCDS
siglip,stapler,0.5890290439162619,0.012529818400011793,3,SCDS
siglip,stool,0.8886561355311354,0.02081441536810698,3,SCDS
siglip,suitcase,0.025311090540473643,0.009699753095723587,3,SCDS
siglip,telescope,0.3735743547314821,0.013869259237837845,3,SCDS
siglip,tennisracquet,0.4483050338200451,0.02697116170417686,3,SCDS
siglip,toothpaste,0.38364142915638055,0.01060284701557716,3,SCDS
siglip,train,0.19061448182417243,0.01950188702212929,3,SCDS
siglip,tree,0.46307901070300056,0.02187300813214311,3,SCDS
siglip,tricycle,0.7486347142669145,0.013297259117804806,3,SCDS
siglip,trophy,0.33069356858932014,0.010301243005840132,3,SCDS
siglip,trumpet,0.6880305105198511,0.02306579642350676,3,SCDS
siglip,vase,0.297893991926443,0.02145067480230833,3,SCDS
siglip,wineglass,0.3279017758778307,0.02818490964140893,3,SCDS
