model,class,mean_accuracy,std,n_seeds,test_type
dino_resnet50,abacus,0.9493333333333333,0.0011547005383792527,3,SCDT
dino_resnet50,apple,1.0,0.0,3,SCDT
dino_resnet50,axe,1.0,0.0,3,SCDT
dino_resnet50,babushkadolls,1.0,0.0,3,SCDT
dino_resnet50,bagel,0.54,0.010392304845413272,3,SCDT
dino_resnet50,ball,1.0,0.0,3,SCDT
dino_resnet50,basket,0.8066666666666666,0.007023769168568441,3,SCDT
dino_resnet50,bell,0.9746666666666667,0.0023094010767585054,3,SCDT
dino_resnet50,bird,1.0,0.0,3,SCDT
dino_resnet50,bonzai,1.0,0.0,3,SCDT
dino_resnet50,bread,0.7926666666666667,0.017925772879665017,3,SCDT
dino_resnet50,butterfly,0.17600000000000002,0.006928203230275499,3,SCDT
dino_resnet50,calculator,0.9506666666666667,0.011015141094572214,3,SCDT
dino_resnet50,camera,1.0,0.0,3,SCDT
dino_resnet50,candle,1.0,0.0,3,SCDT
dino_resnet50,cookie,0.6046666666666667,0.02484619353811232,3,SCDT
dino_resnet50,doll,0.7646666666666667,0.010066445913694341,3,SCDT
dino_resnet50,doorknob,1.0,0.0,3,SCDT
dino_resnet50,dresser,0.9700000000000001,0.0040000000000000036,3,SCDT
dino_resnet50,dumbell,1.0,0.0,3,SCDT
dino_resnet50,earrings,0.976,0.005291502622129186,3,SCDT
dino_resnet50,fan,0.5373333333333333,0.04300387579432035,3,SCDT
dino_resnet50,goggle,1.0,0.0,3,SCDT
dino_resnet50,grill,0.8079999999999999,0.00599999999999995,3,SCDT
dino_resnet50,handbag,1.0,0.0,3,SCDT
dino_resnet50,handgun,1.0,0.0,3,SCDT
dino_resnet50,handheldgame,0.7466666666666667,0.030746273486933907,3,SCDT
dino_resnet50,headband,0.636,0.021633307652783953,3,SCDT
dino_resnet50,helmet,1.0,0.0,3,SCDT
dino_resnet50,horse,0.948,0.01058300524425831,3,SCDT
dino_resnet50,keyboard,1.0,0.0,3,SCDT
dino_resnet50,lantern,1.0,0.0,3,SCDT
dino_resnet50,lei,0.9526666666666666,0.003055050463303896,3,SCDT
dino_resnet50,lipstick,1.0,0.0,3,SCDT
dino_resnet50,lock,1.0,0.0,3,SCDT
dino_resnet50,meat,0.6993333333333333,0.013613718571108041,3,SCDT
dino_resnet50,microwave,1.0,0.0,3,SCDT
dino_resnet50,muffin,0.8533333333333334,0.015011106998930284,3,SCDT
dino_resnet50,nailpolish,0.9733333333333333,0.004618802153517011,3,SCDT
dino_resnet50,ornament,1.0,0.0,3,SCDT
dino_resnet50,pen,0.9246666666666666,0.018475208614067977,3,SCDT
dino_resnet50,phone,0.9526666666666666,0.007571877794400371,3,SCDT
dino_resnet50,pillow,0.916,0.006000000000000005,3,SCDT
dino_resnet50,pipe,1.0,0.0,3,SCDT
dino_resnet50,pitcher,1.0,0.0,3,SCDT
dino_resnet50,powerstrip,0.956,0.003464101615137758,3,SCDT
dino_resnet50,pumpkin,1.0,0.0,3,SCDT
dino_resnet50,rabbit,1.0,0.0,3,SCDT
dino_resnet50,ring,1.0,0.0,3,SCDT
dino_resnet50,saddle,1.0,0.0,3,SCDT
dino_resnet50,saltandpeppershake,1.0,0.0,3,SCDT
dino_resnet50,seashell,1.0,0.0,3,SCDT
dino_resnet50,sippycup,0.9553333333333333,0.007023769168568499,3,SCDT
dino_resnet50,sodacan,1.0,0.0,3,SCDT
dino_resnet50,stapler,1.0,0.0,3,SCDT
dino_resnet50,stool,1.0,0.0,3,SCDT
dino_resnet50,suitcase,1.0,0.0,3,SCDT
dino_resnet50,telescope,1.0,0.0,3,SCDT
dino_resnet50,tennisracquet,1.0,0.0,3,SCDT
dino_resnet50,toothpaste,1.0,0.0,3,SCDT
dino_resnet50,train,1.0,0.0,3,SCDT
dino_resnet50,tree,1.0,0.0,3,SCDT
dino_resnet50,tricycle,1.0,0.0,3,SCDT
dino_resnet50,trophy,1.0,0.0,3,SCDT
dino_resnet50,trumpet,1.0,0.0,3,SCDT
dino_resnet50,vase,1.0,0.0,3,SCDT
dino_resnet50,wineglass,1.0,0.0,3,SCDT
