model,class,mean_accuracy,std,n_seeds,test_type
siglip,abacus,0.9400000000000001,0.005291502622129144,3,SCDT
siglip,apple,1.0,0.0,3,SCDT
siglip,axe,0.7733333333333334,0.024110855093366853,3,SCDT
siglip,babushkadolls,1.0,0.0,3,SCDT
siglip,bagel,0.488,0.011135528725660053,3,SCDT
siglip,ball,1.0,0.0,3,SCDT
siglip,basket,0.7433333333333333,0.009865765724632504,3,SCDT
siglip,bell,0.9726666666666667,0.0011547005383792527,3,SCDT
siglip,bird,0.9353333333333333,0.00986576572463244,3,SCDT
siglip,bonzai,0.7546666666666667,0.02500666577801476,3,SCDT
siglip,bread,0.486,0.012489995996796807,3,SCDT
siglip,butterfly,0.06733333333333334,0.005033222956847164,3,SCDT
siglip,calculator,0.9773333333333333,0.0070237691685684995,3,SCDT
siglip,camera,1.0,0.0,3,SCDT
siglip,candle,1.0,0.0,3,SCDT
siglip,cookie,0.754,0.013114877048604014,3,SCDT
siglip,doll,0.592,0.022538855339169307,3,SCDT
siglip,doorknob,0.9793333333333333,0.009018499505645797,3,SCDT
siglip,dresser,0.9739999999999999,0.005291502622129186,3,SCDT
siglip,dumbell,1.0,0.0,3,SCDT
siglip,earrings,0.9786666666666667,0.006429100507328643,3,SCDT
siglip,fan,0.8846666666666666,0.012055427546683426,3,SCDT
siglip,goggle,1.0,0.0,3,SCDT
siglip,grill,0.9046666666666666,0.0050332229568471705,3,SCDT
siglip,handbag,0.9780000000000001,0.0020000000000000018,3,SCDT
siglip,handgun,1.0,0.0,3,SCDT
siglip,handheldgame,0.6433333333333334,0.02386070689089773,3,SCDT
siglip,headband,0.8866666666666667,0.0023094010767585054,3,SCDT
siglip,helmet,0.9753333333333334,0.006429100507328643,3,SCDT
siglip,horse,0.9066666666666667,0.006110100926607792,3,SCDT
siglip,keyboard,0.9493333333333333,0.0023094010767585054,3,SCDT
siglip,lantern,0.84,0.008717797887081356,3,SCDT
siglip,lei,0.7586666666666666,0.029143323992525883,3,SCDT
siglip,lipstick,1.0,0.0,3,SCDT
siglip,lock,1.0,0.0,3,SCDT
siglip,meat,0.7633333333333333,0.02655811238272281,3,SCDT
siglip,microwave,0.964,0.010392304845413272,3,SCDT
siglip,muffin,0.7893333333333334,0.0160416125540213,3,SCDT
siglip,nailpolish,1.0,0.0,3,SCDT
siglip,ornament,1.0,0.0,3,SCDT
siglip,pen,1.0,0.0,3,SCDT
siglip,phone,0.93,0.01058300524425833,3,SCDT
siglip,pillow,0.9546666666666667,0.011015141094572214,3,SCDT
siglip,pipe,1.0,0.0,3,SCDT
siglip,pitcher,1.0,0.0,3,SCDT
siglip,powerstrip,0.8246666666666668,0.01962990915244723,3,SCDT
siglip,pumpkin,0.8306666666666667,0.019218047073866054,3,SCDT
siglip,rabbit,0.9419999999999998,0.01442220510185591,3,SCDT
siglip,ring,0.7293333333333333,0.005033222956847171,3,SCDT
siglip,saddle,0.8713333333333333,0.015011106998930284,3,SCDT
siglip,saltandpeppershake,0.9526666666666666,0.009018499505645797,3,SCDT
siglip,seashell,0.9313333333333333,0.007571877794400308,3,SCDT
siglip,sippycup,0.8220000000000001,0.012165525060596387,3,SCDT
siglip,sodacan,1.0,0.0,3,SCDT
siglip,stapler,1.0,0.0,3,SCDT
siglip,stool,1.0,0.0,3,SCDT
siglip,suitcase,0.9579999999999999,0.007211102550927985,3,SCDT
siglip,telescope,1.0,0.0,3,SCDT
siglip,tennisracquet,0.6853333333333333,0.007571877794400308,3,SCDT
siglip,toothpaste,1.0,0.0,3,SCDT
siglip,train,0.7393333333333333,0.014047538337136999,3,SCDT
siglip,tree,0.876,0.013114877048604014,3,SCDT
siglip,tricycle,1.0,0.0,3,SCDT
siglip,trophy,0.9773333333333333,0.0023094010767585054,3,SCDT
siglip,trumpet,0.9773333333333333,0.006110100926607792,3,SCDT
siglip,vase,1.0,0.0,3,SCDT
siglip,wineglass,1.0,0.0,3,SCDT
