model,class,seed,accuracy,n_trials,test_type
cvcl-resnext,abacus,0,0.19,500,SCDC_NoBlackWhite
cvcl-resnext,abacus,1,0.25333333333333335,500,SCDC_NoBlackWhite
cvcl-resnext,abacus,2,0.25,500,SCDC_NoBlackWhite
cvcl-resnext,apple,0,0.20333333333333334,500,SCDC_NoBlackWhite
cvcl-resnext,apple,1,0.22333333333333333,500,SCDC_NoBlackWhite
cvcl-resnext,apple,2,0.24333333333333335,500,SCDC_NoBlackWhite
cvcl-resnext,axe,0,0.17666666666666667,500,SCDC_NoBlackWhite
cvcl-resnext,axe,1,0.22666666666666666,500,SCDC_NoBlackWhite
cvcl-resnext,axe,2,0.23666666666666666,500,SCDC_NoBlackWhite
cvcl-resnext,babushkadolls,0,0.25,500,SCDC_NoBlackWhite
cvcl-resnext,babushkadolls,1,0.24333333333333335,500,SCDC_NoBlackWhite
cvcl-resnext,babushkadolls,2,0.31333333333333335,500,SCDC_NoBlackWhite
cvcl-resnext,bagel,0,0.09333333333333334,500,SCDC_NoBlackWhite
cvcl-resnext,bagel,1,0.14,500,SCDC_NoBlackWhite
cvcl-resnext,bagel,2,0.15666666666666668,500,SCDC_NoBlackWhite
cvcl-resnext,ball,0,0.09333333333333334,500,SCDC_NoBlackWhite
cvcl-resnext,ball,1,0.08666666666666667,500,SCDC_NoBlackWhite
cvcl-resnext,ball,2,0.11333333333333333,500,SCDC_NoBlackWhite
cvcl-resnext,basket,0,0.04666666666666667,500,SCDC_NoBlackWhite
cvcl-resnext,basket,1,0.05,500,SCDC_NoBlackWhite
cvcl-resnext,basket,2,0.05,500,SCDC_NoBlackWhite
cvcl-resnext,bell,0,0.15,500,SCDC_NoBlackWhite
cvcl-resnext,bell,1,0.16666666666666666,500,SCDC_NoBlackWhite
cvcl-resnext,bell,2,0.20333333333333334,500,SCDC_NoBlackWhite
cvcl-resnext,bird,0,0.3233333333333333,500,SCDC_NoBlackWhite
cvcl-resnext,bird,1,0.32,500,SCDC_NoBlackWhite
cvcl-resnext,bird,2,0.33666666666666667,500,SCDC_NoBlackWhite
cvcl-resnext,bonzai,0,0.17666666666666667,500,SCDC_NoBlackWhite
cvcl-resnext,bonzai,1,0.19,500,SCDC_NoBlackWhite
cvcl-resnext,bonzai,2,0.20333333333333334,500,SCDC_NoBlackWhite
cvcl-resnext,bread,0,0.09333333333333334,500,SCDC_NoBlackWhite
cvcl-resnext,bread,1,0.09,500,SCDC_NoBlackWhite
cvcl-resnext,bread,2,0.10666666666666667,500,SCDC_NoBlackWhite
cvcl-resnext,butterfly,0,0.07666666666666666,500,SCDC_NoBlackWhite
cvcl-resnext,butterfly,1,0.09333333333333334,500,SCDC_NoBlackWhite
cvcl-resnext,butterfly,2,0.07666666666666666,500,SCDC_NoBlackWhite
cvcl-resnext,calculator,0,0.21666666666666667,500,SCDC_NoBlackWhite
cvcl-resnext,calculator,1,0.24666666666666667,500,SCDC_NoBlackWhite
cvcl-resnext,calculator,2,0.2633333333333333,500,SCDC_NoBlackWhite
cvcl-resnext,camera,0,0.29333333333333333,500,SCDC_NoBlackWhite
cvcl-resnext,camera,1,0.31666666666666665,500,SCDC_NoBlackWhite
cvcl-resnext,camera,2,0.3333333333333333,500,SCDC_NoBlackWhite
cvcl-resnext,candle,0,0.38666666666666666,500,SCDC_NoBlackWhite
cvcl-resnext,candle,1,0.38,500,SCDC_NoBlackWhite
cvcl-resnext,candle,2,0.39666666666666667,500,SCDC_NoBlackWhite
cvcl-resnext,cookie,0,0.11333333333333333,500,SCDC_NoBlackWhite
cvcl-resnext,cookie,1,0.12333333333333334,500,SCDC_NoBlackWhite
cvcl-resnext,cookie,2,0.1,500,SCDC_NoBlackWhite
cvcl-resnext,doll,0,0.1,500,SCDC_NoBlackWhite
cvcl-resnext,doll,1,0.08333333333333333,500,SCDC_NoBlackWhite
cvcl-resnext,doll,2,0.07,500,SCDC_NoBlackWhite
cvcl-resnext,doorknob,0,0.22333333333333333,500,SCDC_NoBlackWhite
cvcl-resnext,doorknob,1,0.25333333333333335,500,SCDC_NoBlackWhite
cvcl-resnext,doorknob,2,0.22666666666666666,500,SCDC_NoBlackWhite
cvcl-resnext,dresser,0,0.11,500,SCDC_NoBlackWhite
cvcl-resnext,dresser,1,0.16666666666666666,500,SCDC_NoBlackWhite
cvcl-resnext,dresser,2,0.13333333333333333,500,SCDC_NoBlackWhite
cvcl-resnext,dumbell,0,0.14666666666666667,500,SCDC_NoBlackWhite
cvcl-resnext,dumbell,1,0.2,500,SCDC_NoBlackWhite
cvcl-resnext,dumbell,2,0.18666666666666668,500,SCDC_NoBlackWhite
cvcl-resnext,earrings,0,0.07666666666666666,500,SCDC_NoBlackWhite
cvcl-resnext,earrings,1,0.12,500,SCDC_NoBlackWhite
cvcl-resnext,earrings,2,0.12,500,SCDC_NoBlackWhite
cvcl-resnext,fan,0,0.03666666666666667,500,SCDC_NoBlackWhite
cvcl-resnext,fan,1,0.056666666666666664,500,SCDC_NoBlackWhite
