model,class,mean_accuracy,std,se,ci95,n_seeds,total_trials,test_type
cvcl-resnext,abacus,0.23111111111111113,0.03564225540521209,0.020578065752724594,0.04033300887534021,3,1500,SCDC_NoBlackWhite
cvcl-resnext,apple,0.2233333333333333,0.020000000000000004,0.011547005383792518,0.022632130552233336,3,1500,SCDC_NoBlackWhite
cvcl-resnext,axe,0.21333333333333335,0.03214550253664318,0.01855921454276674,0.036376060503822805,3,1500,SCDC_NoBlackWhite
cvcl-resnext,babushkadolls,0.2688888888888889,0.038634085890474915,0.022305399888760815,0.0437185837819712,3,1500,SCDC_NoBlackWhite
cvcl-resnext,bagel,0.13,0.03282952600598702,0.018954135676924427,0.03715010592677187,3,1500,SCDC_NoBlackWhite
cvcl-resnext,ball,0.09777777777777778,0.013877773329774213,0.008012336167697752,0.01570417888868759,3,1500,SCDC_NoBlackWhite
cvcl-resnext,basket,0.04888888888888889,0.0019245008972987529,0.0011111111111111113,0.002177777777777778,3,1500,SCDC_NoBlackWhite
cvcl-resnext,bell,0.17333333333333334,0.027284509239574838,0.015752718754175363,0.030875328758183714,3,1500,SCDC_NoBlackWhite
cvcl-resnext,bird,0.32666666666666666,0.008819171036881972,0.005091750772173158,0.00997983151345939,3,1500,SCDC_NoBlackWhite
cvcl-resnext,bonzai,0.19000000000000003,0.013333333333333336,0.007698003589195012,0.015088087034822223,3,1500,SCDC_NoBlackWhite
cvcl-resnext,bread,0.09666666666666668,0.008819171036881972,0.005091750772173158,0.00997983151345939,3,1500,SCDC_NoBlackWhite
cvcl-resnext,butterfly,0.08222222222222221,0.00962250448649377,0.00555555555555556,0.010888888888888898,3,1500,SCDC_NoBlackWhite
cvcl-resnext,calculator,0.24222222222222223,0.02364866294865861,0.013653561919382778,0.026760981361990243,3,1500,SCDC_NoBlackWhite
cvcl-resnext,camera,0.31444444444444447,0.020092379244472353,0.011600340565456163,0.02273666750829408,3,1500,SCDC_NoBlackWhite
cvcl-resnext,candle,0.3877777777777778,0.008388704928078609,0.004843221048378525,0.00949271325482191,3,1500,SCDC_NoBlackWhite
cvcl-resnext,cookie,0.11222222222222222,0.011706281947614153,0.006758625033664688,0.013246905065982788,3,1500,SCDC_NoBlackWhite
cvcl-resnext,doll,0.08444444444444445,0.015030832509409647,0.00867805519545184,0.0170089881830856,3,1500,SCDC_NoBlackWhite
cvcl-resnext,doorknob,0.23444444444444446,0.01644294287438751,0.009493337494797268,0.018606941489802645,3,1500,SCDC_NoBlackWhite
