model,class,seed,accuracy,n_trials,test_type
cvcl-resnext,abacus,0,0.30333333333333334,500,SCDC
cvcl-resnext,abacus,1,0.29,500,SCDC
cvcl-resnext,abacus,2,0.2633333333333333,500,SCDC
cvcl-resnext,apple,0,0.31,500,SCDC
cvcl-resnext,apple,1,0.28,500,SCDC
cvcl-resnext,apple,2,0.30333333333333334,500,SCDC
cvcl-resnext,axe,0,0.28,500,SCDC
cvcl-resnext,axe,1,0.28,500,SCDC
cvcl-resnext,axe,2,0.2733333333333333,500,SCDC
cvcl-resnext,babushkadolls,0,0.37,500,SCDC
cvcl-resnext,babushkadolls,1,0.38,500,SCDC
cvcl-resnext,babushkadolls,2,0.31,500,SCDC
cvcl-resnext,bagel,0,0.21666666666666667,500,SCDC
cvcl-resnext,bagel,1,0.23,500,SCDC
cvcl-resnext,bagel,2,0.2633333333333333,500,SCDC
cvcl-resnext,ball,0,0.15,500,SCDC
cvcl-resnext,ball,1,0.17666666666666667,500,SCDC
cvcl-resnext,ball,2,0.16333333333333333,500,SCDC
cvcl-resnext,basket,0,0.07333333333333333,500,SCDC
cvcl-resnext,basket,1,0.08333333333333333,500,SCDC
cvcl-resnext,basket,2,0.06666666666666667,500,SCDC
cvcl-resnext,bell,0,0.25666666666666665,500,SCDC
cvcl-resnext,bell,1,0.24666666666666667,500,SCDC
cvcl-resnext,bell,2,0.2,500,SCDC
cvcl-resnext,bird,0,0.39666666666666667,500,SCDC
cvcl-resnext,bird,1,0.4,500,SCDC
cvcl-resnext,bird,2,0.3933333333333333,500,SCDC
cvcl-resnext,bonzai,0,0.27666666666666667,500,SCDC
cvcl-resnext,bonzai,1,0.2633333333333333,500,SCDC
cvcl-resnext,bonzai,2,0.26,500,SCDC
cvcl-resnext,bread,0,0.10333333333333333,500,SCDC
cvcl-resnext,bread,1,0.12333333333333334,500,SCDC
cvcl-resnext,bread,2,0.15666666666666668,500,SCDC
cvcl-resnext,butterfly,0,0.16666666666666666,500,SCDC
cvcl-resnext,butterfly,1,0.18333333333333332,500,SCDC
cvcl-resnext,butterfly,2,0.17333333333333334,500,SCDC
cvcl-resnext,calculator,0,0.31,500,SCDC
cvcl-resnext,calculator,1,0.3,500,SCDC
cvcl-resnext,calculator,2,0.2866666666666667,500,SCDC
cvcl-resnext,camera,0,0.36666666666666664,500,SCDC
cvcl-resnext,camera,1,0.38333333333333336,500,SCDC
