model,class,mean_accuracy,std,se,ci95,n_seeds,total_trials,test_type
cvcl-resnext,abacus,0.2855555555555555,0.020367003088692638,0.011758894715842634,0.023047433643051566,3,1500,SCDC
cvcl-resnext,apple,0.2977777777777778,0.01575271875417535,0.009094836413191604,0.017825879369855545,3,1500,SCDC
cvcl-resnext,axe,0.2777777777777778,0.00384900179459753,0.0022222222222222365,0.004355555555555584,3,1500,SCDC
cvcl-resnext,babushkadolls,0.35333333333333333,0.03785938897200183,0.021858128414340004,0.04284193169210641,3,1500,SCDC
cvcl-resnext,bagel,0.23666666666666666,0.024037008503093243,0.013877773329774207,0.02720043572635745,3,1500,SCDC
cvcl-resnext,ball,0.16333333333333333,0.013333333333333336,0.007698003589195012,0.015088087034822223,3,1500,SCDC
cvcl-resnext,basket,0.07444444444444444,0.008388704928078609,0.004843221048378525,0.00949271325482191,3,1500,SCDC
cvcl-resnext,bell,0.23444444444444446,0.03024590575292488,0.01746248182833523,0.034226464383537054,3,1500,SCDC
cvcl-resnext,bird,0.39666666666666667,0.003333333333333355,0.001924500897298765,0.0037720217587055797,3,1500,SCDC
cvcl-resnext,bonzai,0.26666666666666666,0.008819171036881974,0.005091750772173159,0.009979831513459391,3,1500,SCDC
cvcl-resnext,bread,0.1277777777777778,0.026943012562182542,0.01555555555555556,0.030488888888888895,3,1500,SCDC
cvcl-resnext,butterfly,0.17444444444444443,0.008388704928078607,0.004843221048378524,0.009492713254821906,3,1500,SCDC
cvcl-resnext,calculator,0.2988888888888889,0.011706281947614146,0.006758625033664684,0.01324690506598278,3,1500,SCDC
cvcl-resnext,camera,0.3788888888888889,0.010715167512214413,0.006186404847588924,0.01212535350127429,3,1500,SCDC
cvcl-resnext,candle,0.4077777777777778,0.030792014356780046,0.01777777777777778,0.03484444444444445,3,1500,SCDC
cvcl-resnext,cookie,0.1988888888888889,0.03716828596372828,0.02145911990647551,0.042059875016692005,3,1500,SCDC
cvcl-resnext,doll,0.17777777777777778,0.025458753860865786,0.014698618394803286,0.02880929205381444,3,1500,SCDC
cvcl-resnext,doorknob,0.2833333333333334,0.01527525231651945,0.00881917103688196,0.01728557523228864,3,1500,SCDC
cvcl-resnext,dresser,0.2588888888888889,0.04550132273209616,0.02627020092785976,0.05148959381860512,3,1500,SCDC
cvcl-resnext,dumbell,0.23222222222222222,0.010183501544346319,0.005879447357921317,0.011523716821525783,3,1500,SCDC
cvcl-resnext,earrings,0.1277777777777778,0.013471506281091278,0.0077777777777777845,0.015244444444444456,3,1500,SCDC
cvcl-resnext,fan,0.08888888888888889,0.01710533813148961,0.009875771574795097,0.01935651228659839,3,1500,SCDC
cvcl-resnext,goggle,0.2488888888888889,0.013877773329774223,0.008012336167697757,0.015704178888687602,3,1500,SCDC
cvcl-resnext,grill,0.31555555555555553,0.022194427061597993,0.012813958438523117,0.025115358539505306,3,1500,SCDC
cvcl-resnext,handbag,0.4633333333333334,0.02403700850309327,0.013877773329774225,0.02720043572635748,3,1500,SCDC
cvcl-resnext,handgun,0.26777777777777784,0.027954990278686934,0.016139821162593274,0.03163404947868281,3,1500,SCDC
cvcl-resnext,handheldgame,0.24333333333333332,0.010000000000000009,0.005773502691896263,0.011316065276116675,3,1500,SCDC
cvcl-resnext,headband,0.22111111111111112,0.01071516751221439,0.006186404847588911,0.012125353501274265,3,1500,SCDC
cvcl-resnext,helmet,0.21999999999999997,0.018559214542766732,0.01071516751221439,0.021001728323940202,3,1500,SCDC
cvcl-resnext,horse,0.25333333333333335,0.03844187531556932,0.02219442706159798,0.043501077040732035,3,1500,SCDC
cvcl-resnext,keyboard,0.17555555555555555,0.05419443732558755,0.03128917297850827,0.061326779037876214,3,1500,SCDC
cvcl-resnext,lantern,0.20666666666666667,0.04163331998932267,0.02403700850309327,0.047112536666062806,3,1500,SCDC
cvcl-resnext,lei,0.1366666666666667,0.01201850425154663,0.006938886664887109,0.013600217863178735,3,1500,SCDC
cvcl-resnext,lipstick,0.28,0.02027587510099407,0.011706281947614158,0.02294431261732375,3,1500,SCDC
cvcl-resnext,lock,0.43333333333333335,0.006666666666666654,0.003849001794597498,0.007544043517411096,3,1500,SCDC
cvcl-resnext,meat,0.1611111111111111,0.013471506281091275,0.007777777777777782,0.015244444444444451,3,1500,SCDC
cvcl-resnext,microwave,0.15,0.02185812841434,0.012619796324000608,0.02473480079504119,3,1500,SCDC
cvcl-resnext,muffin,0.10555555555555556,0.03288588574877499,0.01898667498959452,0.03721388297960526,3,1500,SCDC
cvcl-resnext,nailpolish,0.15222222222222223,0.025018511664883777,0.014444444444444442,0.028311111111111106,3,1500,SCDC
cvcl-resnext,ornament,0.2111111111111111,0.011706281947614146,0.006758625033664684,0.01324690506598278,3,1500,SCDC
cvcl-resnext,pen,0.17777777777777778,0.01071516751221439,0.006186404847588911,0.012125353501274265,3,1500,SCDC
cvcl-resnext,phone,0.436,0.024979991993593614,0.01442220510185597,0.0282675219996377,3,1500,SCDC
