model,class,seed,accuracy,n_trials,test_type
cvcl-resnext,abacus,0,0.6792035398230089,500,SCDS_NoBlackWhite
cvcl-resnext,abacus,1,0.6707616707616708,500,SCDS_NoBlackWhite
cvcl-resnext,abacus,2,0.6952789699570815,500,SCDS_NoBlackWhite
cvcl-resnext,apple,0,0.9370786516853933,500,SCDS_NoBlackWhite
cvcl-resnext,apple,1,0.9201773835920177,500,SCDS_NoBlackWhite
cvcl-resnext,apple,2,0.9550561797752809,500,SCDS_NoBlackWhite
cvcl-resnext,axe,0,0.8154506437768241,500,SCDS_NoBlackWhite
cvcl-resnext,axe,1,0.8198614318706697,500,SCDS_NoBlackWhite
cvcl-resnext,axe,2,0.8466386554621849,500,SCDS_NoBlackWhite
cvcl-resnext,babushkadolls,0,0.9557522123893806,500,SCDS_NoBlackWhite
cvcl-resnext,babushkadolls,1,0.8896551724137931,500,SCDS_NoBlackWhite
cvcl-resnext,babushkadolls,2,0.9448275862068966,500,SCDS_NoBlackWhite
cvcl-resnext,bagel,0,0.46,500,SCDS_NoBlackWhite
cvcl-resnext,bagel,1,0.49336283185840707,500,SCDS_NoBlackWhite
cvcl-resnext,bagel,2,0.4799107142857143,500,SCDS_NoBlackWhite
cvcl-resnext,ball,0,0.9328859060402684,500,SCDS_NoBlackWhite
cvcl-resnext,ball,1,0.9356223175965666,500,SCDS_NoBlackWhite
cvcl-resnext,ball,2,0.9211711711711712,500,SCDS_NoBlackWhite
cvcl-resnext,basket,0,0.1391304347826087,500,SCDS_NoBlackWhite
cvcl-resnext,basket,1,0.14678899082568808,500,SCDS_NoBlackWhite
cvcl-resnext,basket,2,0.13318284424379231,500,SCDS_NoBlackWhite
cvcl-resnext,bell,0,0.6414253897550112,500,SCDS_NoBlackWhite
cvcl-resnext,bell,1,0.6394557823129252,500,SCDS_NoBlackWhite
cvcl-resnext,bell,2,0.6013215859030837,500,SCDS_NoBlackWhite
cvcl-resnext,bird,0,0.5668789808917197,500,SCDS_NoBlackWhite
cvcl-resnext,bird,1,0.5969230769230769,500,SCDS_NoBlackWhite
cvcl-resnext,bird,2,0.6023738872403561,500,SCDS_NoBlackWhite
cvcl-resnext,bonzai,0,0.815068493150685,500,SCDS_NoBlackWhite
cvcl-resnext,bonzai,1,0.77728285077951,500,SCDS_NoBlackWhite
cvcl-resnext,bonzai,2,0.8129032258064516,500,SCDS_NoBlackWhite
cvcl-resnext,bread,0,0.3506787330316742,500,SCDS_NoBlackWhite
cvcl-resnext,bread,1,0.31759656652360513,500,SCDS_NoBlackWhite
cvcl-resnext,bread,2,0.3140877598152425,500,SCDS_NoBlackWhite
cvcl-resnext,butterfly,0,0.5789473684210527,500,SCDS_NoBlackWhite
cvcl-resnext,butterfly,1,0.5520833333333334,500,SCDS_NoBlackWhite
cvcl-resnext,butterfly,2,0.5995475113122172,500,SCDS_NoBlackWhite
cvcl-resnext,calculator,0,0.9034334763948498,500,SCDS_NoBlackWhite
cvcl-resnext,calculator,1,0.8354700854700855,500,SCDS_NoBlackWhite
cvcl-resnext,calculator,2,0.8380281690140845,500,SCDS_NoBlackWhite
cvcl-resnext,camera,0,0.8968609865470852,500,SCDS_NoBlackWhite
cvcl-resnext,camera,1,0.8410596026490066,500,SCDS_NoBlackWhite
cvcl-resnext,camera,2,0.8211009174311926,500,SCDS_NoBlackWhite
cvcl-resnext,candle,0,0.8997668997668997,500,SCDS_NoBlackWhite
cvcl-resnext,candle,1,0.8368200836820083,500,SCDS_NoBlackWhite
cvcl-resnext,candle,2,0.8596112311015118,500,SCDS_NoBlackWhite
cvcl-resnext,cookie,0,0.47902869757174393,500,SCDS_NoBlackWhite
cvcl-resnext,cookie,1,0.44144144144144143,500,SCDS_NoBlackWhite
cvcl-resnext,cookie,2,0.39400921658986177,500,SCDS_NoBlackWhite
cvcl-resnext,doll,0,0.35368421052631577,500,SCDS_NoBlackWhite
cvcl-resnext,doll,1,0.4032258064516129,500,SCDS_NoBlackWhite
