model,class,mean_accuracy,std,se,ci95,n_seeds,total_trials,test_type
cvcl-resnext,abacus,0.681748060180587,0.012455136604907982,0.007190976471637185,0.014094313884408884,3,1500,SCDS_NoBlackWhite
cvcl-resnext,apple,0.937437405017564,0.01744216539777705,0.010070238887656556,0.01973766821980685,3,1500,SCDS_NoBlackWhite
cvcl-resnext,axe,0.827316910369893,0.016877829776391108,0.009744419564736088,0.019099062346882734,3,1500,SCDS_NoBlackWhite
cvcl-resnext,babushkadolls,0.9300783236700233,0.03543106310033343,0.020456133818652123,0.04009402228455816,3,1500,SCDS_NoBlackWhite
cvcl-resnext,bagel,0.4777578487147071,0.01678528403180018,0.009690988254184163,0.01899433697820096,3,1500,SCDS_NoBlackWhite
cvcl-resnext,ball,0.9298931316026687,0.007676355409816362,0.004431945862252717,0.008686613890015325,3,1500,SCDS_NoBlackWhite
cvcl-resnext,basket,0.13970075661736303,0.006820979141472772,0.0039380941434661275,0.007718664521193611,3,1500,SCDS_NoBlackWhite
cvcl-resnext,bell,0.6274009193236734,0.022606825564764583,0.013052056825339746,0.0255820313776659,3,1500,SCDS_NoBlackWhite
cvcl-resnext,bird,0.5887253150183842,0.019114773589010658,0.011035919677114052,0.021630402567143544,3,1500,SCDS_NoBlackWhite
cvcl-resnext,bonzai,0.8017515232455489,0.021218130098001498,0.012250293123781666,0.024010574522612065,3,1500,SCDS_NoBlackWhite
cvcl-resnext,bread,0.3274543531235073,0.02018927432371735,0.011656282965541413,0.02284631461246117,3,1500,SCDS_NoBlackWhite
cvcl-resnext,butterfly,0.5768594043555345,0.023800876943023783,0.013741442710003939,0.02693322771160772,3,1500,SCDS_NoBlackWhite
cvcl-resnext,calculator,0.8589772436263399,0.038521467025938526,0.022240379357004902,0.04359114353972961,3,1500,SCDS_NoBlackWhite
cvcl-resnext,camera,0.8530071688757616,0.039267738312363076,0.022671239285110605,0.044435628998816784,3,1500,SCDS_NoBlackWhite
cvcl-resnext,candle,0.86539940485014,0.0318700899012619,0.018400204983591135,0.03606440176783862,3,1500,SCDS_NoBlackWhite
cvcl-resnext,cookie,0.4381597852010157,0.04260463574973268,0.024597797918834118,0.04821168392091487,3,1500,SCDS_NoBlackWhite
cvcl-resnext,doll,0.36507992714396337,0.03391564291978749,0.019581205569478535,0.03837916291617793,3,1500,SCDS_NoBlackWhite
cvcl-resnext,doorknob,0.7059403188668892,0.008656895673243676,0.004998061047293743,0.009796199652695736,3,1500,SCDS_NoBlackWhite
cvcl-resnext,dresser,0.6343425533516797,0.031085056784036617,0.017946965902038346,0.03517605316799515,3,1500,SCDS_NoBlackWhite
cvcl-resnext,dumbell,0.6455019775979832,0.04114287803250786,0.023753851707304353,0.046557549346316535,3,1500,SCDS_NoBlackWhite
cvcl-resnext,earrings,0.43133468326583674,0.023181806268166936,0.013384022089227935,0.026232683294886754,3,1500,SCDS_NoBlackWhite
cvcl-resnext,fan,0.31587551634873545,0.012225251126103887,0.007058252028566856,0.013834173975991034,3,1500,SCDS_NoBlackWhite
cvcl-resnext,goggle,0.7549600139740541,0.006706929572987844,0.003872247594400394,0.007589605285024772,3,1500,SCDS_NoBlackWhite
cvcl-resnext,grill,0.6512775238208341,0.03652750820540373,0.021089166695216106,0.04133476672262357,3,1500,SCDS_NoBlackWhite
cvcl-resnext,handbag,0.8291385460104198,0.045807393737956094,0.02644691110548413,0.05183594576674889,3,1500,SCDS_NoBlackWhite
cvcl-resnext,handgun,0.46612725391413495,0.018757846203032724,0.010829847554738543,0.021226501207287543,3,1500,SCDS_NoBlackWhite
cvcl-resnext,handheldgame,0.5380908387138682,0.025532024857545375,0.014740921424460039,0.02889220599194168,3,1500,SCDS_NoBlackWhite
cvcl-resnext,headband,0.46606334841628955,0.06466790012649977,0.037336029545962476,0.07317861791008645,3,1500,SCDS_NoBlackWhite
cvcl-resnext,helmet,0.7684862043251305,0.044699001749367716,0.025806980692505005,0.05058168215730981,3,1500,SCDS_NoBlackWhite
cvcl-resnext,horse,0.6428379175385754,0.023264034594348646,0.013431496635483958,0.026325733405548557,3,1500,SCDS_NoBlackWhite
cvcl-resnext,keyboard,0.7540533234651918,0.02565620663890956,0.0148126178093591,0.029032730906343836,3,1500,SCDS_NoBlackWhite
cvcl-resnext,lantern,0.4458671217278633,0.019523273406591716,0.01127176715675839,0.022092663627246444,3,1500,SCDS_NoBlackWhite
cvcl-resnext,lei,0.4844461195163828,0.020749413610038746,0.011979679533282755,0.023480171885234203,3,1500,SCDS_NoBlackWhite
cvcl-resnext,lipstick,0.6525374156110816,0.004206214788613047,0.0024284592404751277,0.00475978011133125,3,1500,SCDS_NoBlackWhite
cvcl-resnext,lock,0.8622005435670786,0.032172672981284414,0.018574901406294357,0.036406806756336944,3,1500,SCDS_NoBlackWhite
cvcl-resnext,meat,0.466483445932839,0.014498655422060054,0.008370802610814,0.01640677311719544,3,1500,SCDS_NoBlackWhite
cvcl-resnext,microwave,0.5174080173500127,0.03195592029446455,0.018449759184211333,0.03616152800105422,3,1500,SCDS_NoBlackWhite
cvcl-resnext,muffin,0.5319674536481259,0.04445946928430329,0.025668686559320406,0.050310625656267996,3,1500,SCDS_NoBlackWhite
cvcl-resnext,nailpolish,0.5313791816009559,0.06459033479162801,0.037291247178994485,0.07309084447082918,3,1500,SCDS_NoBlackWhite
cvcl-resnext,ornament,0.4692974337750066,0.005992725324007261,0.0034599015789950798,0.006781407094830356,3,1500,SCDS_NoBlackWhite
cvcl-resnext,pen,0.2833471609907391,0.028477556036723382,0.016441524643664898,0.0322253883015832,3,1500,SCDS_NoBlackWhite
cvcl-resnext,phone,0.9513477823903492,0.03017263253135837,0.017420177514139414,0.03414354792771325,3,1500,SCDS_NoBlackWhite
cvcl-resnext,pillow,0.6596858841086596,0.005666836549957814,0.003271749607571754,0.006412629230840639,3,1500,SCDS_NoBlackWhite
cvcl-resnext,pipe,0.7936422918061229,0.06498414685277738,0.0375186146785092,0.07353648476987802,3,1500,SCDS_NoBlackWhite
cvcl-resnext,pitcher,0.6812368633071039,0.047999327522820434,0.027712424666221393,0.054316352345793927,3,1500,SCDS_NoBlackWhite
cvcl-resnext,powerstrip,0.3232170524073732,0.020795264152123526,0.012006151356097894,0.02353205665795187,3,1500,SCDS_NoBlackWhite
cvcl-resnext,pumpkin,0.9061447811447811,0.04248757698281897,0.024530214008245482,0.04807921945616115,3,1500,SCDS_NoBlackWhite
cvcl-resnext,rabbit,0.6647844020312971,0.033201539858672253,0.019168917974914514,0.03757107923083245,3,1500,SCDS_NoBlackWhite
cvcl-resnext,ring,0.761283832111975,0.0421376722602348,0.02432819642247079,0.04768326498804275,3,1500,SCDS_NoBlackWhite
cvcl-resnext,rug,0.6103169949503319,0.04441419252063205,0.02564254600762678,0.05025939017494849,3,1500,SCDS_NoBlackWhite
cvcl-resnext,saddle,0.6450700357151805,0.06501803760914536,0.037538181515821285,0.07357483577100972,3,1500,SCDS_NoBlackWhite
cvcl-resnext,saltandpeppershake,0.5392826748140903,0.022993571949758346,0.01327534495482401,0.02601967611145506,3,1500,SCDS_NoBlackWhite
cvcl-resnext,seashell,0.5534237176659392,0.014819957021430017,0.008556306175701306,0.01677036010437456,3,1500,SCDS_NoBlackWhite
cvcl-resnext,sippycup,0.25569988306787156,0.02327295847203665,0.013436648838669341,0.02633583172379191,3,1500,SCDS_NoBlackWhite
cvcl-resnext,sodacan,0.5112635969143486,0.05389458876743257,0.031116055332741376,0.0609874684521731,3,1500,SCDS_NoBlackWhite
cvcl-resnext,stapler,0.63273202836295,0.03429009741707287,0.01979739697428551,0.0388028980695996,3,1500,SCDS_NoBlackWhite
cvcl-resnext,stool,0.9631641826916558,0.004786119106108624,0.002763267154285425,0.005416003622399433,3,1500,SCDS_NoBlackWhite
cvcl-resnext,suitcase,0.38673126504898975,0.05100725023933498,0.029449049656302656,0.057720137326353206,3,1500,SCDS_NoBlackWhite
cvcl-resnext,telescope,0.5431158378614174,0.035654454480018916,0.02058510889184818,0.04034681342802244,3,1500,SCDS_NoBlackWhite
cvcl-resnext,tennisracquet,0.0,0.0,0.0,0.0,3,1500,SCDS_NoBlackWhite
cvcl-resnext,toothpaste,0.7796849356030381,0.048530039323149594,0.028018831267003545,0.054916909283326945,3,1500,SCDS_NoBlackWhite
cvcl-resnext,train,0.8573022342800201,0.029464291510368338,0.017011216634992766,0.033341984604585824,3,1500,SCDS_NoBlackWhite
cvcl-resnext,tree,0.6834820586033562,0.012260948802634576,0.007078862091721292,0.013874569699773734,3,1500,SCDS_NoBlackWhite
cvcl-resnext,tricycle,0.8389708165343946,0.04555575695713245,0.02630162854233759,0.05155119194298167,3,1500,SCDS_NoBlackWhite
cvcl-resnext,trophy,0.5884833369493695,0.03035782341843158,0.017527097522642598,0.03435311114437949,3,1500,SCDS_NoBlackWhite
cvcl-resnext,trumpet,0.8477426473645803,0.022811316243852842,0.013170119573958122,0.02581343436495792,3,1500,SCDS_NoBlackWhite
cvcl-resnext,vase,0.8173757333837713,0.06742721670040105,0.038929121712683784,0.0763010785568602,3,1500,SCDS_NoBlackWhite
cvcl-resnext,wineglass,0.49294389604371897,0.014186859699463658,0.008190787266440796,0.01605394304222396,3,1500,SCDS_NoBlackWhite
clip-res,abacus,0.4669082173165124,0.02446930909719327,0.014127362194148693,0.02768962990053144,3,1500,SCDS_NoBlackWhite
clip-res,apple,0.806200121245339,0.017830419189053922,0.010294397318564151,0.02017701874438574,3,1500,SCDS_NoBlackWhite
clip-res,axe,0.5725579777847762,0.006173749963472741,0.0035644162033204294,0.006986255758508042,3,1500,SCDS_NoBlackWhite
clip-res,babushkadolls,0.29041976062116437,0.01981945829065193,0.011442769579300453,0.02242782837542889,3,1500,SCDS_NoBlackWhite
clip-res,bagel,0.37769712506438174,0.02750093830914279,0.015877674135750884,0.03112024130607173,3,1500,SCDS_NoBlackWhite
clip-res,ball,0.8916588622496392,0.013863768000199879,0.00800425018689792,0.015688330366319923,3,1500,SCDS_NoBlackWhite
clip-res,basket,0.03053822509914302,0.004864770790632772,0.00280867672551766,0.0055050063820146124,3,1500,SCDS_NoBlackWhite
clip-res,bell,0.5810581452901075,0.00614304706302754,0.0035466898754834904,0.006951512155947641,3,1500,SCDS_NoBlackWhite
clip-res,bird,0.37791640315180736,0.014336905102228334,0.008277416020117648,0.01622373539943059,3,1500,SCDS_NoBlackWhite
clip-res,bonzai,0.6559118133256961,0.02099634416767183,0.01212224495720336,0.02375960011611859,3,1500,SCDS_NoBlackWhite
clip-res,bread,0.1470136669024439,0.023618031288103428,0.013635876721915519,0.026726318374954417,3,1500,SCDS_NoBlackWhite
clip-res,butterfly,0.5731642123786087,0.017225022554353295,0.009944871408553251,0.019491947960764373,3,1500,SCDS_NoBlackWhite
clip-res,calculator,0.6418947393075423,0.009982417890361217,0.005763351656163386,0.011296169246080234,3,1500,SCDS_NoBlackWhite
