model,class,seed,accuracy,n_trials,test_type
cvcl-resnext,abacus,0,1.0,500,SCDT_NoBlackWhite
cvcl-resnext,abacus,1,1.0,500,SCDT_NoBlackWhite
cvcl-resnext,abacus,2,1.0,500,SCDT_NoBlackWhite
cvcl-resnext,apple,0,1.0,500,SCDT_NoBlackWhite
cvcl-resnext,apple,1,1.0,500,SCDT_NoBlackWhite
cvcl-resnext,apple,2,1.0,500,SCDT_NoBlackWhite
cvcl-resnext,axe,0,0.97,500,SCDT_NoBlackWhite
cvcl-resnext,axe,1,0.954,500,SCDT_NoBlackWhite
cvcl-resnext,axe,2,1.0,500,SCDT_NoBlackWhite
cvcl-resnext,babushkadolls,0,1.0,500,SCDT_NoBlackWhite
cvcl-resnext,babushkadolls,1,1.0,500,SCDT_NoBlackWhite
cvcl-resnext,babushkadolls,2,1.0,500,SCDT_NoBlackWhite
cvcl-resnext,bagel,0,0.57,500,SCDT_NoBlackWhite
cvcl-resnext,bagel,1,0.598,500,SCDT_NoBlackWhite
cvcl-resnext,bagel,2,0.574,500,SCDT_NoBlackWhite
cvcl-resnext,ball,0,1.0,500,SCDT_NoBlackWhite
cvcl-resnext,ball,1,1.0,500,SCDT_NoBlackWhite
cvcl-resnext,ball,2,1.0,500,SCDT_NoBlackWhite
cvcl-resnext,basket,0,0.928,500,SCDT_NoBlackWhite
cvcl-resnext,basket,1,0.95,500,SCDT_NoBlackWhite
cvcl-resnext,basket,2,0.952,500,SCDT_NoBlackWhite
cvcl-resnext,bell,0,0.944,500,SCDT_NoBlackWhite
cvcl-resnext,bell,1,0.9,500,SCDT_NoBlackWhite
cvcl-resnext,bell,2,0.914,500,SCDT_NoBlackWhite
cvcl-resnext,bird,0,1.0,500,SCDT_NoBlackWhite
cvcl-resnext,bird,1,1.0,500,SCDT_NoBlackWhite
cvcl-resnext,bird,2,1.0,500,SCDT_NoBlackWhite
cvcl-resnext,bonzai,0,0.84,500,SCDT_NoBlackWhite
cvcl-resnext,bonzai,1,0.856,500,SCDT_NoBlackWhite
cvcl-resnext,bonzai,2,0.862,500,SCDT_NoBlackWhite
cvcl-resnext,bread,0,0.344,500,SCDT_NoBlackWhite
cvcl-resnext,bread,1,0.34,500,SCDT_NoBlackWhite
