model,class,mean_accuracy,std,se,ci95,n_seeds,total_trials,test_type
cvcl-resnext,abacus,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
cvcl-resnext,apple,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
cvcl-resnext,axe,0.9746666666666667,0.02335237318418268,0.013482498944104469,0.026425697930444757,3,1500,SCDT_NoBlackWhite
cvcl-resnext,babushkadolls,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
cvcl-resnext,bagel,0.5806666666666667,0.015143755588800743,0.00874325136573601,0.017136772676842577,3,1500,SCDT_NoBlackWhite
cvcl-resnext,ball,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
cvcl-resnext,basket,0.9433333333333334,0.013316656236958734,0.007688375063113834,0.015069215123703116,3,1500,SCDT_NoBlackWhite
cvcl-resnext,bell,0.9193333333333333,0.022479620400116446,0.012978614889287834,0.025438085183004153,3,1500,SCDT_NoBlackWhite
cvcl-resnext,bird,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
cvcl-resnext,bonzai,0.8526666666666666,0.011372481406154664,0.00656590520119741,0.012869174194346923,3,1500,SCDT_NoBlackWhite
cvcl-resnext,bread,0.35266666666666663,0.018583146486355135,0.010728984626287385,0.021028809867523278,3,1500,SCDT_NoBlackWhite
cvcl-resnext,butterfly,0.35400000000000004,0.07408103670980852,0.0427707064862545,0.08383058471305882,3,1500,SCDT_NoBlackWhite
cvcl-resnext,calculator,0.8626666666666667,0.029484459183328,0.017022860446404955,0.03336480647495371,3,1500,SCDT_NoBlackWhite
cvcl-resnext,camera,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
cvcl-resnext,candle,0.9580000000000001,0.039344631145811985,0.022715633383201084,0.04452264143107412,3,1500,SCDT_NoBlackWhite
cvcl-resnext,cookie,0.7553333333333333,0.03754108860080293,0.021674357609345163,0.042481740914316515,3,1500,SCDT_NoBlackWhite
cvcl-resnext,doll,0.8786666666666667,0.02802379940931163,0.016179548132682145,0.031711914340057004,3,1500,SCDT_NoBlackWhite
cvcl-resnext,doorknob,0.9306666666666666,0.011547005383792462,0.006666666666666637,0.013066666666666607,3,1500,SCDT_NoBlackWhite
cvcl-resnext,dresser,0.96,0.018330302779823376,0.010583005244258372,0.02074269027874641,3,1500,SCDT_NoBlackWhite
cvcl-resnext,dumbell,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
cvcl-resnext,earrings,0.9333333333333332,0.019218047073866054,0.011095544651395466,0.021747267516735117,3,1500,SCDT_NoBlackWhite
cvcl-resnext,fan,0.7360000000000001,0.08501764522732912,0.049084960357866574,0.09620652230141848,3,1500,SCDT_NoBlackWhite
cvcl-resnext,goggle,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
cvcl-resnext,grill,0.7033333333333333,0.03817503547258773,0.022040367006422038,0.043199119332587195,3,1500,SCDT_NoBlackWhite
cvcl-resnext,handbag,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
cvcl-resnext,handgun,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
cvcl-resnext,handheldgame,0.6966666666666667,0.021571586249817868,0.012454361128179577,0.024410547811231968,3,1500,SCDT_NoBlackWhite
cvcl-resnext,headband,0.532,0.03649657518178929,0.02107130750570546,0.0412997627111827,3,1500,SCDT_NoBlackWhite
cvcl-resnext,helmet,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
cvcl-resnext,horse,0.88,0.05230678732248813,0.030199337741083025,0.05919070197252273,3,1500,SCDT_NoBlackWhite
cvcl-resnext,keyboard,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
cvcl-resnext,lantern,0.9153333333333333,0.016041612554021298,0.009261629326299876,0.018152793479547756,3,1500,SCDT_NoBlackWhite
cvcl-resnext,lei,0.868,0.030789608636681332,0.017776388834631195,0.03484172211587714,3,1500,SCDT_NoBlackWhite
cvcl-resnext,lipstick,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
cvcl-resnext,lock,0.9460000000000001,0.008717797887081356,0.005033222956847171,0.009865116995420456,3,1500,SCDT_NoBlackWhite
cvcl-resnext,meat,0.36199999999999993,0.008000000000000007,0.004618802153517011,0.00905285222089334,3,1500,SCDT_NoBlackWhite
cvcl-resnext,microwave,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
cvcl-resnext,muffin,0.5206666666666666,0.044377171308380294,0.025621171800767503,0.050217496729504305,3,1500,SCDT_NoBlackWhite
cvcl-resnext,nailpolish,0.9700000000000001,0.012489995996796809,0.007211102550927986,0.014133760999818851,3,1500,SCDT_NoBlackWhite
cvcl-resnext,ornament,0.9573333333333333,0.006429100507328643,0.003711842908553352,0.007275212100764569,3,1500,SCDT_NoBlackWhite
cvcl-resnext,pen,0.42933333333333334,0.023094010767585053,0.013333333333333346,0.02613333333333336,3,1500,SCDT_NoBlackWhite
cvcl-resnext,phone,0.7186666666666666,0.020033305601755643,0.01156623438193166,0.02266981938858605,3,1500,SCDT_NoBlackWhite
cvcl-resnext,pillow,0.906,0.0334065861769801,0.019287301521985892,0.037803110983092345,3,1500,SCDT_NoBlackWhite
cvcl-resnext,pipe,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
cvcl-resnext,pitcher,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
cvcl-resnext,powerstrip,0.972,0.03143246729100345,0.018147543451754948,0.0355691851654397,3,1500,SCDT_NoBlackWhite
cvcl-resnext,pumpkin,0.9926666666666666,0.012701705922171777,0.007333333333333339,0.014373333333333346,3,1500,SCDT_NoBlackWhite
cvcl-resnext,rabbit,0.9773333333333333,0.0050332229568471705,0.002905932629027118,0.0056956279528931515,3,1500,SCDT_NoBlackWhite
cvcl-resnext,ring,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
cvcl-resnext,rug,0.5453333333333333,0.05518453889753299,0.03186080838759605,0.062447184439688254,3,1500,SCDT_NoBlackWhite
cvcl-resnext,saddle,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
cvcl-resnext,saltandpeppershake,0.9620000000000001,0.041327956639543625,0.023860706890897695,0.04676698550615948,3,1500,SCDT_NoBlackWhite
cvcl-resnext,seashell,0.948,0.0020000000000000018,0.0011547005383792527,0.002263213055223335,3,1500,SCDT_NoBlackWhite
cvcl-resnext,sippycup,0.972,0.028000000000000025,0.016165807537309538,0.03168498277312669,3,1500,SCDT_NoBlackWhite
cvcl-resnext,sodacan,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
cvcl-resnext,stapler,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
cvcl-resnext,stool,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
cvcl-resnext,suitcase,0.992,0.013856406460551033,0.008000000000000009,0.015680000000000017,3,1500,SCDT_NoBlackWhite
cvcl-resnext,telescope,0.794,0.022538855339169307,0.013012814197295434,0.02550511582669905,3,1500,SCDT_NoBlackWhite
cvcl-resnext,tennisracquet,0.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
cvcl-resnext,toothpaste,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
cvcl-resnext,train,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
cvcl-resnext,tree,0.8019999999999999,0.0269072480941474,0.015534906930308047,0.03044841758340377,3,1500,SCDT_NoBlackWhite
cvcl-resnext,tricycle,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
cvcl-resnext,trophy,0.9706666666666667,0.005033222956847171,0.0029059326290271185,0.005695627952893153,3,1500,SCDT_NoBlackWhite
cvcl-resnext,trumpet,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
cvcl-resnext,vase,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
cvcl-resnext,wineglass,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
clip-res,abacus,0.976,0.007211102550927985,0.0041633319989322695,0.008160130717907249,3,1500,SCDT_NoBlackWhite
clip-res,apple,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
clip-res,axe,0.7840000000000001,0.01587450786638756,0.00916515138991169,0.01796369672422691,3,1500,SCDT_NoBlackWhite
clip-res,babushkadolls,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
clip-res,bagel,0.596,0.02505992817228336,0.014468356276140485,0.02835797830123535,3,1500,SCDT_NoBlackWhite
clip-res,ball,1.0,0.0,0.0,0.0,3,1500,SCDT_NoBlackWhite
clip-res,basket,0.8753333333333333,0.010263202878893778,0.005925462944877065,0.011613907371959048,3,1500,SCDT_NoBlackWhite
clip-res,bell,0.912,0.013856406460551033,0.008000000000000009,0.015680000000000017,3,1500,SCDT_NoBlackWhite
clip-res,bird,0.9766666666666666,0.0041633319989322695,0.0024037008503093285,0.0047112536666062835,3,1500,SCDT_NoBlackWhite
clip-res,bonzai,0.9460000000000001,0.008717797887081356,0.005033222956847171,0.009865116995420456,3,1500,SCDT_NoBlackWhite
clip-res,bread,0.6593333333333334,0.021939310229205797,0.012666666666666677,0.024826666666666688,3,1500,SCDT_NoBlackWhite
