model,class,mean_accuracy,std,se,ci95,n_seeds,total_trials,test_type
cvcl-resnext,abacus,1.0,0.0,0.0,0.0,3,1500,SCDT
cvcl-resnext,apple,0.9899999999999999,0.01732050807568879,0.01000000000000001,0.01960000000000002,3,1500,SCDT
cvcl-resnext,axe,0.9526666666666666,0.008082903768654767,0.0046666666666666705,0.009146666666666674,3,1500,SCDT
cvcl-resnext,babushkadolls,0.9826666666666667,0.015011106998930284,0.008666666666666675,0.01698666666666668,3,1500,SCDT
cvcl-resnext,bagel,0.5533333333333333,0.022479620400116446,0.012978614889287834,0.025438085183004153,3,1500,SCDT
cvcl-resnext,ball,1.0,0.0,0.0,0.0,3,1500,SCDT
cvcl-resnext,basket,0.988,0.020784609690826544,0.01200000000000001,0.02352000000000002,3,1500,SCDT
cvcl-resnext,bell,0.9073333333333333,0.03801753981168865,0.021949436844205757,0.043020896214643285,3,1500,SCDT
cvcl-resnext,bird,0.9853333333333333,0.025403411844343558,0.014666666666666682,0.028746666666666695,3,1500,SCDT
cvcl-resnext,bonzai,0.82,0.02116601048851668,0.012220201853215549,0.023951595632302473,3,1500,SCDT
cvcl-resnext,bread,0.3539999999999999,0.03469870314579495,0.02003330560175563,0.03926527897944103,3,1500,SCDT
cvcl-resnext,butterfly,0.3586666666666667,0.03629508690350987,0.020954978194002286,0.04107175726024448,3,1500,SCDT
cvcl-resnext,calculator,0.8766666666666666,0.012055427546683426,0.006960204339273707,0.013642000504976465,3,1500,SCDT
cvcl-resnext,camera,1.0,0.0,0.0,0.0,3,1500,SCDT
cvcl-resnext,candle,1.0,0.0,0.0,0.0,3,1500,SCDT
cvcl-resnext,cookie,0.7666666666666666,0.017925772879665017,0.010349449797506691,0.020284921603113116,3,1500,SCDT
cvcl-resnext,doll,0.852,0.03218695387886219,0.018583146486355156,0.0364229671132561,3,1500,SCDT
cvcl-resnext,doorknob,0.888,0.013114877048604012,0.007571877794400371,0.014840880477024726,3,1500,SCDT
cvcl-resnext,dresser,1.0,0.0,0.0,0.0,3,1500,SCDT
cvcl-resnext,dumbell,1.0,0.0,0.0,0.0,3,1500,SCDT
cvcl-resnext,earrings,0.9279999999999999,0.02946183972531245,0.017009801096230754,0.033339210148612276,3,1500,SCDT
cvcl-resnext,fan,0.672,0.08487638069569178,0.04900340124249881,0.09604666643529766,3,1500,SCDT
cvcl-resnext,goggle,0.9853333333333333,0.025403411844343558,0.014666666666666682,0.028746666666666695,3,1500,SCDT
cvcl-resnext,grill,0.7353333333333333,0.01890326250501045,0.010913803695829944,0.02139105524382669,3,1500,SCDT
cvcl-resnext,handbag,0.9686666666666666,0.009237604307034021,0.005333333333333339,0.010453333333333344,3,1500,SCDT
cvcl-resnext,handgun,1.0,0.0,0.0,0.0,3,1500,SCDT
cvcl-resnext,handheldgame,0.7426666666666666,0.020231987873991376,0.011680943645290166,0.022894649544768726,3,1500,SCDT
cvcl-resnext,headband,0.5053333333333333,0.027227437142216208,0.015719768163402145,0.030810745600268204,3,1500,SCDT
cvcl-resnext,helmet,1.0,0.0,0.0,0.0,3,1500,SCDT
cvcl-resnext,horse,0.8773333333333334,0.046360903068569936,0.026766479866513003,0.05246230053836548,3,1500,SCDT
cvcl-resnext,keyboard,1.0,0.0,0.0,0.0,3,1500,SCDT
cvcl-resnext,lantern,0.886,0.015620499351813321,0.009018499505645795,0.01767625903106576,3,1500,SCDT
