Model,Test,Correct,Trials,Accuracy
cvcl-resnext,Class-SyntheticKonkle,2517,3738,0.6734
clip-resnext,Class-SyntheticKonkle,3633,3738,0.9719
cvcl-resnext,DCDC-SyntheticKonkle,2574,3738,0.6886
clip-resnext,DCDC-SyntheticKonkle,3675,3738,0.9831
cvcl-resnext,SCDC-SyntheticKonkle,912,3738,0.2440
clip-resnext,SCDC-SyntheticKonkle,2871,3738,0.7681
cvcl-resnext,DCDCS-SyntheticKonkle,3043,3706,0.8211
clip-resnext,DCDCS-SyntheticKonkle,3642,3706,0.9827
cvcl-resnext,SCDCS-SyntheticKonkle,2109,3706,0.5691
clip-resnext,SCDCS-SyntheticKonkle,3029,3706,0.8173
cvcl-resnext,DCDCST-SyntheticKonkle,3507,3675,0.9543
clip-resnext,DCDCST-SyntheticKonkle,3652,3675,0.9937
cvcl-resnext,SCDCST-SyntheticKonkle,3384,3673,0.9213
clip-resnext,SCDCST-SyntheticKonkle,3589,3673,0.9771
cvcl-resnext,DCDST-SyntheticKonkle,3832,3900,0.9826
clip-resnext,DCDST-SyntheticKonkle,3868,3900,0.9918
cvcl-resnext,SCDST-SyntheticKonkle,3295,3647,0.9035
clip-resnext,SCDST-SyntheticKonkle,3360,3647,0.9213
cvcl-resnext,DCDCS-SyntheticKonkle,3316,3666,0.9045
clip-resnext,DCDCS-SyntheticKonkle,3619,3666,0.9872
cvcl-resnext,SCDCS-SyntheticKonkle,2678,3646,0.7345
clip-resnext,SCDCS-SyntheticKonkle,3241,3646,0.8889
cvcl-resnext,DCDC-SyntheticKonkle,3013,3685,0.8176
clip-resnext,DCDC-SyntheticKonkle,3616,3685,0.9813
cvcl-resnext,SCDC-SyntheticKonkle,862,3688,0.2337
clip-resnext,SCDC-SyntheticKonkle,2551,3688,0.6917
cvcl-resnext,Class-SyntheticKonkle,2844,3685,0.7718
clip-resnext,Class-SyntheticKonkle,3399,3685,0.9224
cvcl-resnext,DCDCT-SyntheticKonkle,3330,3686,0.9034
clip-resnext,DCDCT-SyntheticKonkle,3653,3686,0.9910
cvcl-resnext,SCDCT-SyntheticKonkle,1631,3695,0.4414
clip-resnext,SCDCT-SyntheticKonkle,2961,3695,0.8014
cvcl-resnext,DCDS-SyntheticKonkle,3277,3684,0.8895
clip-resnext,DCDS-SyntheticKonkle,3522,3684,0.9560
cvcl-resnext,SCDS-SyntheticKonkle,2306,3629,0.6354
clip-resnext,SCDS-SyntheticKonkle,1812,3629,0.4993
cvcl-resnext,DCDST-SyntheticKonkle,3832,3900,0.9826
clip-resnext,DCDST-SyntheticKonkle,3868,3900,0.9918
cvcl-resnext,SCDST-SyntheticKonkle,3295,3647,0.9035
clip-resnext,SCDST-SyntheticKonkle,3360,3647,0.9213
cvcl-resnext,DCDT-SyntheticKonkle,3262,3686,0.8850
clip-resnext,DCDT-SyntheticKonkle,3595,3686,0.9753
cvcl-resnext,SCDT-SyntheticKonkle,268,300,0.8933
cvcl-resnext,SCDT-SyntheticKonkle,197,380,0.5184
clip-resnext,SCDT-SyntheticKonkle,200,380,0.5263
cvcl-resnext,DCDT-SyntheticKonkle,3393,3853,0.8806
