Model,Test,Dataset,Correct,Trials,Accuracy
cvcl-resnext,DCDC-TextVision,KonkLab,1275,4000,0.3187
clip-resnext,DCDC-TextVision,KonkLab,3928,4000,0.9820
cvcl-resnext,SCDC-TextVision,KonkLab,1128,4000,0.2820
clip-resnext,SCDC-TextVision,KonkLab,2369,4000,0.5923
cvcl-resnext,SCDC-TextVision,KonkLab,1128,4000,0.2820
clip-resnext,SCDC-TextVision,KonkLab,2369,4000,0.5923
cvcl-resnext,DCDS-TextVision-Controlled,KonkLab,897,4000,0.2243
cvcl-resnext,DCDS-TextVision-Controlled,KonkLab,897,4000,0.2243
clip-resnext,DCDS-TextVision-Controlled,KonkLab,3718,4000,0.9295
cvcl-resnext,SCDS-TextVision-Controlled,KonkLab,3000,4000,0.7500
clip-resnext,SCDS-TextVision-Controlled,KonkLab,1000,4000,0.2500
cvcl-resnext,DCDC-TextVision,SyntheticKonkle,1081,4000,0.2702
clip-resnext,DCDC-TextVision,SyntheticKonkle,3953,4000,0.9882
cvcl-resnext,SCDC-TextVision,SyntheticKonkle,977,4000,0.2442
clip-resnext,SCDC-TextVision,SyntheticKonkle,3922,4000,0.9805
cvcl-resnext,Class-TextVision-Original,SyntheticKonkle,1086,4000,0.2715
clip-resnext,Class-TextVision-Original,SyntheticKonkle,3367,4000,0.8417
cvcl-resnext,DCDC-TextVision,SyntheticKonkle,1126,4000,0.2815
clip-resnext,DCDC-TextVision,SyntheticKonkle,3949,4000,0.9872
cvcl-resnext,SCDC-TextVision,SyntheticKonkle,982,4000,0.2455
clip-resnext,SCDC-TextVision,SyntheticKonkle,3927,4000,0.9818
cvcl-resnext,DCDS-TextVision-Controlled,SyntheticKonkle,1161,4000,0.2903
clip-resnext,DCDS-TextVision-Controlled,SyntheticKonkle,3210,4000,0.8025
cvcl-resnext,SCDS-TextVision-Controlled,SyntheticKonkle,2103,4000,0.5258
clip-resnext,SCDS-TextVision-Controlled,SyntheticKonkle,387,4000,0.0968
cvcl-resnext,SCDCS-TextVision,SyntheticKonkle,1078,3971,0.2715
clip-resnext,SCDCS-TextVision,SyntheticKonkle,3599,3971,0.9063
cvcl-resnext,DCDCS-TextVision,SyntheticKonkle,1117,4000,0.2792
cvcl-resnext,DCDCS-TextVision,SyntheticKonkle,1035,4000,0.2587
clip-resnext,DCDCS-TextVision,SyntheticKonkle,3811,4000,0.9527
cvcl-resnext,DCDST-TextVision,SyntheticKonkle,1246,4000,0.3115
clip-resnext,DCDST-TextVision,SyntheticKonkle,3239,4000,0.8097
cvcl-resnext,SCDST-TextVision,SyntheticKonkle,1378,4000,0.3445
clip-resnext,SCDST-TextVision,SyntheticKonkle,1662,4000,0.4155
cvcl-resnext,SCDCT-TextVision,SyntheticKonkle,1094,4000,0.2735
clip-resnext,SCDCT-TextVision,SyntheticKonkle,3746,4000,0.9365
cvcl-resnext,SCDCT-TextVision,SyntheticKonkle,1094,4000,0.2735
clip-resnext,SCDCT-TextVision,SyntheticKonkle,3746,4000,0.9365
cvcl-resnext,DCDCT-TextVision,SyntheticKonkle,1053,4000,0.2632
clip-resnext,DCDCT-TextVision,SyntheticKonkle,3848,4000,0.9620
cvcl-resnext,SCDT-TextVision,SyntheticKonkle,1167,4000,0.2918
clip-resnext,SCDT-TextVision,SyntheticKonkle,1322,4000,0.3305
cvcl-resnext,DCDT-TextVision,SyntheticKonkle,1157,4000,0.2893
clip-resnext,DCDT-TextVision,SyntheticKonkle,3354,4000,0.8385
cvcl-resnext,SCDCST-TextVision,SyntheticKonkle,1158,4000,0.2895
clip-resnext,SCDCST-TextVision,SyntheticKonkle,3600,4000,0.9000
cvcl-resnext,DCDCST-TextVision,SyntheticKonkle,1104,4000,0.2760
clip-resnext,DCDCST-TextVision,SyntheticKonkle,3829,4000,0.9573
