filename,size,texture,variant,color, class
ball_small_smooth_01_red.png,small,smooth,1,red, ball
ball_small_smooth_01_green.png,small,smooth,1,green, ball
ball_small_smooth_01_blue.png,small,smooth,1,blue, ball
ball_small_smooth_01_yellow.png,small,smooth,1,yellow, ball
ball_small_smooth_01_orange.png,small,smooth,1,orange, ball
ball_small_smooth_01_purple.png,small,smooth,1,purple, ball
ball_small_smooth_01_pink.png,small,smooth,1,pink, ball
ball_small_smooth_01_brown.png,small,smooth,1,brown, ball
ball_small_smooth_01_black.png,small,smooth,1,black, ball
ball_small_smooth_01_white.png,small,smooth,1,white, ball
ball_small_smooth_01_gray.png,small,smooth,1,gray, ball
ball_small_smooth_02_red.png,small,smooth,2,red, ball
ball_small_smooth_02_green.png,small,smooth,2,green, ball
ball_small_smooth_02_blue.png,small,smooth,2,blue, ball
ball_small_smooth_02_yellow.png,small,smooth,2,yellow, ball
ball_small_smooth_02_orange.png,small,smooth,2,orange, ball
ball_small_smooth_02_purple.png,small,smooth,2,purple, ball
ball_small_smooth_02_pink.png,small,smooth,2,pink, ball
ball_small_smooth_02_brown.png,small,smooth,2,brown, ball
ball_small_smooth_02_black.png,small,smooth,2,black, ball
ball_small_smooth_02_white.png,small,smooth,2,white, ball
ball_small_smooth_02_gray.png,small,smooth,2,gray, ball
ball_small_bumpy_01_red.png,small,bumpy,1,red, ball
ball_small_bumpy_01_green.png,small,bumpy,1,green, ball
ball_small_bumpy_01_blue.png,small,bumpy,1,blue, ball
ball_small_bumpy_01_yellow.png,small,bumpy,1,yellow, ball
ball_small_bumpy_01_orange.png,small,bumpy,1,orange, ball
ball_small_bumpy_01_purple.png,small,bumpy,1,purple, ball
ball_small_bumpy_01_pink.png,small,bumpy,1,pink, ball
ball_small_bumpy_01_brown.png,small,bumpy,1,brown, ball
ball_small_bumpy_01_black.png,small,bumpy,1,black, ball
ball_small_bumpy_01_white.png,small,bumpy,1,white, ball
ball_small_bumpy_01_gray.png,small,bumpy,1,gray, ball
ball_small_bumpy_02_red.png,small,bumpy,2,red, ball
ball_small_bumpy_02_green.png,small,bumpy,2,green, ball
ball_small_bumpy_02_blue.png,small,bumpy,2,blue, ball
ball_small_bumpy_02_yellow.png,small,bumpy,2,yellow, ball
ball_small_bumpy_02_orange.png,small,bumpy,2,orange, ball
ball_small_bumpy_02_purple.png,small,bumpy,2,purple, ball
ball_small_bumpy_02_pink.png,small,bumpy,2,pink, ball
ball_small_bumpy_02_brown.png,small,bumpy,2,brown, ball
ball_small_bumpy_02_black.png,small,bumpy,2,black, ball
ball_small_bumpy_02_white.png,small,bumpy,2,white, ball
ball_small_bumpy_02_gray.png,small,bumpy,2,gray, ball
ball_medium_smooth_01_red.png,medium,smooth,1,red, ball
ball_medium_smooth_01_green.png,medium,smooth,1,green, ball
ball_medium_smooth_01_blue.png,medium,smooth,1,blue, ball
ball_medium_smooth_01_yellow.png,medium,smooth,1,yellow, ball
ball_medium_smooth_01_orange.png,medium,smooth,1,orange, ball
ball_medium_smooth_01_purple.png,medium,smooth,1,purple, ball
ball_medium_smooth_01_pink.png,medium,smooth,1,pink, ball
ball_medium_smooth_01_brown.png,medium,smooth,1,brown, ball
ball_medium_smooth_01_black.png,medium,smooth,1,black, ball
ball_medium_smooth_01_white.png,medium,smooth,1,white, ball
ball_medium_smooth_01_gray.png,medium,smooth,1,gray, ball
ball_medium_smooth_02_red.png,medium,smooth,2,red, ball
ball_medium_smooth_02_green.png,medium,smooth,2,green, ball
ball_medium_smooth_02_blue.png,medium,smooth,2,blue, ball
ball_medium_smooth_02_yellow.png,medium,smooth,2,yellow, ball
ball_medium_smooth_02_orange.png,medium,smooth,2,orange, ball
ball_medium_smooth_02_purple.png,medium,smooth,2,purple, ball
ball_medium_smooth_02_pink.png,medium,smooth,2,pink, ball
ball_medium_smooth_02_brown.png,medium,smooth,2,brown, ball
ball_medium_smooth_02_black.png,medium,smooth,2,black, ball
ball_medium_smooth_02_white.png,medium,smooth,2,white, ball
ball_medium_smooth_02_gray.png,medium,smooth,2,gray, ball
ball_medium_bumpy_01_red.png,medium,bumpy,1,red, ball
ball_medium_bumpy_01_green.png,medium,bumpy,1,green, ball
ball_medium_bumpy_01_blue.png,medium,bumpy,1,blue, ball
ball_medium_bumpy_01_yellow.png,medium,bumpy,1,yellow, ball
ball_medium_bumpy_01_orange.png,medium,bumpy,1,orange, ball
ball_medium_bumpy_01_purple.png,medium,bumpy,1,purple, ball
ball_medium_bumpy_01_pink.png,medium,bumpy,1,pink, ball
ball_medium_bumpy_01_brown.png,medium,bumpy,1,brown, ball
ball_medium_bumpy_01_black.png,medium,bumpy,1,black, ball
ball_medium_bumpy_01_white.png,medium,bumpy,1,white, ball
ball_medium_bumpy_01_gray.png,medium,bumpy,1,gray, ball
ball_medium_bumpy_02_red.png,medium,bumpy,2,red, ball
ball_medium_bumpy_02_green.png,medium,bumpy,2,green, ball
ball_medium_bumpy_02_blue.png,medium,bumpy,2,blue, ball
ball_medium_bumpy_02_yellow.png,medium,bumpy,2,yellow, ball
ball_medium_bumpy_02_orange.png,medium,bumpy,2,orange, ball
ball_medium_bumpy_02_purple.png,medium,bumpy,2,purple, ball
ball_medium_bumpy_02_pink.png,medium,bumpy,2,pink, ball
ball_medium_bumpy_02_brown.png,medium,bumpy,2,brown, ball
ball_medium_bumpy_02_black.png,medium,bumpy,2,black, ball
ball_medium_bumpy_02_white.png,medium,bumpy,2,white, ball
ball_medium_bumpy_02_gray.png,medium,bumpy,2,gray, ball
ball_large_smooth_01_red.png,large,smooth,1,red, ball
ball_large_smooth_01_green.png,large,smooth,1,green, ball
ball_large_smooth_01_blue.png,large,smooth,1,blue, ball
ball_large_smooth_01_yellow.png,large,smooth,1,yellow, ball
ball_large_smooth_01_orange.png,large,smooth,1,orange, ball
ball_large_smooth_01_purple.png,large,smooth,1,purple, ball
ball_large_smooth_01_pink.png,large,smooth,1,pink, ball
ball_large_smooth_01_brown.png,large,smooth,1,brown, ball
ball_large_smooth_01_black.png,large,smooth,1,black, ball
ball_large_smooth_01_white.png,large,smooth,1,white, ball
ball_large_smooth_01_gray.png,large,smooth,1,gray, ball
ball_large_smooth_02_red.png,large,smooth,2,red, ball
ball_large_smooth_02_green.png,large,smooth,2,green, ball
ball_large_smooth_02_blue.png,large,smooth,2,blue, ball
ball_large_smooth_02_yellow.png,large,smooth,2,yellow, ball
ball_large_smooth_02_orange.png,large,smooth,2,orange, ball
ball_large_smooth_02_purple.png,large,smooth,2,purple, ball
ball_large_smooth_02_pink.png,large,smooth,2,pink, ball
ball_large_smooth_02_brown.png,large,smooth,2,brown, ball
ball_large_smooth_02_black.png,large,smooth,2,black, ball
ball_large_smooth_02_white.png,large,smooth,2,white, ball
ball_large_smooth_02_gray.png,large,smooth,2,gray, ball
ball_large_bumpy_01_red.png,large,bumpy,1,red, ball
ball_large_bumpy_01_green.png,large,bumpy,1,green, ball
ball_large_bumpy_01_blue.png,large,bumpy,1,blue, ball
ball_large_bumpy_01_yellow.png,large,bumpy,1,yellow, ball
ball_large_bumpy_01_orange.png,large,bumpy,1,orange, ball
ball_large_bumpy_01_purple.png,large,bumpy,1,purple, ball
ball_large_bumpy_01_pink.png,large,bumpy,1,pink, ball
ball_large_bumpy_01_brown.png,large,bumpy,1,brown, ball
ball_large_bumpy_01_black.png,large,bumpy,1,black, ball
ball_large_bumpy_01_white.png,large,bumpy,1,white, ball
ball_large_bumpy_01_gray.png,large,bumpy,1,gray, ball
ball_large_bumpy_02_red.png,large,bumpy,2,red, ball
ball_large_bumpy_02_green.png,large,bumpy,2,green, ball
ball_large_bumpy_02_blue.png,large,bumpy,2,blue, ball
ball_large_bumpy_02_yellow.png,large,bumpy,2,yellow, ball
ball_large_bumpy_02_orange.png,large,bumpy,2,orange, ball
ball_large_bumpy_02_purple.png,large,bumpy,2,purple, ball
ball_large_bumpy_02_pink.png,large,bumpy,2,pink, ball
ball_large_bumpy_02_brown.png,large,bumpy,2,brown, ball
ball_large_bumpy_02_black.png,large,bumpy,2,black, ball
ball_large_bumpy_02_white.png,large,bumpy,2,white, ball
ball_large_bumpy_02_gray.png,large,bumpy,2,gray, ball
