filename,size,texture,variant,colour,class
tennisracquet_large_bumpy_01_green.png,large,bumpy,01,green,tennisracquet
tennisracquet_large_bumpy_01_blue.png,large,bumpy,01,blue,tennisracquet
tennisracquet_large_bumpy_01_yellow.png,large,bumpy,01,yellow,tennisracquet
tennisracquet_large_bumpy_01_orange.png,large,bumpy,01,orange,tennisracquet
tennisracquet_large_bumpy_01_purple.png,large,bumpy,01,purple,tennisracquet
tennisracquet_large_bumpy_01_pink.png,large,bumpy,01,pink,tennisracquet
tennisracquet_large_bumpy_01_brown.png,large,bumpy,01,brown,tennisracquet
tennisracquet_large_bumpy_01_black.png,large,bumpy,01,black,tennisracquet
tennisracquet_large_bumpy_01_gray.png,large,bumpy,01,gray,tennisracquet
tennisracquet_large_bumpy_02_red.png,large,bumpy,02,red,tennisracquet
tennisracquet_large_bumpy_02_green.png,large,bumpy,02,green,tennisracquet
tennisracquet_large_bumpy_02_blue.png,large,bumpy,02,blue,tennisracquet
tennisracquet_large_bumpy_02_yellow.png,large,bumpy,02,yellow,tennisracquet
tennisracquet_large_bumpy_02_orange.png,large,bumpy,02,orange,tennisracquet
tennisracquet_large_bumpy_02_purple.png,large,bumpy,02,purple,tennisracquet
tennisracquet_large_bumpy_02_pink.png,large,bumpy,02,pink,tennisracquet
tennisracquet_large_bumpy_02_brown.png,large,bumpy,02,brown,tennisracquet
tennisracquet_large_bumpy_02_black.png,large,bumpy,02,black,tennisracquet
tennisracquet_large_bumpy_02_gray.png,large,bumpy,02,gray,tennisracquet
tennisracquet_large_smooth_01_red.png,large,smooth,01,red,tennisracquet
tennisracquet_large_smooth_01_purple.png,large,smooth,01,purple,tennisracquet
