filename,size,texture,variant,color,class
basket_large_bumpy_01_red.png,large,bumpy,1,red,basket
basket_large_bumpy_01_green.png,large,bumpy,1,green,basket
basket_large_bumpy_01_blue.png,large,bumpy,1,blue,basket
basket_large_bumpy_01_yellow.png,large,bumpy,1,yellow,basket
basket_large_bumpy_01_orange.png,large,bumpy,1,orange,basket
basket_large_bumpy_01_purple.png,large,bumpy,1,purple,basket
basket_large_bumpy_01_pink.png,large,bumpy,1,pink,basket
basket_large_bumpy_01_brown.png,large,bumpy,1,brown,basket
basket_large_bumpy_01_black.png,large,bumpy,1,black,basket
basket_large_bumpy_01_gray.png,large,bumpy,1,gray,basket
basket_large_bumpy_02_red.png,large,bumpy,2,red,basket
basket_large_bumpy_02_green.png,large,bumpy,2,green,basket
basket_large_bumpy_02_blue.png,large,bumpy,2,blue,basket
basket_large_bumpy_02_yellow.png,large,bumpy,2,yellow,basket
basket_large_bumpy_02_orange.png,large,bumpy,2,orange,basket
basket_large_bumpy_02_purple.png,large,bumpy,2,purple,basket
basket_large_bumpy_02_pink.png,large,bumpy,2,pink,basket
basket_large_bumpy_02_brown.png,large,bumpy,2,brown,basket
basket_large_bumpy_02_black.png,large,bumpy,2,black,basket
basket_large_bumpy_02_gray.png,large,bumpy,2,gray,basket
basket_large_smooth_01_red.png,large,smooth,1,red,basket
basket_large_smooth_01_green.png,large,smooth,1,green,basket
basket_large_smooth_01_blue.png,large,smooth,1,blue,basket
basket_large_smooth_01_yellow.png,large,smooth,1,yellow,basket
basket_large_smooth_01_orange.png,large,smooth,1,orange,basket
basket_large_smooth_01_purple.png,large,smooth,1,purple,basket
basket_large_smooth_01_pink.png,large,smooth,1,pink,basket
basket_large_smooth_01_brown.png,large,smooth,1,brown,basket
basket_large_smooth_01_black.png,large,smooth,1,black,basket
basket_large_smooth_01_gray.png,large,smooth,1,gray,basket
basket_large_smooth_02_red.png,large,smooth,2,red,basket
basket_large_smooth_02_green.png,large,smooth,2,green,basket
basket_large_smooth_02_blue.png,large,smooth,2,blue,basket
basket_large_smooth_02_yellow.png,large,smooth,2,yellow,basket
basket_large_smooth_02_orange.png,large,smooth,2,orange,basket
basket_large_smooth_02_purple.png,large,smooth,2,purple,basket
basket_large_smooth_02_pink.png,large,smooth,2,pink,basket
basket_large_smooth_02_brown.png,large,smooth,2,brown,basket
basket_large_smooth_02_black.png,large,smooth,2,black,basket
basket_large_smooth_02_gray.png,large,smooth,2,gray,basket
basket_medium_bumpy_01_red.png,medium,bumpy,1,red,basket
basket_medium_bumpy_01_green.png,medium,bumpy,1,green,basket
basket_medium_bumpy_01_blue.png,medium,bumpy,1,blue,basket
basket_medium_bumpy_01_yellow.png,medium,bumpy,1,yellow,basket
basket_medium_bumpy_01_orange.png,medium,bumpy,1,orange,basket
basket_medium_bumpy_01_purple.png,medium,bumpy,1,purple,basket
basket_medium_bumpy_01_pink.png,medium,bumpy,1,pink,basket
basket_medium_bumpy_01_brown.png,medium,bumpy,1,brown,basket
basket_medium_bumpy_01_black.png,medium,bumpy,1,black,basket
basket_medium_bumpy_01_gray.png,medium,bumpy,1,gray,basket
basket_medium_bumpy_02_red.png,medium,bumpy,2,red,basket
basket_medium_bumpy_02_green.png,medium,bumpy,2,green,basket
basket_medium_bumpy_02_blue.png,medium,bumpy,2,blue,basket
basket_medium_bumpy_02_yellow.png,medium,bumpy,2,yellow,basket
basket_medium_bumpy_02_orange.png,medium,bumpy,2,orange,basket
basket_medium_bumpy_02_purple.png,medium,bumpy,2,purple,basket
basket_medium_bumpy_02_pink.png,medium,bumpy,2,pink,basket
basket_medium_bumpy_02_brown.png,medium,bumpy,2,brown,basket
basket_medium_bumpy_02_black.png,medium,bumpy,2,black,basket
basket_medium_bumpy_02_gray.png,medium,bumpy,2,gray,basket
basket_medium_smooth_01_red.png,medium,smooth,1,red,basket
basket_medium_smooth_01_green.png,medium,smooth,1,green,basket
basket_medium_smooth_01_blue.png,medium,smooth,1,blue,basket
basket_medium_smooth_01_yellow.png,medium,smooth,1,yellow,basket
basket_medium_smooth_01_orange.png,medium,smooth,1,orange,basket
basket_medium_smooth_01_purple.png,medium,smooth,1,purple,basket
basket_medium_smooth_01_pink.png,medium,smooth,1,pink,basket
basket_medium_smooth_01_brown.png,medium,smooth,1,brown,basket
basket_medium_smooth_01_black.png,medium,smooth,1,black,basket
basket_medium_smooth_01_gray.png,medium,smooth,1,gray,basket
basket_medium_smooth_02_red.png,medium,smooth,2,red,basket
basket_medium_smooth_02_green.png,medium,smooth,2,green,basket
basket_medium_smooth_02_blue.png,medium,smooth,2,blue,basket
basket_medium_smooth_02_yellow.png,medium,smooth,2,yellow,basket
basket_medium_smooth_02_orange.png,medium,smooth,2,orange,basket
basket_medium_smooth_02_purple.png,medium,smooth,2,purple,basket
basket_medium_smooth_02_pink.png,medium,smooth,2,pink,basket
basket_medium_smooth_02_brown.png,medium,smooth,2,brown,basket
basket_medium_smooth_02_black.png,medium,smooth,2,black,basket
basket_medium_smooth_02_gray.png,medium,smooth,2,gray,basket
basket_small_bumpy_01_red.png,small,bumpy,1,red,basket
basket_small_bumpy_01_green.png,small,bumpy,1,green,basket
basket_small_bumpy_01_blue.png,small,bumpy,1,blue,basket
basket_small_bumpy_01_yellow.png,small,bumpy,1,yellow,basket
basket_small_bumpy_01_orange.png,small,bumpy,1,orange,basket
