filename,size,texture,variant,color,class
calculator_large_bumpy_01_red.png,large,bumpy,1,red,calculator
calculator_large_bumpy_01_green.png,large,bumpy,1,green,calculator
calculator_large_bumpy_01_blue.png,large,bumpy,1,blue,calculator
calculator_large_bumpy_01_yellow.png,large,bumpy,1,yellow,calculator
calculator_large_bumpy_01_orange.png,large,bumpy,1,orange,calculator
calculator_large_bumpy_01_purple.png,large,bumpy,1,purple,calculator
calculator_large_bumpy_01_pink.png,large,bumpy,1,pink,calculator
calculator_large_bumpy_01_brown.png,large,bumpy,1,brown,calculator
calculator_large_bumpy_01_black.png,large,bumpy,1,black,calculator
calculator_large_bumpy_01_gray.png,large,bumpy,1,gray,calculator
calculator_large_bumpy_02_red.png,large,bumpy,2,red,calculator
calculator_large_bumpy_02_green.png,large,bumpy,2,green,calculator
calculator_large_bumpy_02_blue.png,large,bumpy,2,blue,calculator
calculator_large_bumpy_02_yellow.png,large,bumpy,2,yellow,calculator
calculator_large_bumpy_02_orange.png,large,bumpy,2,orange,calculator
calculator_large_bumpy_02_purple.png,large,bumpy,2,purple,calculator
calculator_large_bumpy_02_pink.png,large,bumpy,2,pink,calculator
calculator_large_bumpy_02_brown.png,large,bumpy,2,brown,calculator
calculator_large_bumpy_02_black.png,large,bumpy,2,black,calculator
calculator_large_bumpy_02_gray.png,large,bumpy,2,gray,calculator
calculator_large_smooth_01_red.png,large,smooth,1,red,calculator
calculator_large_smooth_01_green.png,large,smooth,1,green,calculator
calculator_large_smooth_01_blue.png,large,smooth,1,blue,calculator
calculator_large_smooth_01_yellow.png,large,smooth,1,yellow,calculator
calculator_large_smooth_01_orange.png,large,smooth,1,orange,calculator
calculator_large_smooth_01_purple.png,large,smooth,1,purple,calculator
calculator_large_smooth_01_pink.png,large,smooth,1,pink,calculator
calculator_large_smooth_01_brown.png,large,smooth,1,brown,calculator
calculator_large_smooth_01_black.png,large,smooth,1,black,calculator
calculator_large_smooth_01_gray.png,large,smooth,1,gray,calculator
calculator_large_smooth_02_red.png,large,smooth,2,red,calculator
calculator_large_smooth_02_green.png,large,smooth,2,green,calculator
calculator_large_smooth_02_blue.png,large,smooth,2,blue,calculator
