folder,filename,class,color,size,texture,variant
abacus_color,abacus_large_bumpy_01_red.png,abacus,red,large,bumpy,1
abacus_color,abacus_large_bumpy_01_green.png,abacus,green,large,bumpy,1
abacus_color,abacus_large_bumpy_01_blue.png,abacus,blue,large,bumpy,1
abacus_color,abacus_large_bumpy_01_yellow.png,abacus,yellow,large,bumpy,1
abacus_color,abacus_large_bumpy_01_orange.png,abacus,orange,large,bumpy,1
abacus_color,abacus_large_bumpy_01_purple.png,abacus,purple,large,bumpy,1
abacus_color,abacus_large_bumpy_01_pink.png,abacus,pink,large,bumpy,1
abacus_color,abacus_large_bumpy_01_brown.png,abacus,brown,large,bumpy,1
abacus_color,abacus_large_bumpy_01_black.png,abacus,black,large,bumpy,1
abacus_color,abacus_large_bumpy_01_gray.png,abacus,gray,large,bumpy,1
abacus_color,abacus_large_bumpy_02_red.png,abacus,red,large,bumpy,2
abacus_color,abacus_large_bumpy_02_green.png,abacus,green,large,bumpy,2
abacus_color,abacus_large_bumpy_02_blue.png,abacus,blue,large,bumpy,2
abacus_color,abacus_large_bumpy_02_yellow.png,abacus,yellow,large,bumpy,2
abacus_color,abacus_large_bumpy_02_orange.png,abacus,orange,large,bumpy,2
abacus_color,abacus_large_bumpy_02_purple.png,abacus,purple,large,bumpy,2
abacus_color,abacus_large_bumpy_02_pink.png,abacus,pink,large,bumpy,2
abacus_color,abacus_large_bumpy_02_brown.png,abacus,brown,large,bumpy,2
abacus_color,abacus_large_bumpy_02_black.png,abacus,black,large,bumpy,2
abacus_color,abacus_large_bumpy_02_gray.png,abacus,gray,large,bumpy,2
abacus_color,abacus_large_smooth_01_red.png,abacus,red,large,smooth,1
abacus_color,abacus_large_smooth_01_green.png,abacus,green,large,smooth,1
abacus_color,abacus_large_smooth_01_blue.png,abacus,blue,large,smooth,1
abacus_color,abacus_large_smooth_01_yellow.png,abacus,yellow,large,smooth,1
abacus_color,abacus_large_smooth_01_orange.png,abacus,orange,large,smooth,1
abacus_color,abacus_large_smooth_01_purple.png,abacus,purple,large,smooth,1
abacus_color,abacus_large_smooth_01_pink.png,abacus,pink,large,smooth,1
abacus_color,abacus_large_smooth_01_brown.png,abacus,brown,large,smooth,1
abacus_color,abacus_large_smooth_01_black.png,abacus,black,large,smooth,1
abacus_color,abacus_large_smooth_01_gray.png,abacus,gray,large,smooth,1
abacus_color,abacus_large_smooth_02_red.png,abacus,red,large,smooth,2
