filename,size,texture,variant,color,class
phone_bumpy_large_01_red.png,bumpy,large,1,red,phone
phone_bumpy_large_01_green.png,bumpy,large,1,green,phone
phone_bumpy_large_01_blue.png,bumpy,large,1,blue,phone
phone_bumpy_large_01_yellow.png,bumpy,large,1,yellow,phone
phone_bumpy_large_01_orange.png,bumpy,large,1,orange,phone
phone_bumpy_large_01_purple.png,bumpy,large,1,purple,phone
phone_bumpy_large_01_pink.png,bumpy,large,1,pink,phone
phone_bumpy_large_01_brown.png,bumpy,large,1,brown,phone
phone_bumpy_large_01_black.png,bumpy,large,1,black,phone
phone_medium_bumpy_01_purple.png,medium,bumpy,1,purple,phone
phone_large_bumpy_02_green.png,large,bumpy,2,green,phone
phone_large_bumpy_02_gray.png,large,bumpy,2,gray,phone
phone_large_smooth_02_red.png,large,smooth,2,red,phone
phone_large_smooth_02_yellow.png,large,smooth,2,yellow,phone
phone_medium_bumpy_01_pink.png,medium,bumpy,1,pink,phone
phone_medium_bumpy_01_brown.png,medium,bumpy,1,brown,phone
phone_medium_bumpy_01_black.png,medium,bumpy,1,black,phone
phone_medium_bumpy_01_gray.png,medium,bumpy,1,gray,phone
phone_medium_bumpy_02_red.png,medium,bumpy,2,red,phone
phone_medium_bumpy_02_green.png,medium,bumpy,2,green,phone
phone_medium_bumpy_02_blue.png,medium,bumpy,2,blue,phone
phone_medium_bumpy_02_yellow.png,medium,bumpy,2,yellow,phone
phone_medium_bumpy_02_orange.png,medium,bumpy,2,orange,phone
phone_medium_bumpy_02_purple.png,medium,bumpy,2,purple,phone
phone_medium_bumpy_02_pink.png,medium,bumpy,2,pink,phone
phone_medium_bumpy_02_brown.png,medium,bumpy,2,brown,phone
phone_medium_bumpy_02_black.png,medium,bumpy,2,black,phone
phone_medium_bumpy_02_gray.png,medium,bumpy,2,gray,phone
phone_medium_smooth_01_red.png,medium,smooth,1,red,phone
phone_medium_smooth_01_green.png,medium,smooth,1,green,phone
phone_medium_smooth_01_blue.png,medium,smooth,1,blue,phone
phone_medium_smooth_01_yellow.png,medium,smooth,1,yellow,phone
phone_medium_smooth_01_orange.png,medium,smooth,1,orange,phone
phone_medium_smooth_01_purple.png,medium,smooth,1,purple,phone
phone_medium_smooth_01_pink.png,medium,smooth,1,pink,phone
phone_medium_smooth_01_brown.png,medium,smooth,1,brown,phone
phone_medium_smooth_01_black.png,medium,smooth,1,black,phone
phone_medium_smooth_01_gray.png,medium,smooth,1,gray,phone
phone_medium_smooth_02_red.png,medium,smooth,2,red,phone
phone_medium_smooth_02_green.png,medium,smooth,2,green,phone
phone_medium_smooth_02_blue.png,medium,smooth,2,blue,phone
phone_medium_smooth_02_yellow.png,medium,smooth,2,yellow,phone
phone_medium_smooth_02_orange.png,medium,smooth,2,orange,phone
phone_medium_smooth_02_purple.png,medium,smooth,2,purple,phone
phone_medium_smooth_02_pink.png,medium,smooth,2,pink,phone
phone_medium_smooth_02_brown.png,medium,smooth,2,brown,phone
phone_medium_smooth_02_black.png,medium,smooth,2,black,phone
phone_medium_smooth_02_gray.png,medium,smooth,2,gray,phone
phone_small_bumpy_01_red.png,small,bumpy,1,red,phone
phone_small_bumpy_01_green.png,small,bumpy,1,green,phone
phone_small_bumpy_01_blue.png,small,bumpy,1,blue,phone
phone_small_bumpy_01_yellow.png,small,bumpy,1,yellow,phone
phone_small_bumpy_01_orange.png,small,bumpy,1,orange,phone
phone_small_bumpy_01_purple.png,small,bumpy,1,purple,phone
phone_small_bumpy_01_pink.png,small,bumpy,1,pink,phone
phone_small_bumpy_01_brown.png,small,bumpy,1,brown,phone
phone_small_bumpy_01_black.png,small,bumpy,1,black,phone
phone_small_bumpy_01_gray.png,small,bumpy,1,gray,phone
phone_small_bumpy_02_red.png,small,bumpy,2,red,phone
phone_small_bumpy_02_green.png,small,bumpy,2,green,phone
phone_small_bumpy_02_blue.png,small,bumpy,2,blue,phone
phone_small_bumpy_02_yellow.png,small,bumpy,2,yellow,phone
phone_small_bumpy_02_orange.png,small,bumpy,2,orange,phone
phone_small_bumpy_02_purple.png,small,bumpy,2,purple,phone
phone_small_bumpy_02_pink.png,small,bumpy,2,pink,phone
phone_small_bumpy_02_brown.png,small,bumpy,2,brown,phone
phone_small_bumpy_02_black.png,small,bumpy,2,black,phone
phone_small_bumpy_02_gray.png,small,bumpy,2,gray,phone
phone_small_smooth_01_red.png,small,smooth,1,red,phone
phone_small_smooth_01_green.png,small,smooth,1,green,phone
phone_small_smooth_01_blue.png,small,smooth,1,blue,phone
phone_small_smooth_01_yellow.png,small,smooth,1,yellow,phone
phone_small_smooth_01_orange.png,small,smooth,1,orange,phone
phone_small_smooth_01_purple.png,small,smooth,1,purple,phone
phone_small_smooth_01_pink.png,small,smooth,1,pink,phone
phone_small_smooth_01_brown.png,small,smooth,1,brown,phone
phone_small_smooth_01_black.png,small,smooth,1,black,phone
phone_small_smooth_01_gray.png,small,smooth,1,gray,phone
phone_small_smooth_02_red.png,small,smooth,2,red,phone
phone_small_smooth_02_green.png,small,smooth,2,green,phone
phone_small_smooth_02_blue.png,small,smooth,2,blue,phone
phone_small_smooth_02_yellow.png,small,smooth,2,yellow,phone
phone_small_smooth_02_orange.png,small,smooth,2,orange,phone
phone_small_smooth_02_purple.png,small,smooth,2,purple,phone
phone_small_smooth_02_pink.png,small,smooth,2,pink,phone
phone_small_smooth_02_brown.png,small,smooth,2,brown,phone
phone_small_smooth_02_black.png,small,smooth,2,black,phone
phone_small_smooth_02_gray.png,small,smooth,2,gray,phone
