filename,size,texture,variant,color,class
stool_large_bumpy_01_red.png,large,bumpy,1,red,stool
stool_large_bumpy_01_green.png,large,bumpy,1,green,stool
stool_large_bumpy_01_blue.png,large,bumpy,1,blue,stool
stool_large_bumpy_01_yellow.png,large,bumpy,1,yellow,stool
stool_large_bumpy_01_orange.png,large,bumpy,1,orange,stool
stool_large_bumpy_01_purple.png,large,bumpy,1,purple,stool
stool_large_bumpy_01_pink.png,large,bumpy,1,pink,stool
stool_large_bumpy_01_brown.png,large,bumpy,1,brown,stool
stool_large_bumpy_01_black.png,large,bumpy,1,black,stool
stool_large_bumpy_01_gray.png,large,bumpy,1,gray,stool
stool_large_bumpy_02_red.png,large,bumpy,2,red,stool
stool_large_bumpy_02_green.png,large,bumpy,2,green,stool
stool_large_bumpy_02_blue.png,large,bumpy,2,blue,stool
stool_large_bumpy_02_yellow.png,large,bumpy,2,yellow,stool
stool_large_bumpy_02_orange.png,large,bumpy,2,orange,stool
stool_large_bumpy_02_purple.png,large,bumpy,2,purple,stool
stool_large_bumpy_02_pink.png,large,bumpy,2,pink,stool
stool_large_bumpy_02_brown.png,large,bumpy,2,brown,stool
stool_large_bumpy_02_black.png,large,bumpy,2,black,stool
stool_large_bumpy_02_gray.png,large,bumpy,2,gray,stool
stool_large_smooth_01_red.png,large,smooth,1,red,stool
stool_large_smooth_01_green.png,large,smooth,1,green,stool
stool_large_smooth_01_blue.png,large,smooth,1,blue,stool
stool_large_smooth_01_yellow.png,large,smooth,1,yellow,stool
stool_large_smooth_01_orange.png,large,smooth,1,orange,stool
stool_large_smooth_01_purple.png,large,smooth,1,purple,stool
stool_large_smooth_01_pink.png,large,smooth,1,pink,stool
stool_large_smooth_01_brown.png,large,smooth,1,brown,stool
stool_large_smooth_01_black.png,large,smooth,1,black,stool
stool_large_smooth_01_gray.png,large,smooth,1,gray,stool
stool_large_smooth_02_red.png,large,smooth,2,red,stool
stool_large_smooth_02_green.png,large,smooth,2,green,stool
stool_large_smooth_02_blue.png,large,smooth,2,blue,stool
stool_large_smooth_02_yellow.png,large,smooth,2,yellow,stool
stool_large_smooth_02_orange.png,large,smooth,2,orange,stool
stool_large_smooth_02_purple.png,large,smooth,2,purple,stool
stool_large_smooth_02_pink.png,large,smooth,2,pink,stool
stool_large_smooth_02_brown.png,large,smooth,2,brown,stool
stool_large_smooth_02_black.png,large,smooth,2,black,stool
stool_large_smooth_02_gray.png,large,smooth,2,gray,stool
stool_medium_bumpy_01_red.png,medium,bumpy,1,red,stool
stool_medium_bumpy_01_green.png,medium,bumpy,1,green,stool
stool_medium_bumpy_01_blue.png,medium,bumpy,1,blue,stool
stool_medium_bumpy_01_yellow.png,medium,bumpy,1,yellow,stool
stool_medium_bumpy_01_orange.png,medium,bumpy,1,orange,stool
stool_medium_bumpy_01_purple.png,medium,bumpy,1,purple,stool
stool_medium_bumpy_01_pink.png,medium,bumpy,1,pink,stool
stool_medium_bumpy_01_brown.png,medium,bumpy,1,brown,stool
stool_medium_bumpy_01_black.png,medium,bumpy,1,black,stool
stool_medium_bumpy_01_gray.png,medium,bumpy,1,gray,stool
stool_medium_bumpy_02_red.png,medium,bumpy,2,red,stool
stool_medium_bumpy_02_green.png,medium,bumpy,2,green,stool
stool_medium_bumpy_02_blue.png,medium,bumpy,2,blue,stool
stool_medium_bumpy_02_yellow.png,medium,bumpy,2,yellow,stool
stool_medium_bumpy_02_orange.png,medium,bumpy,2,orange,stool
stool_medium_bumpy_02_purple.png,medium,bumpy,2,purple,stool
stool_medium_bumpy_02_pink.png,medium,bumpy,2,pink,stool
stool_medium_bumpy_02_brown.png,medium,bumpy,2,brown,stool
stool_medium_bumpy_02_black.png,medium,bumpy,2,black,stool
stool_medium_bumpy_02_gray.png,medium,bumpy,2,gray,stool
stool_medium_smooth_01_red.png,medium,smooth,1,red,stool
stool_medium_smooth_01_green.png,medium,smooth,1,green,stool
stool_medium_smooth_01_blue.png,medium,smooth,1,blue,stool
stool_medium_smooth_01_yellow.png,medium,smooth,1,yellow,stool
stool_medium_smooth_01_orange.png,medium,smooth,1,orange,stool
stool_medium_smooth_01_purple.png,medium,smooth,1,purple,stool
stool_medium_smooth_01_pink.png,medium,smooth,1,pink,stool
