filename,size,texture,variant,color,class
tennisracquet_large_bumpy_01_green.png,large,bumpy,1,green,tennisracquet
tennisracquet_large_bumpy_01_blue.png,large,bumpy,1,blue,tennisracquet
tennisracquet_large_bumpy_01_yellow.png,large,bumpy,1,yellow,tennisracquet
tennisracquet_large_bumpy_01_orange.png,large,bumpy,1,orange,tennisracquet
tennisracquet_large_bumpy_01_purple.png,large,bumpy,1,purple,tennisracquet
tennisracquet_large_bumpy_01_pink.png,large,bumpy,1,pink,tennisracquet
tennisracquet_large_bumpy_01_brown.png,large,bumpy,1,brown,tennisracquet
tennisracquet_large_bumpy_01_black.png,large,bumpy,1,black,tennisracquet
tennisracquet_large_bumpy_01_gray.png,large,bumpy,1,gray,tennisracquet
tennisracquet_large_bumpy_02_red.png,large,bumpy,2,red,tennisracquet
tennisracquet_large_bumpy_02_green.png,large,bumpy,2,green,tennisracquet
tennisracquet_large_bumpy_02_blue.png,large,bumpy,2,blue,tennisracquet
tennisracquet_large_bumpy_02_yellow.png,large,bumpy,2,yellow,tennisracquet
tennisracquet_large_bumpy_02_orange.png,large,bumpy,2,orange,tennisracquet
tennisracquet_large_bumpy_02_purple.png,large,bumpy,2,purple,tennisracquet
tennisracquet_large_bumpy_02_pink.png,large,bumpy,2,pink,tennisracquet
tennisracquet_large_bumpy_02_brown.png,large,bumpy,2,brown,tennisracquet
tennisracquet_large_bumpy_02_black.png,large,bumpy,2,black,tennisracquet
tennisracquet_large_bumpy_02_gray.png,large,bumpy,2,gray,tennisracquet
tennisracquet_large_smooth_01_red.png,large,smooth,1,red,tennisracquet
tennisracquet_large_smooth_01_purple.png,large,smooth,1,purple,tennisracquet
tennisracquet_small_smooth_01_yellow.png,small,smooth,1,yellow,tennisracquet
tennisracquet_small_smooth_01_orange.png,small,smooth,1,orange,tennisracquet
tennisracquet_small_smooth_01_purple.png,small,smooth,1,purple,tennisracquet
tennisracquet_small_smooth_01_pink.png,small,smooth,1,pink,tennisracquet
tennisracquet_small_smooth_01_brown.png,small,smooth,1,brown,tennisracquet
tennisracquet_small_smooth_01_black.png,small,smooth,1,black,tennisracquet
tennisracquet_small_smooth_01_gray.png,small,smooth,1,gray,tennisracquet
tennisracquet_small_smooth_02_red.png,small,smooth,2,red,tennisracquet
tennisracquet_small_smooth_02_green.png,small,smooth,2,green,tennisracquet
tennisracquet_small_smooth_02_blue.png,small,smooth,2,blue,tennisracquet
tennisracquet_small_smooth_02_yellow.png,small,smooth,2,yellow,tennisracquet
tennisracquet_small_smooth_02_orange.png,small,smooth,2,orange,tennisracquet
tennisracquet_small_smooth_02_purple.png,small,smooth,2,purple,tennisracquet
tennisracquet_small_smooth_02_pink.png,small,smooth,2,pink,tennisracquet
tennisracquet_small_smooth_02_brown.png,small,smooth,2,brown,tennisracquet
tennisracquet_small_smooth_02_black.png,small,smooth,2,black,tennisracquet
tennisracquet_small_smooth_02_gray.png,small,smooth,2,gray,tennisracquet
