model,class,mean_accuracy,std,n_seeds,test_type
clip-res,abacus,0.7466666666666667,0.03511884584284249,3,SCDC
clip-res,apple,0.9033333333333333,0.012018504251546616,3,SCDC
clip-res,axe,0.7844444444444445,0.013877773329774246,3,SCDC
clip-res,babushkadolls,0.38222222222222224,0.023648662948658607,3,SCDC
clip-res,bagel,0.7044444444444444,0.015396007178390054,3,SCDC
clip-res,ball,0.8588888888888889,0.003849001794597466,3,SCDC
clip-res,basket,0.1311111111111111,0.00962250448649376,3,SCDC
clip-res,bell,0.9066666666666667,0.011547005383792525,3,SCDC
clip-res,bird,0.6222222222222222,0.020367003088692645,3,SCDC
clip-res,bonzai,0.7455555555555556,0.026943012562182542,3,SCDC
clip-res,bread,0.4066666666666667,0.02027587510099407,3,SCDC
clip-res,butterfly,0.36000000000000004,0.01527525231651945,3,SCDC
clip-res,calculator,0.5655555555555556,0.029122983160180343,3,SCDC
clip-res,camera,0.93,0.01201850425154663,3,SCDC
clip-res,candle,0.958888888888889,0.010715167512214413,3,SCDC
clip-res,cookie,0.7077777777777777,0.021169509870286256,3,SCDC
clip-res,doll,0.3466666666666667,0.02848001248439176,3,SCDC
clip-res,doorknob,0.7566666666666667,0.013333333333333364,3,SCDC
clip-res,dresser,0.6344444444444445,0.016442942874387488,3,SCDC
clip-res,dumbell,0.7144444444444445,0.010183501544346316,3,SCDC
clip-res,earrings,0.49444444444444446,0.010715167512214413,3,SCDC
clip-res,fan,0.3511111111111111,0.006938886664887124,3,SCDC
clip-res,goggle,0.8811111111111111,0.016777409856157218,3,SCDC
clip-res,grill,0.5777777777777778,0.022194427061598007,3,SCDC
clip-res,handbag,0.9666666666666667,0.008819171036881984,3,SCDC
clip-res,handgun,0.8999999999999999,0.015275252316519432,3,SCDC
clip-res,handheldgame,0.5011111111111112,0.015030832509409663,3,SCDC
clip-res,headband,0.65,0.025166114784235857,3,SCDC
clip-res,helmet,0.79,0.016666666666666663,3,SCDC
clip-res,horse,0.5222222222222223,0.016777409856157218,3,SCDC
clip-res,keyboard,0.6177777777777779,0.018358568490953676,3,SCDC
clip-res,lantern,0.5966666666666667,0.024037008503093312,3,SCDC
clip-res,lei,0.6855555555555556,0.030971910810591873,3,SCDC
clip-res,lipstick,0.9388888888888888,0.016777409856157218,3,SCDC
clip-res,lock,0.9122222222222222,0.016442942874387512,3,SCDC
clip-res,meat,0.6511111111111111,0.042470033008036416,3,SCDC
clip-res,microwave,0.6788888888888889,0.03237511618740771,3,SCDC
clip-res,muffin,0.64,0.02728450923957483,3,SCDC
clip-res,nailpolish,0.5366666666666667,0.031797973380564865,3,SCDC
clip-res,ornament,0.5599999999999999,0.008819171036881943,3,SCDC
clip-res,pen,0.5311111111111111,0.030245905752924903,3,SCDC
clip-res,phone,0.4811111111111111,0.019531550923607695,3,SCDC
clip-res,pillow,0.9111111111111111,0.005091750772173152,3,SCDC
clip-res,pipe,0.9133333333333334,0.012018504251546616,3,SCDC
clip-res,pitcher,0.6577777777777778,0.022194427061597983,3,SCDC
clip-res,powerstrip,0.40111111111111114,0.022689530951846826,3,SCDC
clip-res,pumpkin,0.7188888888888889,0.02694301256218255,3,SCDC
clip-res,rabbit,0.6033333333333334,0.011547005383792525,3,SCDC
clip-res,ring,0.6866666666666666,0.010000000000000009,3,SCDC
clip-res,saddle,0.6988888888888889,0.005091750772173153,3,SCDC
clip-res,saltandpeppershake,0.5544444444444444,0.024113927126900792,3,SCDC
clip-res,seashell,0.8077777777777778,0.0214303350244288,3,SCDC
clip-res,sippycup,0.2644444444444444,0.007698003589194996,3,SCDC
clip-res,sodacan,0.8555555555555555,0.024570382652773292,3,SCDC
clip-res,stapler,0.6933333333333334,0.01855921454276678,3,SCDC
clip-res,stool,0.96,0.010000000000000009,3,SCDC
clip-res,suitcase,0.2955555555555555,0.01644294287438748,3,SCDC
clip-res,telescope,0.6788888888888889,0.03564225540521206,3,SCDC
clip-res,tennisracquet,0.7066666666666667,0.005773502691896262,3,SCDC
clip-res,toothpaste,0.4477777777777778,0.0189541356769244,3,SCDC
clip-res,train,0.6988888888888889,0.006938886664887101,3,SCDC
clip-res,tree,0.84,0.023333333333333324,3,SCDC
clip-res,tricycle,0.9422222222222222,0.010715167512214348,3,SCDC
clip-res,trophy,0.6033333333333334,0.03511884584284249,3,SCDC
clip-res,trumpet,0.7322222222222221,0.02168802366215904,3,SCDC
clip-res,vase,0.8855555555555555,0.01710533813148961,3,SCDC
clip-res,wineglass,0.8277777777777778,0.03421067626297922,3,SCDC
