model,class,mean_accuracy,std,n_seeds,test_type
cvcl-resnext,abacus,0.23888888888888893,0.017105338131489622,3,SCDC
cvcl-resnext,apple,0.2333333333333333,0.02516611478423584,3,SCDC
cvcl-resnext,axe,0.2644444444444445,0.013877773329774223,3,SCDC
cvcl-resnext,babushkadolls,0.3,0.003333333333333327,3,SCDC
cvcl-resnext,bagel,0.14555555555555558,0.001924500897298749,3,SCDC
cvcl-resnext,ball,0.09777777777777778,0.013877773329774213,3,SCDC
cvcl-resnext,basket,0.06777777777777778,0.01018350154434631,3,SCDC
cvcl-resnext,bell,0.1811111111111111,0.04167777629669123,3,SCDC
cvcl-resnext,bird,0.23111111111111113,0.003849001794597514,3,SCDC
cvcl-resnext,bonzai,0.20444444444444446,0.024570382652773313,3,SCDC
cvcl-resnext,bread,0.12888888888888891,0.01347150628109127,3,SCDC
cvcl-resnext,butterfly,0.0788888888888889,0.001924500897298757,3,SCDC
cvcl-resnext,calculator,0.24888888888888885,0.013471506281091259,3,SCDC
cvcl-resnext,camera,0.3188888888888889,0.04220759980716131,3,SCDC
cvcl-resnext,candle,0.38888888888888884,0.011706281947614174,3,SCDC
cvcl-resnext,cookie,0.10444444444444445,0.037168285963728294,3,SCDC
cvcl-resnext,doll,0.10444444444444445,0.0069388866648871115,3,SCDC
cvcl-resnext,doorknob,0.21333333333333335,0.005773502691896263,3,SCDC
cvcl-resnext,dresser,0.14666666666666667,0.003333333333333327,3,SCDC
cvcl-resnext,dumbell,0.18333333333333335,0.01855921454276675,3,SCDC
cvcl-resnext,earrings,0.1111111111111111,0.010183501544346305,3,SCDC
cvcl-resnext,fan,0.08444444444444443,0.01924500897298753,3,SCDC
cvcl-resnext,goggle,0.17,0.04163331998932266,3,SCDC
cvcl-resnext,grill,0.24111111111111114,0.012619796324000615,3,SCDC
cvcl-resnext,handbag,0.43,0.006666666666666654,3,SCDC
cvcl-resnext,handgun,0.13444444444444445,0.027148426050823588,3,SCDC
cvcl-resnext,handheldgame,0.19333333333333336,0.01855921454276675,3,SCDC
cvcl-resnext,headband,0.1511111111111111,0.012619796324000615,3,SCDC
cvcl-resnext,helmet,0.11666666666666665,0.008819171036881976,3,SCDC
cvcl-resnext,horse,0.22444444444444445,0.020367003088692628,3,SCDC
cvcl-resnext,keyboard,0.08888888888888889,0.016777409856157225,3,SCDC
cvcl-resnext,lantern,0.14222222222222222,0.05295001136641714,3,SCDC
cvcl-resnext,lei,0.11333333333333334,0.024037008503093267,3,SCDC
cvcl-resnext,lipstick,0.2111111111111111,0.015030832509409647,3,SCDC
cvcl-resnext,lock,0.3633333333333333,0.01527525231651948,3,SCDC
cvcl-resnext,meat,0.13444444444444445,0.012619796324000615,3,SCDC
cvcl-resnext,microwave,0.11444444444444445,0.0076980035891950115,3,SCDC
cvcl-resnext,muffin,0.07777777777777778,0.006938886664887104,3,SCDC
cvcl-resnext,nailpolish,0.09000000000000001,0.008819171036881972,3,SCDC
cvcl-resnext,ornament,0.13999999999999999,0.025166114784235825,3,SCDC
cvcl-resnext,pen,0.16444444444444445,0.006938886664887107,3,SCDC
cvcl-resnext,phone,0.17444444444444443,0.028349668493717946,3,SCDC
cvcl-resnext,pillow,0.2655555555555556,0.01071516751221438,3,SCDC
cvcl-resnext,pipe,0.1822222222222222,0.01924500897298752,3,SCDC
cvcl-resnext,pitcher,0.14777777777777779,0.03288588574877498,3,SCDC
cvcl-resnext,powerstrip,0.05777777777777778,0.005091750772173158,3,SCDC
cvcl-resnext,pumpkin,0.3222222222222222,0.042207599807161295,3,SCDC
cvcl-resnext,rabbit,0.24,0.049777281743560275,3,SCDC
cvcl-resnext,ring,0.20555555555555557,0.008388704928078623,3,SCDC
cvcl-resnext,saddle,0.13,0.025166114784235825,3,SCDC
cvcl-resnext,saltandpeppershake,0.08444444444444443,0.01924500897298753,3,SCDC
cvcl-resnext,seashell,0.12777777777777777,0.02219442706159798,3,SCDC
cvcl-resnext,sippycup,0.07111111111111111,0.020092379244472356,3,SCDC
cvcl-resnext,sodacan,0.13555555555555557,0.05014792931731892,3,SCDC
cvcl-resnext,stapler,0.1288888888888889,0.0076980035891950115,3,SCDC
cvcl-resnext,stool,0.45555555555555555,0.030061665018819295,3,SCDC
cvcl-resnext,suitcase,0.10555555555555556,0.006938886664887104,3,SCDC
cvcl-resnext,telescope,0.28,0.01452966314513559,3,SCDC
cvcl-resnext,tennisracquet,0.2577777777777778,0.02143033502442878,3,SCDC
cvcl-resnext,toothpaste,0.2688888888888889,0.015030832509409633,3,SCDC
cvcl-resnext,train,0.1811111111111111,0.006938886664887106,3,SCDC
cvcl-resnext,tree,0.24444444444444446,0.04764840364975905,3,SCDC
cvcl-resnext,tricycle,0.39111111111111113,0.025018511664883808,3,SCDC
cvcl-resnext,trophy,0.17888888888888888,0.01835856849095368,3,SCDC
cvcl-resnext,trumpet,0.3444444444444444,0.026943012562182518,3,SCDC
cvcl-resnext,vase,0.2622222222222222,0.011706281947614146,3,SCDC
cvcl-resnext,wineglass,0.13333333333333333,0.01855921454276674,3,SCDC
