model,class,mean_accuracy,std,n_seeds,test_type
dino_resnet50,abacus,0.33,0.026034165586355504,3,SCDC
dino_resnet50,apple,0.4511111111111111,0.010183501544346316,3,SCDC
dino_resnet50,axe,0.40111111111111103,0.025891511550513426,3,SCDC
dino_resnet50,babushkadolls,0.29777777777777775,0.008388704928078606,3,SCDC
dino_resnet50,bagel,0.12000000000000001,0.008819171036881974,3,SCDC
dino_resnet50,ball,0.2911111111111111,0.028738927014172355,3,SCDC
dino_resnet50,basket,0.08555555555555557,0.010715167512214395,3,SCDC
dino_resnet50,bell,0.2911111111111111,0.03237511618740771,3,SCDC
dino_resnet50,bird,0.2633333333333333,0.013333333333333336,3,SCDC
dino_resnet50,bonzai,0.21333333333333335,0.015275252316519468,3,SCDC
dino_resnet50,bread,0.10444444444444444,0.018358568490953676,3,SCDC
dino_resnet50,butterfly,0.09333333333333334,0.014529663145135582,3,SCDC
dino_resnet50,calculator,0.3622222222222222,0.010183501544346323,3,SCDC
dino_resnet50,camera,0.4577777777777778,0.02341256389522829,3,SCDC
dino_resnet50,candle,0.53,0.013333333333333308,3,SCDC
dino_resnet50,cookie,0.14777777777777779,0.026943012562182535,3,SCDC
dino_resnet50,doll,0.09555555555555556,0.010715167512214399,3,SCDC
dino_resnet50,doorknob,0.2388888888888889,0.01644294287438749,3,SCDC
dino_resnet50,dresser,0.12444444444444445,0.00962250448649377,3,SCDC
dino_resnet50,dumbell,0.24,0.033829638550307406,3,SCDC
dino_resnet50,earrings,0.15555555555555556,0.027954990278686944,3,SCDC
dino_resnet50,fan,0.07777777777777778,0.01071516751221439,3,SCDC
dino_resnet50,goggle,0.3188888888888889,0.024570382652773323,3,SCDC
dino_resnet50,grill,0.2688888888888889,0.007698003589194996,3,SCDC
dino_resnet50,handbag,0.47222222222222227,0.012619796324000626,3,SCDC
dino_resnet50,handgun,0.40444444444444444,0.008388704928078609,3,SCDC
dino_resnet50,handheldgame,0.26999999999999996,0.011547005383792526,3,SCDC
dino_resnet50,headband,0.2088888888888889,0.030245905752924896,3,SCDC
dino_resnet50,helmet,0.16777777777777778,0.005091750772173161,3,SCDC
dino_resnet50,horse,0.26,0.010000000000000009,3,SCDC
dino_resnet50,keyboard,0.1722222222222222,0.011706281947614146,3,SCDC
dino_resnet50,lantern,0.16555555555555554,0.01575271875417536,3,SCDC
dino_resnet50,lei,0.07555555555555556,0.02501851166488378,3,SCDC
dino_resnet50,lipstick,0.34888888888888886,0.0107151675122144,3,SCDC
dino_resnet50,lock,0.5566666666666666,0.03785938897200186,3,SCDC
dino_resnet50,meat,0.11888888888888889,0.02457038265277331,3,SCDC
dino_resnet50,microwave,0.16,0.021858128414340004,3,SCDC
dino_resnet50,muffin,0.17,0.006666666666666668,3,SCDC
dino_resnet50,nailpolish,0.0911111111111111,0.0050917507721731535,3,SCDC
dino_resnet50,ornament,0.1911111111111111,0.001924500897298749,3,SCDC
dino_resnet50,pen,0.1411111111111111,0.023412563895228305,3,SCDC
dino_resnet50,phone,0.27555555555555555,0.019531550923607695,3,SCDC
dino_resnet50,pillow,0.4377777777777778,0.010183501544346293,3,SCDC
dino_resnet50,pipe,0.35111111111111115,0.040322771803609006,3,SCDC
dino_resnet50,pitcher,0.18333333333333335,0.027284509239574838,3,SCDC
dino_resnet50,powerstrip,0.10111111111111111,0.010183501544346314,3,SCDC
dino_resnet50,pumpkin,0.32555555555555554,0.02411392712690078,3,SCDC
dino_resnet50,rabbit,0.21222222222222223,0.017105338131489612,3,SCDC
dino_resnet50,ring,0.40222222222222226,0.021169509870286287,3,SCDC
dino_resnet50,saddle,0.28,0.020816659994661344,3,SCDC
dino_resnet50,saltandpeppershake,0.08222222222222222,0.01924500897298753,3,SCDC
dino_resnet50,seashell,0.1388888888888889,0.0069388866648871115,3,SCDC
dino_resnet50,sippycup,0.07666666666666667,0.017638342073763934,3,SCDC
dino_resnet50,sodacan,0.19666666666666666,0.027284509239574838,3,SCDC
dino_resnet50,stapler,0.22333333333333336,0.018559214542766732,3,SCDC
dino_resnet50,stool,0.6644444444444445,0.0214303350244288,3,SCDC
dino_resnet50,suitcase,0.08888888888888889,0.0076980035891950115,3,SCDC
dino_resnet50,telescope,0.42333333333333334,0.02027587510099407,3,SCDC
dino_resnet50,tennisracquet,0.3655555555555556,0.013877773329774223,3,SCDC
dino_resnet50,toothpaste,0.19333333333333333,0.030550504633038933,3,SCDC
dino_resnet50,train,0.1822222222222222,0.010183501544346307,3,SCDC
dino_resnet50,tree,0.3566666666666667,0.018559214542766746,3,SCDC
dino_resnet50,tricycle,0.6544444444444445,0.015030832509409663,3,SCDC
dino_resnet50,trophy,0.16,0.012018504251546635,3,SCDC
dino_resnet50,trumpet,0.5044444444444444,0.022689530951846826,3,SCDC
dino_resnet50,vase,0.3988888888888889,0.037908271353848826,3,SCDC
dino_resnet50,wineglass,0.1366666666666667,0.015275252316519468,3,SCDC
