model,class,mean_accuracy,std,n_seeds,test_type
siglip,abacus,0.5988888888888889,0.01953155092360771,3,SCDC
siglip,apple,0.5833333333333334,0.020000000000000018,3,SCDC
siglip,axe,0.4977777777777778,0.013471506281091271,3,SCDC
siglip,babushkadolls,0.6633333333333334,0.013333333333333308,3,SCDC
siglip,bagel,0.47000000000000003,0.014529663145135591,3,SCDC
siglip,ball,0.851111111111111,0.001924500897298797,3,SCDC
siglip,basket,0.13555555555555557,0.010183501544346307,3,SCDC
siglip,bell,0.8711111111111111,0.015030832509409663,3,SCDC
siglip,bird,0.3022222222222222,0.00962250448649376,3,SCDC
siglip,bonzai,0.87,0.010000000000000009,3,SCDC
siglip,bread,0.22,0.030550504633038943,3,SCDC
siglip,butterfly,0.2388888888888889,0.008388704928078607,3,SCDC
siglip,calculator,0.7255555555555556,0.02341256389522829,3,SCDC
siglip,camera,0.86,0.006666666666666654,3,SCDC
siglip,candle,0.6588888888888889,0.025891511550513443,3,SCDC
siglip,cookie,0.5722222222222223,0.0340478965467657,3,SCDC
siglip,doll,0.12555555555555556,0.017105338131489616,3,SCDC
siglip,doorknob,0.5355555555555555,0.011706281947614146,3,SCDC
siglip,dresser,0.3688888888888889,0.005091750772173158,3,SCDC
siglip,dumbell,0.8211111111111111,0.025239592648001186,3,SCDC
siglip,earrings,0.27111111111111114,0.02168802366215904,3,SCDC
siglip,fan,0.2088888888888889,0.024113927126900785,3,SCDC
siglip,goggle,0.7633333333333333,0.003333333333333355,3,SCDC
siglip,grill,0.38777777777777783,0.013471506281091271,3,SCDC
siglip,handbag,0.8322222222222222,0.01710533813148961,3,SCDC
siglip,handgun,0.7766666666666667,0.012018504251546632,3,SCDC
siglip,handheldgame,0.44222222222222224,0.005091750772173164,3,SCDC
siglip,headband,0.41,0.026034165586355525,3,SCDC
siglip,helmet,0.5822222222222222,0.0234125638952283,3,SCDC
siglip,horse,0.47888888888888886,0.021169509870286256,3,SCDC
siglip,keyboard,0.4511111111111112,0.012619796324000626,3,SCDC
siglip,lantern,0.5766666666666667,0.00666666666666671,3,SCDC
siglip,lei,0.26222222222222225,0.010183501544346293,3,SCDC
siglip,lipstick,0.8066666666666666,0.02027587510099405,3,SCDC
siglip,lock,0.9633333333333334,0.003333333333333355,3,SCDC
siglip,meat,0.4777777777777778,0.0107151675122144,3,SCDC
siglip,microwave,0.5766666666666667,0.05033222956847166,3,SCDC
siglip,muffin,0.6,0.04725815626252612,3,SCDC
siglip,nailpolish,0.31777777777777777,0.025458753860865796,3,SCDC
siglip,ornament,0.5522222222222223,0.020367003088692586,3,SCDC
siglip,pen,0.3355555555555556,0.007698003589195028,3,SCDC
siglip,phone,0.2588888888888889,0.023412563895228305,3,SCDC
siglip,pillow,0.7477777777777778,0.001924500897298733,3,SCDC
siglip,pipe,0.7377777777777778,0.005091750772173152,3,SCDC
siglip,pitcher,0.4711111111111111,0.04438885412319596,3,SCDC
siglip,powerstrip,0.14,0.009999999999999995,3,SCDC
siglip,pumpkin,0.64,0.01855921454276677,3,SCDC
siglip,rabbit,0.4822222222222223,0.007698003589195027,3,SCDC
siglip,ring,0.34222222222222226,0.006938886664887092,3,SCDC
siglip,saddle,0.41444444444444445,0.01835856849095368,3,SCDC
siglip,saltandpeppershake,0.5233333333333333,0.03179797338056486,3,SCDC
siglip,seashell,0.35333333333333333,0.034801021696368485,3,SCDC
siglip,sippycup,0.13,0.012018504251546635,3,SCDC
siglip,sodacan,0.5377777777777778,0.026943012562182542,3,SCDC
siglip,stapler,0.7811111111111112,0.030971910810591877,3,SCDC
siglip,stool,0.9544444444444444,0.013877773329774202,3,SCDC
siglip,suitcase,0.1411111111111111,0.023412563895228305,3,SCDC
siglip,telescope,0.5533333333333333,0.032145502536643146,3,SCDC
siglip,tennisracquet,0.6044444444444445,0.008388704928078576,3,SCDC
siglip,toothpaste,0.5511111111111111,0.011706281947614146,3,SCDC
siglip,train,0.37666666666666665,0.017638342073763937,3,SCDC
siglip,tree,0.77,0.01527525231651942,3,SCDC
siglip,tricycle,0.8777777777777778,0.008388704928078635,3,SCDC
siglip,trophy,0.3111111111111111,0.013877773329774223,3,SCDC
siglip,trumpet,0.7588888888888888,0.018358568490953655,3,SCDC
siglip,vase,0.6877777777777778,0.012619796324000607,3,SCDC
siglip,wineglass,0.5599999999999999,0.05507570547286102,3,SCDC
