model,class,mean_accuracy,std,n_seeds,test_type
cvcl-resnext,abacus,0.682286612591097,0.03431036864051103,3,SCDS
cvcl-resnext,apple,0.9470871070004092,0.012588565415933289,3,SCDS
cvcl-resnext,axe,0.8502671783973526,0.025178181028204155,3,SCDS
cvcl-resnext,babushkadolls,0.9292852807472768,0.04244827493000296,3,SCDS
cvcl-resnext,bagel,0.49398773567271353,0.020004553968895306,3,SCDS
cvcl-resnext,ball,0.9305634848138844,0.014595647606587027,3,SCDS
cvcl-resnext,basket,0.12057749174075116,0.006932586315987926,3,SCDS
cvcl-resnext,bell,0.6203938817552258,0.03951800127842589,3,SCDS
cvcl-resnext,bird,0.6796780323668196,0.03741669005017508,3,SCDS
cvcl-resnext,bonzai,0.7817682198327359,0.05047971124959833,3,SCDS
cvcl-resnext,bread,0.31210276521860464,0.050586708557451586,3,SCDS
cvcl-resnext,butterfly,0.5746899786622651,0.040819182996090775,3,SCDS
cvcl-resnext,calculator,0.8730080760315122,0.019020428827076222,3,SCDS
cvcl-resnext,camera,0.8599348909423284,0.05144793066420364,3,SCDS
cvcl-resnext,candle,0.8815915073240636,0.011803351520829546,3,SCDS
cvcl-resnext,cookie,0.4469647534580212,0.021439326923614395,3,SCDS
cvcl-resnext,doll,0.36359946263938675,0.025053903689625536,3,SCDS
cvcl-resnext,doorknob,0.681224802289439,0.024055003156404978,3,SCDS
cvcl-resnext,dresser,0.6129974946881046,0.036249599588516555,3,SCDS
cvcl-resnext,dumbell,0.639207994957395,0.04901357691587771,3,SCDS
cvcl-resnext,earrings,0.42218792350549617,0.023148913129203575,3,SCDS
cvcl-resnext,fan,0.2895679733752711,0.04357425873883486,3,SCDS
cvcl-resnext,goggle,0.7581726547644245,0.003628561045591143,3,SCDS
cvcl-resnext,grill,0.6530708243270298,0.00496237390475932,3,SCDS
cvcl-resnext,handbag,0.828034987640634,0.02787327402108286,3,SCDS
cvcl-resnext,handgun,0.4349906065485776,0.03452308959184182,3,SCDS
cvcl-resnext,handheldgame,0.5454347542242394,0.017534202433541306,3,SCDS
cvcl-resnext,headband,0.4636673100481214,0.05242939857525536,3,SCDS
cvcl-resnext,helmet,0.7602604991468102,0.03487837938962312,3,SCDS
cvcl-resnext,horse,0.6463925950930055,0.03288031554763547,3,SCDS
cvcl-resnext,keyboard,0.7622564427365127,0.020345640707365692,3,SCDS
cvcl-resnext,lantern,0.4553168385381869,0.02777507119629714,3,SCDS
cvcl-resnext,lei,0.4949272449450885,0.0022540642567383806,3,SCDS
cvcl-resnext,lipstick,0.6415785255062861,0.026488334181996902,3,SCDS
cvcl-resnext,lock,0.8822566510854349,0.027735006761833467,3,SCDS
cvcl-resnext,meat,0.4866679276104902,0.01257465367174074,3,SCDS
cvcl-resnext,microwave,0.5196797294864871,0.024246528397057213,3,SCDS
cvcl-resnext,muffin,0.5234124741344318,0.013509960515442095,3,SCDS
cvcl-resnext,nailpolish,0.5118829112490313,0.05972306850235872,3,SCDS
cvcl-resnext,ornament,0.45150291389510105,0.0304487929505172,3,SCDS
cvcl-resnext,pen,0.28233867233248305,0.037677504100312835,3,SCDS
cvcl-resnext,phone,0.5669743053107749,0.02808932177650193,3,SCDS
cvcl-resnext,pillow,0.655530288133732,0.025454690629209045,3,SCDS
cvcl-resnext,pipe,0.7855032892034863,0.039865938823187855,3,SCDS
cvcl-resnext,pitcher,0.6820125797176506,0.06312970217341743,3,SCDS
cvcl-resnext,powerstrip,0.33860337081167574,0.02711636531267127,3,SCDS
cvcl-resnext,pumpkin,0.8837380538511576,0.008371252815916623,3,SCDS
cvcl-resnext,rabbit,0.6538344295819922,0.030405000080424592,3,SCDS
cvcl-resnext,ring,0.7768741081507039,0.026691239014252154,3,SCDS
cvcl-resnext,saddle,0.6545124951794378,0.03872021473224643,3,SCDS
cvcl-resnext,saltandpeppershake,0.5231762535063985,0.038298619173397414,3,SCDS
cvcl-resnext,seashell,0.5281931573914455,0.029050846373178077,3,SCDS
cvcl-resnext,sippycup,0.2542682895330023,0.007081145364443445,3,SCDS
cvcl-resnext,sodacan,0.5165173551100383,0.03562903875708125,3,SCDS
cvcl-resnext,stapler,0.6385664252205605,0.013443715810314841,3,SCDS
cvcl-resnext,stool,0.9679512617012618,0.00393790886960219,3,SCDS
cvcl-resnext,suitcase,0.3937368780156314,0.01187291685003166,3,SCDS
cvcl-resnext,telescope,0.5346691260500518,0.033285302294597696,3,SCDS
cvcl-resnext,tennisracquet,0.5120133470170124,0.08623606769206303,3,SCDS
cvcl-resnext,toothpaste,0.7735695862943238,0.03963884628492506,3,SCDS
cvcl-resnext,train,0.8728251069059713,0.012303999586043595,3,SCDS
cvcl-resnext,tree,0.7336903983653187,0.014066592999208176,3,SCDS
cvcl-resnext,tricycle,0.8402742225695056,0.041725158818839904,3,SCDS
cvcl-resnext,trophy,0.5909285891756106,0.05505685070259311,3,SCDS
cvcl-resnext,trumpet,0.8264698343578867,0.05244053529066896,3,SCDS
cvcl-resnext,vase,0.8196149879304696,0.06906609231874875,3,SCDS
cvcl-resnext,wineglass,0.5443660415115782,0.04783964050222371,3,SCDS
