model,class,mean_accuracy,std,n_seeds,test_type
clip-res,abacus,0.9786666666666667,0.007571877794400371,3,SCDT
clip-res,apple,1.0,0.0,3,SCDT
clip-res,axe,0.7893333333333333,0.027227437142216145,3,SCDT
clip-res,babushkadolls,1.0,0.0,3,SCDT
clip-res,bagel,0.624,0.01587450786638756,3,SCDT
clip-res,ball,1.0,0.0,3,SCDT
clip-res,basket,0.8646666666666666,0.008326663997864539,3,SCDT
clip-res,bell,0.9166666666666666,0.008326663997864539,3,SCDT
clip-res,bird,1.0,0.0,3,SCDT
clip-res,bonzai,0.956,0.010583005244258372,3,SCDT
clip-res,bread,0.718,0.022715633383201116,3,SCDT
clip-res,butterfly,0.14933333333333332,0.0070237691685684995,3,SCDT
clip-res,calculator,0.6426666666666666,0.011015141094572214,3,SCDT
clip-res,camera,1.0,0.0,3,SCDT
clip-res,candle,1.0,0.0,3,SCDT
clip-res,cookie,0.952,0.0020000000000000018,3,SCDT
clip-res,doll,0.6880000000000001,0.01708800749063502,3,SCDT
clip-res,doorknob,0.9513333333333334,0.0050332229568471705,3,SCDT
clip-res,dresser,1.0,0.0,3,SCDT
clip-res,dumbell,1.0,0.0,3,SCDT
clip-res,earrings,0.48266666666666663,0.02610236260060252,3,SCDT
clip-res,fan,0.598,0.0334065861769801,3,SCDT
clip-res,goggle,1.0,0.0,3,SCDT
clip-res,grill,0.9546666666666667,0.0030550504633038962,3,SCDT
clip-res,handbag,1.0,0.0,3,SCDT
clip-res,handgun,1.0,0.0,3,SCDT
clip-res,handheldgame,0.7326666666666667,0.030615900008546783,3,SCDT
clip-res,headband,0.9353333333333333,0.006429100507328579,3,SCDT
clip-res,helmet,1.0,0.0,3,SCDT
clip-res,horse,0.7106666666666667,0.03288363321370272,3,SCDT
clip-res,keyboard,1.0,0.0,3,SCDT
clip-res,lantern,0.9773333333333333,0.006429100507328643,3,SCDT
clip-res,lei,0.9406666666666667,0.006429100507328602,3,SCDT
clip-res,lipstick,1.0,0.0,3,SCDT
clip-res,lock,1.0,0.0,3,SCDT
clip-res,meat,0.9353333333333333,0.0030550504633038477,3,SCDT
clip-res,microwave,1.0,0.0,3,SCDT
clip-res,muffin,0.7226666666666667,0.0023094010767585054,3,SCDT
clip-res,nailpolish,0.7886666666666667,0.019218047073866117,3,SCDT
clip-res,ornament,0.7786666666666666,0.03500476158086684,3,SCDT
clip-res,pen,0.9646666666666667,0.005773502691896262,3,SCDT
clip-res,phone,0.5246666666666667,0.04119870548128104,3,SCDT
clip-res,pillow,0.9526666666666666,0.011015141094572214,3,SCDT
clip-res,pipe,1.0,0.0,3,SCDT
clip-res,pitcher,1.0,0.0,3,SCDT
clip-res,powerstrip,0.9793333333333333,0.006429100507328643,3,SCDT
clip-res,pumpkin,0.9780000000000001,0.0020000000000000018,3,SCDT
clip-res,rabbit,0.9753333333333334,0.008082903768654767,3,SCDT
clip-res,ring,0.9273333333333333,0.005773502691896262,3,SCDT
clip-res,saddle,1.0,0.0,3,SCDT
clip-res,saltandpeppershake,1.0,0.0,3,SCDT
clip-res,seashell,0.9706666666666667,0.0041633319989322695,3,SCDT
clip-res,sippycup,0.9233333333333333,0.006429100507328643,3,SCDT
clip-res,sodacan,1.0,0.0,3,SCDT
clip-res,stapler,1.0,0.0,3,SCDT
clip-res,stool,1.0,0.0,3,SCDT
clip-res,suitcase,0.9380000000000001,0.010392304845413208,3,SCDT
clip-res,telescope,1.0,0.0,3,SCDT
clip-res,tennisracquet,1.0,0.0,3,SCDT
clip-res,toothpaste,0.73,0.006000000000000005,3,SCDT
clip-res,train,0.9773333333333333,0.0070237691685684995,3,SCDT
clip-res,tree,0.904,0.0020000000000000018,3,SCDT
clip-res,tricycle,1.0,0.0,3,SCDT
clip-res,trophy,1.0,0.0,3,SCDT
clip-res,trumpet,1.0,0.0,3,SCDT
clip-res,vase,1.0,0.0,3,SCDT
clip-res,wineglass,1.0,0.0,3,SCDT
