model,class,mean_accuracy,std,n_seeds,test_type
cvcl-resnext,abacus,1.0,0.0,3,SCDT
cvcl-resnext,apple,1.0,0.0,3,SCDT
cvcl-resnext,axe,0.9906666666666667,0.016165807537309534,3,SCDT
cvcl-resnext,babushkadolls,1.0,0.0,3,SCDT
cvcl-resnext,bagel,0.5853333333333333,0.014742229591664,3,SCDT
cvcl-resnext,ball,1.0,0.0,3,SCDT
cvcl-resnext,basket,0.9426666666666667,0.0117189305541646,3,SCDT
cvcl-resnext,bell,0.9380000000000001,0.012165525060596385,3,SCDT
cvcl-resnext,bird,1.0,0.0,3,SCDT
cvcl-resnext,bonzai,0.8613333333333334,0.011547005383792525,3,SCDT
cvcl-resnext,bread,0.4013333333333333,0.0357957166897568,3,SCDT
cvcl-resnext,butterfly,0.26866666666666666,0.05193585787616619,3,SCDT
cvcl-resnext,calculator,0.904,0.005291502622129186,3,SCDT
cvcl-resnext,camera,1.0,0.0,3,SCDT
cvcl-resnext,candle,1.0,0.0,3,SCDT
cvcl-resnext,cookie,0.7873333333333333,0.04277070648625448,3,SCDT
cvcl-resnext,doll,0.86,0.010392304845413272,3,SCDT
cvcl-resnext,doorknob,0.9346666666666668,0.025716402029314505,3,SCDT
cvcl-resnext,dresser,0.96,0.018330302779823376,3,SCDT
cvcl-resnext,dumbell,1.0,0.0,3,SCDT
cvcl-resnext,earrings,0.9373333333333335,0.017925772879664955,3,SCDT
cvcl-resnext,fan,0.738,0.08908422980528033,3,SCDT
cvcl-resnext,goggle,1.0,0.0,3,SCDT
cvcl-resnext,grill,0.6953333333333332,0.024684678108764783,3,SCDT
cvcl-resnext,handbag,1.0,0.0,3,SCDT
cvcl-resnext,handgun,1.0,0.0,3,SCDT
cvcl-resnext,handheldgame,0.726,0.03487119154832542,3,SCDT
cvcl-resnext,headband,0.654,0.033045423283716645,3,SCDT
cvcl-resnext,helmet,1.0,0.0,3,SCDT
cvcl-resnext,horse,0.886,0.04161730409336966,3,SCDT
cvcl-resnext,keyboard,1.0,0.0,3,SCDT
cvcl-resnext,lantern,0.9419999999999998,0.015874507866387496,3,SCDT
cvcl-resnext,lei,0.846,0.0040000000000000036,3,SCDT
cvcl-resnext,lipstick,1.0,0.0,3,SCDT
cvcl-resnext,lock,0.9906666666666667,0.016165807537309534,3,SCDT
cvcl-resnext,meat,0.40199999999999997,0.011135528725660024,3,SCDT
cvcl-resnext,microwave,1.0,0.0,3,SCDT
cvcl-resnext,muffin,0.502,0.03218695387886216,3,SCDT
cvcl-resnext,nailpolish,0.9733333333333333,0.029280255007997025,3,SCDT
cvcl-resnext,ornament,0.9813333333333333,0.0030550504633038962,3,SCDT
cvcl-resnext,pen,0.47333333333333333,0.03807011076071796,3,SCDT
cvcl-resnext,phone,0.948,0.006000000000000005,3,SCDT
cvcl-resnext,pillow,0.9206666666666666,0.0070237691685684995,3,SCDT
cvcl-resnext,pipe,1.0,0.0,3,SCDT
cvcl-resnext,pitcher,1.0,0.0,3,SCDT
cvcl-resnext,powerstrip,0.9493333333333333,0.013613718571108041,3,SCDT
cvcl-resnext,pumpkin,0.9626666666666667,0.018583146486355156,3,SCDT
cvcl-resnext,rabbit,1.0,0.0,3,SCDT
cvcl-resnext,ring,1.0,0.0,3,SCDT
cvcl-resnext,saddle,1.0,0.0,3,SCDT
cvcl-resnext,saltandpeppershake,0.9693333333333333,0.03579571668975677,3,SCDT
cvcl-resnext,seashell,0.9606666666666666,0.010066445913694341,3,SCDT
cvcl-resnext,sippycup,0.9653333333333333,0.012701705922171777,3,SCDT
cvcl-resnext,sodacan,1.0,0.0,3,SCDT
cvcl-resnext,stapler,1.0,0.0,3,SCDT
cvcl-resnext,stool,1.0,0.0,3,SCDT
cvcl-resnext,suitcase,0.9766666666666666,0.007571877794400371,3,SCDT
cvcl-resnext,telescope,0.8006666666666667,0.009018499505645797,3,SCDT
cvcl-resnext,tennisracquet,0.794,0.04331281565541541,3,SCDT
cvcl-resnext,toothpaste,1.0,0.0,3,SCDT
cvcl-resnext,train,1.0,0.0,3,SCDT
cvcl-resnext,tree,1.0,0.0,3,SCDT
cvcl-resnext,tricycle,1.0,0.0,3,SCDT
cvcl-resnext,trophy,0.9546666666666667,0.004618802153517011,3,SCDT
cvcl-resnext,trumpet,1.0,0.0,3,SCDT
cvcl-resnext,vase,1.0,0.0,3,SCDT
cvcl-resnext,wineglass,1.0,0.0,3,SCDT
