model,class,mean_accuracy,std,n_seeds,test_type
dino_s_resnext50,abacus,1.0,0.0,3,SCDT
dino_s_resnext50,apple,1.0,0.0,3,SCDT
dino_s_resnext50,axe,0.9773333333333333,0.004618802153517011,3,SCDT
dino_s_resnext50,babushkadolls,1.0,0.0,3,SCDT
dino_s_resnext50,bagel,0.6793333333333332,0.01101514109457215,3,SCDT
dino_s_resnext50,ball,1.0,0.0,3,SCDT
dino_s_resnext50,basket,0.9780000000000001,0.0034641016151377574,3,SCDT
dino_s_resnext50,bell,0.9486666666666667,0.0023094010767585054,3,SCDT
dino_s_resnext50,bird,0.98,0.011135528725660053,3,SCDT
dino_s_resnext50,bonzai,0.9773333333333333,0.008082903768654767,3,SCDT
dino_s_resnext50,bread,0.5473333333333333,0.020231987873991376,3,SCDT
dino_s_resnext50,butterfly,0.33466666666666667,0.01677299416721215,3,SCDT
dino_s_resnext50,calculator,0.9006666666666666,0.012055427546683426,3,SCDT
dino_s_resnext50,camera,1.0,0.0,3,SCDT
dino_s_resnext50,candle,1.0,0.0,3,SCDT
dino_s_resnext50,cookie,0.7826666666666666,0.020231987873991376,3,SCDT
dino_s_resnext50,doll,0.7433333333333333,0.020816659994661344,3,SCDT
dino_s_resnext50,doorknob,1.0,0.0,3,SCDT
dino_s_resnext50,dresser,0.816,0.01399999999999995,3,SCDT
dino_s_resnext50,dumbell,1.0,0.0,3,SCDT
dino_s_resnext50,earrings,0.98,0.0040000000000000036,3,SCDT
dino_s_resnext50,fan,0.7173333333333334,0.023007245235649884,3,SCDT
dino_s_resnext50,goggle,1.0,0.0,3,SCDT
dino_s_resnext50,grill,0.7713333333333333,0.012858201014657285,3,SCDT
dino_s_resnext50,handbag,1.0,0.0,3,SCDT
dino_s_resnext50,handgun,1.0,0.0,3,SCDT
dino_s_resnext50,handheldgame,0.6960000000000001,0.026457513110645866,3,SCDT
dino_s_resnext50,headband,0.6573333333333333,0.010263202878893778,3,SCDT
dino_s_resnext50,helmet,1.0,0.0,3,SCDT
dino_s_resnext50,horse,0.872,0.01777638883463119,3,SCDT
dino_s_resnext50,keyboard,1.0,0.0,3,SCDT
dino_s_resnext50,lantern,0.9006666666666666,0.011547005383792525,3,SCDT
dino_s_resnext50,lei,0.9073333333333333,0.006429100507328643,3,SCDT
dino_s_resnext50,lipstick,1.0,0.0,3,SCDT
dino_s_resnext50,lock,1.0,0.0,3,SCDT
dino_s_resnext50,meat,0.48266666666666663,0.019218047073866085,3,SCDT
dino_s_resnext50,microwave,1.0,0.0,3,SCDT
dino_s_resnext50,muffin,0.7319999999999999,0.010000000000000009,3,SCDT
dino_s_resnext50,nailpolish,1.0,0.0,3,SCDT
dino_s_resnext50,ornament,0.9819999999999999,0.0034641016151377574,3,SCDT
dino_s_resnext50,pen,0.526,0.02200000000000002,3,SCDT
dino_s_resnext50,phone,0.948,0.006000000000000005,3,SCDT
dino_s_resnext50,pillow,0.9546666666666667,0.011015141094572214,3,SCDT
dino_s_resnext50,pipe,1.0,0.0,3,SCDT
dino_s_resnext50,pitcher,1.0,0.0,3,SCDT
dino_s_resnext50,powerstrip,0.9359999999999999,0.01058300524425831,3,SCDT
dino_s_resnext50,pumpkin,1.0,0.0,3,SCDT
dino_s_resnext50,rabbit,1.0,0.0,3,SCDT
dino_s_resnext50,ring,1.0,0.0,3,SCDT
dino_s_resnext50,saddle,1.0,0.0,3,SCDT
dino_s_resnext50,saltandpeppershake,1.0,0.0,3,SCDT
dino_s_resnext50,seashell,0.8633333333333333,0.014189197769195187,3,SCDT
dino_s_resnext50,sippycup,0.7986666666666666,0.020526405757787507,3,SCDT
dino_s_resnext50,sodacan,1.0,0.0,3,SCDT
dino_s_resnext50,stapler,1.0,0.0,3,SCDT
dino_s_resnext50,stool,1.0,0.0,3,SCDT
dino_s_resnext50,suitcase,0.9526666666666666,0.009018499505645797,3,SCDT
dino_s_resnext50,telescope,0.8393333333333333,0.0011547005383792527,3,SCDT
dino_s_resnext50,tennisracquet,0.7466666666666667,0.019008769905844356,3,SCDT
dino_s_resnext50,toothpaste,1.0,0.0,3,SCDT
dino_s_resnext50,train,1.0,0.0,3,SCDT
dino_s_resnext50,tree,1.0,0.0,3,SCDT
dino_s_resnext50,tricycle,1.0,0.0,3,SCDT
dino_s_resnext50,trophy,0.8633333333333333,0.011372481406154664,3,SCDT
dino_s_resnext50,trumpet,1.0,0.0,3,SCDT
dino_s_resnext50,vase,1.0,0.0,3,SCDT
dino_s_resnext50,wineglass,1.0,0.0,3,SCDT
