model,class,mean_accuracy,std,n_seeds,test_type
resnext,abacus,0.9253333333333335,0.011015141094572214,3,SCDT
resnext,apple,0.9333333333333332,0.009018499505645743,3,SCDT
resnext,axe,0.7680000000000001,0.01743559577416271,3,SCDT
resnext,babushkadolls,1.0,0.0,3,SCDT
resnext,bagel,0.4206666666666667,0.010066445913694341,3,SCDT
resnext,ball,1.0,0.0,3,SCDT
resnext,basket,0.7146666666666667,0.021007935008784995,3,SCDT
resnext,bell,1.0,0.0,3,SCDT
resnext,bird,0.9226666666666667,0.012701705922171779,3,SCDT
resnext,bonzai,1.0,0.0,3,SCDT
resnext,bread,0.4080000000000001,0.005291502622129155,3,SCDT
resnext,butterfly,0.33866666666666667,0.003055050463303896,3,SCDT
resnext,calculator,0.8326666666666666,0.016165807537309534,3,SCDT
resnext,camera,1.0,0.0,3,SCDT
resnext,candle,1.0,0.0,3,SCDT
resnext,cookie,0.676,0.010583005244258372,3,SCDT
resnext,doll,0.7680000000000001,0.010583005244258372,3,SCDT
resnext,doorknob,0.476,0.026229754097207996,3,SCDT
resnext,dresser,1.0,0.0,3,SCDT
resnext,dumbell,1.0,0.0,3,SCDT
resnext,earrings,0.8286666666666666,0.0050332229568471705,3,SCDT
resnext,fan,0.6653333333333333,0.02700617213403876,3,SCDT
resnext,goggle,1.0,0.0,3,SCDT
resnext,grill,0.952,0.006000000000000005,3,SCDT
resnext,handbag,1.0,0.0,3,SCDT
resnext,handgun,1.0,0.0,3,SCDT
resnext,handheldgame,0.6546666666666666,0.045003703551300435,3,SCDT
resnext,headband,1.0,0.0,3,SCDT
resnext,helmet,1.0,0.0,3,SCDT
resnext,horse,0.7786666666666667,0.022744962812309328,3,SCDT
resnext,keyboard,0.9593333333333334,0.0030550504633038962,3,SCDT
resnext,lantern,0.9186666666666667,0.0070237691685684995,3,SCDT
resnext,lei,0.7326666666666667,0.024027761721253486,3,SCDT
resnext,lipstick,1.0,0.0,3,SCDT
resnext,lock,0.9793333333333333,0.006429100507328643,3,SCDT
resnext,meat,0.6986666666666667,0.025006665778014695,3,SCDT
resnext,microwave,1.0,0.0,3,SCDT
resnext,muffin,0.7453333333333333,0.007571877794400371,3,SCDT
resnext,nailpolish,0.7453333333333333,0.01677299416721218,3,SCDT
resnext,ornament,0.8746666666666667,0.0011547005383792527,3,SCDT
resnext,pen,0.758,0.0370405183549043,3,SCDT
resnext,phone,0.878,0.020297783130184457,3,SCDT
resnext,pillow,0.8966666666666666,0.0160416125540213,3,SCDT
resnext,pipe,1.0,0.0,3,SCDT
resnext,pitcher,0.9513333333333334,0.010066445913694341,3,SCDT
resnext,powerstrip,1.0,0.0,3,SCDT
resnext,pumpkin,0.9739999999999999,0.010583005244258372,3,SCDT
resnext,rabbit,0.9753333333333334,0.005773502691896263,3,SCDT
resnext,ring,1.0,0.0,3,SCDT
resnext,saddle,1.0,0.0,3,SCDT
resnext,saltandpeppershake,1.0,0.0,3,SCDT
resnext,seashell,0.7453333333333333,0.006429100507328643,3,SCDT
resnext,sippycup,0.6226666666666666,0.03214550253664321,3,SCDT
resnext,sodacan,1.0,0.0,3,SCDT
resnext,stapler,1.0,0.0,3,SCDT
resnext,stool,1.0,0.0,3,SCDT
resnext,suitcase,0.8253333333333334,0.0023094010767585054,3,SCDT
resnext,telescope,1.0,0.0,3,SCDT
resnext,tennisracquet,0.9006666666666666,0.007571877794400371,3,SCDT
resnext,toothpaste,1.0,0.0,3,SCDT
resnext,train,1.0,0.0,3,SCDT
resnext,tree,1.0,0.0,3,SCDT
resnext,tricycle,1.0,0.0,3,SCDT
resnext,trophy,1.0,0.0,3,SCDT
resnext,trumpet,1.0,0.0,3,SCDT
resnext,vase,0.98,0.007211102550927985,3,SCDT
resnext,wineglass,0.914,0.01587450786638756,3,SCDT
